Isotope      A            Z            YIELD 
H            1            1            -1.44040E-01 
He4          4            2            1.37730E-01  
C12          12           6            5.37280E-03  
C13          13           6            2.28890E-05  
C14          14           6            9.82860E-08  
N14          14           7            7.07740E-04  
N15          15           7            -7.68480E-07 
O16          16           8            -6.39780E-05 
O17          17           8            1.53540E-05  
O18          18           8            -2.56420E-06 
F18          18           9            0.00000E+00  
F19          19           9            1.61140E-08  
Ne20         20           10           -6.70170E-06 
Ne21         21           10           3.99080E-07  
Ne22         22           10           1.23600E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.48130E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           -1.28110E-06 
Mg25         25           12           6.63450E-06  
Mg26         26           12           9.47760E-06  
Al26         26           13           2.50950E-08  
Al27         27           13           1.60590E-06  
Si28         28           14           4.75060E-06  
Si29         29           14           5.42650E-07  
Si30         30           14           6.46030E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           1.59310E-12  
P31          31           15           2.14870E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -3.33450E-07 
S33          33           16           1.16440E-08  
S34          34           16           1.47770E-07  
S35          35           16           0.00000E+00  
S36          36           16           1.00890E-08  
Cl35         35           17           -4.70020E-09 
Cl36         36           17           4.90420E-10  
Cl37         37           17           1.62300E-08  
Ar36         36           18           -1.55580E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           4.15960E-08  
Ar39         39           18           5.13630E-11  
Ar40         40           18           1.02030E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           9.64230E-09  
K40          40           19           7.64600E-10  
K41          41           19           4.27570E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -9.11920E-08 
Ca41         41           20           9.81790E-10  
Ca42         42           20           5.64390E-09  
Ca43         43           20           1.59310E-09  
Ca44         44           20           3.30070E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.01540E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -3.71290E-11 
Sc45         45           21           1.81180E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           4.12140E-10  
Ti47         47           22           -8.69860E-11 
Ti48         48           22           -5.45500E-09 
Ti49         49           22           2.45780E-09  
Ti50         50           22           8.51640E-09  
V50          50           23           -2.92250E-12 
V51          51           23           -3.93100E-10 
Cr50         50           24           -2.32940E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -2.34670E-08 
Cr53         53           24           -2.05110E-09 
Cr54         54           24           1.87400E-08  
Mn55         55           25           -1.93540E-08 
Mn56         56           25           0.00000E+00  
Fe54         54           26           -2.08750E-07 
Fe55         55           26           2.56590E-13  
Fe56         56           26           -2.27660E-06 
Fe57         57           26           3.07730E-07  
Fe58         58           26           9.55900E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           2.76250E-07  
Co59         59           27           3.14180E-07  
Co60         60           27           5.85980E-13  
