Isotope      A            Z            YIELD 
H            1            1            -3.07270E-01 
He4          4            2            3.00860E-01  
C12          12           6            5.36750E-03  
C13          13           6            4.26500E-05  
C14          14           6            6.37890E-08  
N14          14           7            1.14330E-03  
N15          15           7            -1.05870E-06 
O16          16           8            -2.93490E-04 
O17          17           8            2.08560E-05  
O18          18           8            -3.65070E-06 
F18          18           9            0.00000E+00  
F19          19           9            -2.90300E-08 
Ne20         20           10           -1.52020E-05 
Ne21         21           10           4.12440E-07  
Ne22         22           10           7.26610E-05  
Na22         22           11           0.00000E+00  
Na23         23           11           3.00110E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           -1.40710E-06 
Mg25         25           12           6.32440E-06  
Mg26         26           12           1.54190E-05  
Al26         26           13           3.53060E-08  
Al27         27           13           1.45880E-06  
Si28         28           14           5.23050E-06  
Si29         29           14           7.23910E-07  
Si30         30           14           9.50610E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           5.24140E-12  
P31          31           15           2.55170E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -4.17860E-07 
S33          33           16           8.73320E-09  
S34          34           16           1.65800E-07  
S35          35           16           0.00000E+00  
S36          36           16           1.09060E-08  
Cl35         35           17           -5.00790E-09 
Cl36         36           17           8.02000E-10  
Cl37         37           17           2.79370E-08  
Ar36         36           18           -1.81640E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           4.50010E-08  
Ar39         39           18           8.93720E-11  
Ar40         40           18           1.44250E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.27330E-08  
K40          40           19           1.12770E-09  
K41          41           19           6.59840E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -1.07350E-07 
Ca41         41           20           2.30260E-09  
Ca42         42           20           5.93190E-09  
Ca43         43           20           1.69760E-09  
Ca44         44           20           4.20500E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           3.32780E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -5.10450E-12 
Sc45         45           21           2.29140E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           4.80930E-10  
Ti47         47           22           -1.29500E-10 
Ti48         48           22           -5.86780E-09 
Ti49         49           22           2.87460E-09  
Ti50         50           22           7.28890E-09  
V50          50           23           -3.93810E-12 
V51          51           23           -4.92160E-11 
Cr50         50           24           -3.17130E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -2.74100E-08 
Cr53         53           24           -4.54610E-09 
Cr54         54           24           2.17800E-08  
Mn55         55           25           9.73960E-09  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -2.59260E-07 
Fe55         55           26           1.76590E-13  
Fe56         56           26           -2.57960E-06 
Fe57         57           26           3.00470E-07  
Fe58         58           26           9.27680E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           4.35180E-07  
Co59         59           27           3.39390E-07  
Co60         60           27           1.01180E-12  
Ni58         58           28           -1.61390E-07 
Ni59         59           28           7.42840E-09  
Ni60         60           28           1.23360E-07  
Ni61         61           28           1.12500E-07  
Ni62         62           28           2.44490E-07  
Ni63         63           28           1.95120E-10  
Ni64         64           28           2.53810E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.44590E-07  
Cu64         64           29           0.00000E+00  
Cu65         65           29           5.71670E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           -1.78920E-09 
Zn65         65           30           0.00000E+00  
Zn66         66           30           3.88950E-08  
Zn67         67           30           8.85620E-09  
Zn68         68           30           5.24750E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           7.39280E-10  
Ga69         69           31           7.43230E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           4.44920E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.07780E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.14330E-08  
Ge73         73           32           3.40120E-09  
Ge74         74           32           1.91990E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           9.36940E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           1.93620E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           4.30420E-09  
Se77         77           34           1.68420E-09  
Se78         78           34           1.06230E-08  
Se79         79           34           1.90050E-09  
Se80         80           34           1.20000E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           7.97440E-10  
Br79         79           35           2.75960E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           2.11090E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           2.19420E-10  
Kr81         81           36           5.57040E-11  
Kr82         82           36           4.95670E-09  
Kr83         83           36           1.77220E-09  
Kr84         84           36           1.13430E-08  
Kr85         85           36           1.41530E-13  
Kr86         86           36           1.61250E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           3.90530E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           7.78960E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.65900E-09  
Sr87         87           38           6.76880E-10  
Sr88         88           38           1.65480E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           6.58870E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           4.33710E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           3.28470E-09  
Zr91         91           40           1.03780E-09  
Zr92         92           40           1.65210E-09  
Zr93         93           40           6.39960E-10  
Zr94         94           40           2.02550E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.16260E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           -7.96930E-13 
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -4.57630E-12 
Mo93         93           42           0.00000E+00  
Mo94         94           42           5.07380E-12  
Mo95         95           42           2.92030E-10  
Mo96         96           42           4.11830E-10  
Mo97         97           42           1.98420E-10  
Mo98         98           42           6.38310E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           6.61480E-11  
Tc97         97           43           4.29430E-13  
Tc98         98           43           0.00000E+00  
Tc99         99           43           7.96540E-11  
Ru96         96           44           -1.44170E-12 
Ru97         97           44           0.00000E+00  
Ru98         98           44           -3.38060E-13 
Ru99         99           44           8.00170E-12  
