Isotope      A            Z            YIELD 
H            1            1            -3.66900E-02 
He4          4            2            2.94460E-02  
C12          12           6            4.92270E-03  
C13          13           6            5.13920E-05  
C14          14           6            1.16640E-10  
N14          14           7            1.30140E-03  
N15          15           7            -2.00630E-06 
O16          16           8            -4.10610E-06 
O17          17           8            3.24000E-05  
O18          18           8            -5.53840E-06 
F18          18           9            0.00000E+00  
F19          19           9            7.14150E-07  
Ne20         20           10           -2.43980E-06 
Ne21         21           10           6.06490E-08  
Ne22         22           10           5.79780E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.73380E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           7.89390E-06  
Mg25         25           12           3.81340E-07  
Mg26         26           12           2.48620E-06  
Al26         26           13           2.72220E-07  
Al27         27           13           8.79630E-07  
Si28         28           14           -5.87150E-08 
Si29         29           14           6.64520E-08  
Si30         30           14           3.85850E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           2.60760E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -5.07840E-07 
S33          33           16           7.21850E-08  
S34          34           16           1.70390E-07  
S35          35           16           0.00000E+00  
S36          36           16           1.55930E-08  
Cl35         35           17           -1.65180E-08 
Cl36         36           17           1.29850E-09  
Cl37         37           17           1.75280E-07  
Ar36         36           18           -3.71530E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.05370E-07  
Ar39         39           18           2.41170E-12  
Ar40         40           18           1.34230E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           2.48340E-08  
K40          40           19           5.49320E-09  
K41          41           19           3.33620E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -2.24030E-07 
Ca41         41           20           3.69880E-09  
Ca42         42           20           2.02830E-08  
Ca43         43           20           3.61370E-09  
Ca44         44           20           1.68920E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           5.89620E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -1.23450E-10 
Sc45         45           21           3.47210E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           6.16150E-09  
Ti47         47           22           -3.92920E-10 
Ti48         48           22           -1.47730E-08 
Ti49         49           22           1.67880E-08  
Ti50         50           22           3.27490E-08  
V50          50           23           -1.12130E-11 
V51          51           23           4.69720E-10  
Cr50         50           24           -9.07030E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -4.16990E-08 
Cr53         53           24           -8.61390E-09 
Cr54         54           24           3.99940E-08  
Mn55         55           25           1.15700E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -6.77230E-07 
Fe55         55           26           1.55280E-12  
Fe56         56           26           -4.18640E-06 
Fe57         57           26           1.48060E-06  
Fe58         58           26           1.52540E-06  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.90100E-08  
Co59         59           27           3.71860E-07  
Co60         60           27           0.00000E+00  
Ni58         58           28           -4.61890E-07 
Ni59         59           28           2.17130E-08  
Ni60         60           28           1.55350E-07  
Ni61         61           28           1.21240E-07  
Ni62         62           28           2.00410E-07  
Ni63         63           28           7.85070E-13  
Ni64         64           28           2.02800E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           7.16430E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           6.66880E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           2.56790E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           7.21150E-08  
Zn67         67           30           1.63610E-08  
Zn68         68           30           9.29940E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           -8.60480E-11 
Ga69         69           31           1.75630E-08  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.96260E-08  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           3.21120E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           3.53410E-08  
Ge73         73           32           9.81640E-09  
Ge74         74           32           4.79590E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           -1.37230E-10 
Ge77         77           32           0.00000E+00  
As75         75           33           4.27750E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           1.72310E-08  
Se77         77           34           6.91460E-09  
Se78         78           34           2.59850E-08  
Se79         79           34           3.31060E-09  
Se80         80           34           5.07430E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           -3.05110E-11 
Br79         79           35           3.99260E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           8.66670E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           4.76070E-09  
Kr81         81           36           8.89670E-10  
Kr82         82           36           3.35410E-08  
Kr83         83           36           1.09980E-08  
Kr84         84           36           6.79900E-08  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.10660E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           1.15470E-08  
