Isotope      A            Z            YIELD 
H            1            1            -1.66290E-01 
He4          4            2            1.60170E-01  
C12          12           6            5.45500E-03  
C13          13           6            1.70600E-05  
C14          14           6            8.96280E-08  
N14          14           7            3.96390E-04  
N15          15           7            -3.98560E-07 
O16          16           8            1.99610E-05  
O17          17           8            1.06620E-05  
O18          18           8            -1.39040E-06 
F18          18           9            0.00000E+00  
F19          19           9            1.12650E-08  
Ne20         20           10           -5.82870E-06 
Ne21         21           10           1.96620E-07  
Ne22         22           10           9.71400E-05  
Na22         22           11           0.00000E+00  
Na23         23           11           1.19390E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           -3.54750E-07 
Mg25         25           12           5.39980E-06  
Mg26         26           12           7.94860E-06  
Al26         26           13           1.63110E-08  
Al27         27           13           8.00790E-07  
Si28         28           14           2.97330E-06  
Si29         29           14           3.83260E-07  
Si30         30           14           4.88780E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           2.00010E-12  
P31          31           15           1.98060E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -1.80320E-07 
S33          33           16           5.30170E-09  
S34          34           16           8.66590E-08  
S35          35           16           0.00000E+00  
S36          36           16           7.42080E-09  
Cl35         35           17           -2.33450E-09 
Cl36         36           17           2.28150E-10  
Cl37         37           17           1.00070E-08  
Ar36         36           18           -8.77600E-08 
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.21210E-08  
Ar39         39           18           2.90340E-11  
Ar40         40           18           7.68460E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           6.17130E-09  
K40          40           19           3.20610E-10  
K41          41           19           2.16660E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -5.35110E-08 
Ca41         41           20           3.85490E-10  
Ca42         42           20           3.07360E-09  
Ca43         43           20           9.00740E-10  
Ca44         44           20           2.47210E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.64800E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -1.22690E-11 
Sc45         45           21           1.14930E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           3.76120E-10  
Ti47         47           22           8.19050E-11  
Ti48         48           22           -2.61700E-09 
Ti49         49           22           1.14370E-09  
Ti50         50           22           5.05680E-09  
V50          50           23           -1.44920E-12 
V51          51           23           -1.58770E-10 
Cr50         50           24           -1.15430E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -1.33880E-08 
Cr53         53           24           -1.30570E-09 
Cr54         54           24           9.37590E-09  
Mn55         55           25           -1.28820E-08 
Mn56         56           25           0.00000E+00  
Fe54         54           26           -1.06070E-07 
Fe55         55           26           0.00000E+00  
Fe56         56           26           -1.27680E-06 
Fe57         57           26           1.08240E-07  
Fe58         58           26           4.41210E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.94700E-07  
Co59         59           27           1.58530E-07  
Co60         60           27           4.09670E-13  
Ni58         58           28           -7.36430E-08 
Ni59         59           28           1.10720E-09  
Ni60         60           28           6.36540E-08  
Ni61         61           28           5.11940E-08  
Ni62         62           28           1.17200E-07  
Ni63         63           28           5.53180E-11  
Ni64         64           28           1.23740E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           6.88590E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           2.85970E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           -3.24860E-10 
Zn65         65           30           0.00000E+00  
Zn66         66           30           2.05010E-08  
Zn67         67           30           4.63450E-09  
Zn68         68           30           2.87770E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           4.03690E-10  
Ga69         69           31           4.08080E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           2.70240E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           6.11780E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           6.59380E-09  
Ge73         73           32           1.96860E-09  
Ge74         74           32           1.16480E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           5.53140E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           1.18830E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           2.63380E-09  
Se77         77           34           1.05810E-09  
Se78         78           34           6.74360E-09  
Se79         79           34           1.17090E-09  
Se80         80           34           7.93850E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           4.78000E-10  
Br79         79           35           2.58370E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           1.39440E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.04870E-10  
Kr81         81           36           3.14010E-11  
Kr82         82           36           3.35580E-09  
Kr83         83           36           1.23510E-09  
Kr84         84           36           8.18690E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.23230E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           2.82430E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           5.78490E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.35900E-09  
Sr87         87           38           6.45720E-10  
Sr88         88           38           1.93310E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           2.30580E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           5.49050E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           4.53520E-09  
Zr91         91           40           1.43510E-09  
Zr92         92           40           2.36840E-09  
Zr93         93           40           9.07810E-10  
Zr94         94           40           3.05980E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.81130E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           2.12520E-11  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -1.57510E-12 
Mo93         93           42           0.00000E+00  
Mo94         94           42           -8.11010E-13 
Mo95         95           42           4.21470E-10  
Mo96         96           42           6.45210E-10  
Mo97         97           42           2.97930E-10  
Mo98         98           42           9.59330E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.00700E-10  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           1.11580E-10  
Ru96         96           44           -4.05340E-13 
Ru97         97           44           0.00000E+00  
Ru98         98           44           -1.36710E-13 
Ru99         99           44           2.21810E-11  
Ru00         100          44           4.22760E-10  
Ru01         101          44           9.92960E-11  
Ru02         102          44           6.07690E-10  
Ru03         103          44           0.00000E+00  
Ru04         104          44           8.50110E-11  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           1.10270E-10  
Rh05         105          45           0.00000E+00  
Pd04         104          46           2.89520E-10  
Pd05         105          46           8.41490E-11  
Pd06         106          46           3.77600E-10  
Pd07         107          46           7.31400E-11  
Pd08         108          46           4.58110E-10  
Pd09         109          46           0.00000E+00  
Pd10         110          46           7.78960E-11  
Ag07         107          47           -7.28800E-13 
Ag09         109          47           1.33730E-10  
Ag11         111          47           0.00000E+00  
Cd08         108          48           0.00000E+00  
Cd09         109          48           0.00000E+00  
Cd10         110          48           3.48470E-10  
Cd11         111          48           1.28370E-10  
Cd12         112          48           4.84730E-10  
Cd13         113          48           1.39520E-10  
Cd14         114          48           6.81080E-10  
Cd15         115          48           0.00000E+00  
Cd16         116          48           2.14230E-10  
In13         113          49           0.00000E+00  
In15         115          49           1.39240E-10  
Sn14         114          50           -1.11980E-13 
Sn15         115          50           0.00000E+00  
Sn16         116          50           7.86020E-10  
Sn17         117          50           2.75170E-10  
Sn18         118          50           1.30210E-09  
Sn19         119          50           3.88990E-10  
Sn20         120          50           2.08970E-09  
Sn21         121          50           0.00000E+00  
Sn22         122          50           8.24800E-10  
Sn23         123          50           0.00000E+00  
Sn24         124          50           2.12300E-10  
Sb21         121          51           1.64350E-10  
Sb22         122          51           0.00000E+00  
Sb23         123          51           9.26900E-11  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           2.31550E-10  
Te23         123          52           7.79030E-11  
Te24         124          52           5.58170E-10  
Te25         125          52           1.91010E-10  
Te26         126          52           1.00570E-09  
Te27         127          52           0.00000E+00  
Te28         128          52           1.55470E-10  
Te30         130          52           -6.93060E-12 
I127         127          53           1.30450E-10  
I128         128          53           0.00000E+00  
I129         129          53           6.11240E-12  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           3.04500E-10  
Xe29         129          54           1.22930E-10  
