Isotope      A            Z            YIELD 
H            1            1            -4.75740E-02 
He4          4            2            3.87820E-02  
C12          12           6            7.75300E-03  
C13          13           6            7.18800E-07  
C14          14           6            3.56640E-09  
N14          14           7            2.88120E-05  
N15          15           7            -2.50040E-09 
O16          16           8            2.56230E-04  
O17          17           8            8.88800E-07  
O18          18           8            -1.79170E-08 
F18          18           9            0.00000E+00  
F19          19           9            6.17640E-07  
Ne20         20           10           2.09650E-06  
Ne21         21           10           2.60200E-07  
Ne22         22           10           4.78680E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           3.41520E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           7.09080E-06  
Mg25         25           12           3.25620E-06  
Mg26         26           12           2.20130E-06  
Al26         26           13           8.50170E-09  
Al27         27           13           1.70730E-07  
Si28         28           14           1.13910E-07  
Si29         29           14           2.97290E-08  
Si30         30           14           5.10580E-08  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           4.52690E-08  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -6.17460E-08 
S33          33           16           5.24020E-09  
S34          34           16           2.37980E-08  
S35          35           16           0.00000E+00  
S36          36           16           1.14840E-09  
Cl35         35           17           -2.70390E-10 
Cl36         36           17           1.47250E-11  
Cl37         37           17           6.81750E-09  
Ar36         36           18           -3.33750E-08 
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.02830E-08  
Ar39         39           18           3.98000E-13  
Ar40         40           18           1.87290E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           2.00280E-09  
K40          40           19           2.37170E-10  
K41          41           19           1.29450E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -2.04550E-08 
Ca41         41           20           6.45310E-11  
Ca42         42           20           1.29020E-09  
Ca43         43           20           2.95960E-10  
Ca44         44           20           1.19820E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.64360E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -4.68910E-12 
Sc45         45           21           2.38420E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           3.32450E-10  
Ti47         47           22           1.09600E-10  
Ti48         48           22           -1.59500E-10 
Ti49         49           22           5.45880E-10  
Ti50         50           22           2.97960E-09  
V50          50           23           -2.21850E-13 
V51          51           23           9.99900E-11  
Cr50         50           24           -1.77260E-10 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -9.27930E-10 
Cr53         53           24           -9.10530E-11 
Cr54         54           24           1.34670E-09  
Mn55         55           25           -1.53290E-10 
Mn56         56           25           0.00000E+00  
Fe54         54           26           -1.50640E-08 
Fe55         55           26           0.00000E+00  
Fe56         56           26           -1.40780E-07 
Fe57         57           26           2.73890E-08  
Fe58         58           26           4.65490E-08  
Fe59         59           26           0.00000E+00  
Fe60         60           26           2.63730E-09  
Co59         59           27           1.12350E-08  
Co60         60           27           0.00000E+00  
Ni58         58           28           -1.05190E-08 
Ni59         59           28           1.32380E-10  
Ni60         60           28           6.25600E-09  
Ni61         61           28           3.93040E-09  
Ni62         62           28           8.20780E-09  
Ni63         63           28           1.20840E-13  
Ni64         64           28           1.29540E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           4.79090E-09  
Cu64         64           29           0.00000E+00  
Cu65         65           29           4.27080E-09  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           5.59340E-10  
Zn65         65           30           0.00000E+00  
Zn66         66           30           3.48340E-09  
Zn67         67           30           7.82960E-10  
Zn68         68           30           4.45080E-09  
Zn69         69           30           0.00000E+00  
Zn70         70           30           4.59910E-12  
Ga69         69           31           6.42520E-10  
Ga70         70           31           0.00000E+00  
Ga71         71           31           5.56190E-10  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.00330E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.10290E-09  
Ge73         73           32           3.27730E-10  
Ge74         74           32           1.96350E-09  
Ge75         75           32           0.00000E+00  
Ge76         76           32           8.05040E-12  
Ge77         77           32           0.00000E+00  
As75         75           33           1.97570E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           4.44300E-10  
Se77         77           34           1.73650E-10  
Se78         78           34           1.13010E-09  
Se79         79           34           7.20390E-11  
Se80         80           34           1.26670E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           2.88880E-12  
Br79         79           35           1.69750E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           2.22360E-10  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.26820E-11  
Kr81         81           36           8.83350E-13  
Kr82         82           36           5.91330E-10  
Kr83         83           36           2.21510E-10  
Kr84         84           36           1.54290E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.21310E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           4.38310E-10  
Rb86         86           37           0.00000E+00  
Rb87         87           37           5.21590E-10  
Rb88         88           37           0.00000E+00  
Sr86         86           38           3.96260E-10  
Sr87         87           38           2.64750E-10  
Sr88         88           38           6.33720E-09  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           1.66510E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           1.58920E-09  
Zr91         91           40           4.62790E-10  
Zr92         92           40           7.26060E-10  
Zr93         93           40           2.11620E-10  
Zr94         94           40           9.38260E-10  
Zr95         95           40           0.00000E+00  
Zr96         96           40           3.12150E-10  
Zr97         97           40           0.00000E+00  
Nb93         93           41           6.28360E-11  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -2.51940E-13 
Mo93         93           42           0.00000E+00  
Mo94         94           42           7.52900E-13  
Mo95         95           42           1.12800E-10  
Mo96         96           42           2.09600E-10  
Mo97         97           42           7.55320E-11  
Mo98         98           42           2.54480E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.64710E-11  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           7.06050E-12  
Ru96         96           44           0.00000E+00  
Ru97         97           44           0.00000E+00  
Ru98         98           44           0.00000E+00  
Ru99         99           44           2.70940E-11  
Ru00         100          44           1.21560E-10  
Ru01         101          44           2.78660E-11  
Ru02         102          44           1.77590E-10  
Ru03         103          44           0.00000E+00  
Ru04         104          44           1.49180E-11  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           3.20570E-11  
Rh05         105          45           0.00000E+00  
Pd04         104          46           9.14630E-11  
Pd05         105          46           2.53670E-11  
Pd06         106          46           1.13820E-10  
Pd07         107          46           2.11420E-11  
Pd08         108          46           1.42370E-10  
Pd09         109          46           0.00000E+00  
