Isotope      A            Z            YIELD 
H            1            1            -4.21690E-02 
He4          4            2            3.40180E-02  
C12          12           6            7.32100E-03  
C13          13           6            1.34480E-05  
C14          14           6            1.21500E-09  
N14          14           7            2.03570E-04  
N15          15           7            -2.79100E-07 
O16          16           8            1.55860E-04  
O17          17           8            5.36530E-06  
O18          18           8            -8.05270E-07 
F18          18           9            0.00000E+00  
F19          19           9            7.59630E-07  
Ne20         20           10           -2.88470E-07 
Ne21         21           10           1.95770E-07  
Ne22         22           10           2.29320E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           4.74390E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           7.02650E-07  
Mg25         25           12           9.17910E-06  
Mg26         26           12           1.16400E-05  
Al26         26           13           8.68540E-09  
Al27         27           13           1.85560E-06  
Si28         28           14           3.16260E-06  
Si29         29           14           3.68990E-07  
Si30         30           14           4.67570E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           9.70740E-13  
P31          31           15           2.35920E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -2.15680E-07 
S33          33           16           8.82460E-09  
S34          34           16           1.08970E-07  
S35          35           16           0.00000E+00  
S36          36           16           9.14270E-09  
Cl35         35           17           -3.36320E-09 
Cl36         36           17           2.73040E-10  
Cl37         37           17           1.25250E-08  
Ar36         36           18           -1.14870E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.82920E-08  
Ar39         39           18           1.71790E-11  
Ar40         40           18           7.99230E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           6.99240E-09  
K40          40           19           5.03250E-10  
K41          41           19           3.10360E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -6.89670E-08 
Ca41         41           20           4.81660E-10  
Ca42         42           20           4.02210E-09  
Ca43         43           20           1.15940E-09  
Ca44         44           20           2.87490E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.70270E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -3.08790E-11 
Sc45         45           21           1.46170E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
