Isotope      A            Z            YIELD 
H            1            1            -2.40160E-02 
He4          4            2            2.13750E-02  
C12          12           6            1.62800E-03  
C13          13           6            2.07780E-05  
C14          14           6            3.03100E-11  
N14          14           7            4.40970E-04  
N15          15           7            -6.19560E-07 
O16          16           8            3.15340E-05  
O17          17           8            3.87500E-06  
O18          18           8            -1.70460E-06 
F18          18           9            0.00000E+00  
F19          19           9            1.20240E-07  
Ne20         20           10           -9.52230E-07 
Ne21         21           10           2.37080E-08  
Ne22         22           10           1.05340E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           3.00420E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.54950E-06  
Mg25         25           12           -1.38640E-07 
Mg26         26           12           1.81610E-07  
Al26         26           13           7.78790E-08  
Al27         27           13           2.65570E-07  
Si28         28           14           1.89140E-09  
Si29         29           14           8.64340E-09  
Si30         30           14           6.91510E-08  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           5.62600E-08  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -1.02150E-07 
S33          33           16           1.16660E-08  
S34          34           16           4.28740E-08  
S35          35           16           0.00000E+00  
S36          36           16           3.40230E-09  
Cl35         35           17           -3.43640E-09 
Cl36         36           17           1.62530E-10  
Cl37         37           17           2.71160E-08  
Ar36         36           18           -7.56700E-08 
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.02580E-08  
Ar39         39           18           5.86620E-13  
Ar40         40           18           2.73050E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           4.07480E-09  
K40          40           19           -3.02410E-10 
K41          41           19           5.86670E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -4.16890E-08 
Ca41         41           20           3.14110E-10  
Ca42         42           20           3.95110E-09  
Ca43         43           20           7.09050E-10  
Ca44         44           20           2.58530E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.91700E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -2.47960E-11 
Sc45         45           21           7.04500E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           9.33370E-10  
Ti47         47           22           -1.27690E-10 
Ti48         48           22           -3.27640E-09 
Ti49         49           22           3.34730E-09  
Ti50         50           22           8.59710E-09  
V50          50           23           -2.23110E-12 
V51          51           23           -8.97580E-11 
Cr50         50           24           -1.80570E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -7.51810E-09 
Cr53         53           24           -1.89590E-09 
Cr54         54           24           8.78890E-09  
Mn55         55           25           1.41820E-08  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -1.46200E-07 
Fe55         55           26           1.57000E-13  
Fe56         56           26           -7.94910E-07 
Fe57         57           26           2.78420E-07  
Fe58         58           26           3.48250E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           8.21360E-09  
Co59         59           27           8.08550E-08  
Co60         60           27           0.00000E+00  
Ni58         58           28           -9.28230E-08 
Ni59         59           28           1.55030E-09  
Ni60         60           28           2.77300E-08  
Ni61         61           28           2.27160E-08  
Ni62         62           28           3.00660E-08  
Ni63         63           28           1.52520E-13  
Ni64         64           28           2.55770E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.82550E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           8.23130E-09  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           1.36550E-09  
Zn65         65           30           0.00000E+00  
Zn66         66           30           6.03610E-09  
Zn67         67           30           1.47990E-09  
Zn68         68           30           8.73680E-09  
Zn69         69           30           0.00000E+00  
Zn70         70           30           -1.62870E-11 
Ga69         69           31           1.67590E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.74990E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           2.96420E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           3.17560E-09  
Ge73         73           32           8.99380E-10  
Ge74         74           32           6.36480E-09  
Ge75         75           32           0.00000E+00  
Ge76         76           32           -1.81410E-11 
Ge77         77           32           0.00000E+00  
As75         75           33           6.29040E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           1.61110E-09  
Se77         77           34           6.39000E-10  
Se78         78           34           4.40690E-09  
Se79         79           34           2.35140E-10  
Se80         80           34           5.14750E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           -5.18280E-12 
Br79         79           35           4.65350E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           1.08920E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           3.83860E-10  
Kr81         81           36           6.06920E-11  
Kr82         82           36           3.08210E-09  
Kr83         83           36           1.02520E-09  
Kr84         84           36           6.70390E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           2.44950E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           1.30010E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           7.73680E-10  
Rb88         88           37           0.00000E+00  
Sr86         86           38           3.39640E-09  
Sr87         87           38           2.09010E-09  
Sr88         88           38           6.34470E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           1.41090E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           1.72070E-08  
Zr91         91           40           4.08180E-09  
Zr92         92           40           6.86190E-09  
Zr93         93           40           2.07380E-09  
Zr94         94           40           1.06360E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.12640E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           4.98190E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -2.65120E-12 
Mo93         93           42           0.00000E+00  
Mo94         94           42           6.72850E-11  
Mo95         95           42           1.12770E-09  
Mo96         96           42           2.29140E-09  
Mo97         97           42           8.01790E-10  
Mo98         98           42           2.74160E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           4.93360E-11  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           1.03300E-10  
Ru96         96           44           -8.77480E-13 
Ru97         97           44           0.00000E+00  
Ru98         98           44           -1.98200E-13 
Ru99         99           44           2.65680E-10  
Ru00         100          44           1.34820E-09  
Ru01         101          44           2.95130E-10  
Ru02         102          44           1.85450E-09  
Ru03         103          44           0.00000E+00  
Ru04         104          44           3.68200E-11  
Ru05         105          44           0.00000E+00  
