Isotope      A            Z            YIELD 
H            1            1            -8.39610E-02 
He4          4            2            7.97830E-02  
C12          12           6            2.30130E-03  
C13          13           6            9.66320E-05  
C14          14           6            8.73340E-08  
N14          14           7            1.94340E-03  
N15          15           7            -2.21980E-06 
O16          16           8            -4.38760E-04 
O17          17           8            2.81360E-05  
O18          18           8            -6.99440E-06 
F18          18           9            0.00000E+00  
F19          19           9            7.03350E-08  
Ne20         20           10           -4.56140E-06 
Ne21         21           10           1.95590E-06  
Ne22         22           10           1.23060E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.12790E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           -2.47760E-06 
Mg25         25           12           2.93510E-07  
Mg26         26           12           6.75260E-06  
Al26         26           13           1.20390E-07  
Al27         27           13           5.46870E-06  
Si28         28           14           2.12480E-06  
Si29         29           14           1.64140E-07  
Si30         30           14           2.50370E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           1.24040E-13  
P31          31           15           1.77320E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -2.92000E-07 
S33          33           16           2.76970E-08  
S34          34           16           1.08580E-07  
S35          35           16           0.00000E+00  
S36          36           16           7.67330E-09  
Cl35         35           17           -6.56570E-09 
Cl36         36           17           1.21090E-09  
Cl37         37           17           3.98210E-08  
Ar36         36           18           -1.62820E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           4.32990E-08  
Ar39         39           18           3.68510E-11  
Ar40         40           18           1.37140E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           8.13620E-09  
K40          40           19           2.20450E-09  
K41          41           19           6.93300E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -9.33140E-08 
Ca41         41           20           2.92650E-09  
Ca42         42           20           7.32730E-09  
Ca43         43           20           1.65520E-09  
Ca44         44           20           5.28680E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           4.90040E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -6.09910E-11 
Sc45         45           21           1.94240E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.75300E-09  
Ti47         47           22           4.18410E-11  
Ti48         48           22           -6.40450E-09 
Ti49         49           22           6.87240E-09  
Ti50         50           22           1.79300E-08  
V50          50           23           -4.48170E-12 
V51          51           23           2.01510E-10  
Cr50         50           24           -3.58850E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -2.05190E-08 
Cr53         53           24           -1.52850E-09 
Cr54         54           24           1.93090E-08  
Mn55         55           25           2.71780E-08  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -2.84370E-07 
Fe55         55           26           2.96390E-12  
Fe56         56           26           -2.22790E-06 
Fe57         57           26           7.26620E-07  
Fe58         58           26           8.72870E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           2.72000E-08  
Co59         59           27           1.71520E-07  
Co60         60           27           0.00000E+00  
Ni58         58           28           -2.01870E-07 
Ni59         59           28           2.79260E-08  
Ni60         60           28           7.69740E-08  
Ni61         61           28           5.57760E-08  
Ni62         62           28           8.21960E-08  
Ni63         63           28           3.23320E-11  
Ni64         64           28           7.69210E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           3.64440E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           3.03890E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           2.98910E-09  
Zn65         65           30           0.00000E+00  
Zn66         66           30           2.69240E-08  
Zn67         67           30           6.32290E-09  
Zn68         68           30           3.99500E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           2.16750E-11  
Ga69         69           31           6.22350E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           5.81680E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.08040E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.38240E-08  
Ge73         73           32           4.17070E-09  
Ge74         74           32           2.80120E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           1.15710E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           2.86620E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           6.72860E-09  
Se77         77           34           2.66300E-09  
Se78         78           34           1.89610E-08  
Se79         79           34           2.84050E-09  
Se80         80           34           2.36910E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           4.96840E-11  
Br79         79           35           1.00240E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           4.30720E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           6.68140E-10  
Kr81         81           36           2.63590E-10  
Kr82         82           36           1.29860E-08  
Kr83         83           36           4.82520E-09  
Kr84         84           36           3.36400E-08  
Kr85         85           36           0.00000E+00  
Kr86         86           36           3.08860E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           8.75490E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.04300E-08  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.07120E-08  
Sr87         87           38           7.69800E-09  
Sr88         88           38           1.69520E-07  
Sr89         89           38           0.00000E+00  
Sr90         90           38           2.25230E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           4.13820E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           3.81270E-08  
Zr91         91           40           1.09490E-08  
Zr92         92           40           1.66060E-08  
Zr93         93           40           6.09010E-09  
Zr94         94           40           2.00190E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           3.53990E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           1.12400E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -5.30140E-12 
Mo93         93           42           0.00000E+00  
Mo94         94           42           3.51070E-12  
Mo95         95           42           2.54550E-09  
Mo96         96           42           4.19520E-09  
Mo97         97           42           1.47450E-09  
Mo98         98           42           4.82020E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           3.04330E-10  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           5.42890E-10  
Ru96         96           44           -1.58840E-12 
Ru97         97           44           0.00000E+00  
Ru98         98           44           -4.35060E-13 
Ru99         99           44           1.06870E-10  
Ru00         100          44           2.26790E-09  
Ru01         101          44           5.13520E-10  
Ru02         102          44           3.27510E-09  
Ru03         103          44           0.00000E+00  
Ru04         104          44           3.01540E-10  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           5.84740E-10  
Rh05         105          45           0.00000E+00  
Pd04         104          46           1.68300E-09  
Pd05         105          46           4.64540E-10  
Pd06         106          46           2.12690E-09  
Pd07         107          46           4.15720E-10  
Pd08         108          46           2.65700E-09  
Pd09         109          46           0.00000E+00  
Pd10         110          46           3.07820E-10  
Ag07         107          47           -2.62180E-12 
Ag09         109          47           7.79270E-10  
Ag11         111          47           0.00000E+00  
Cd08         108          48           5.37130E-13  
Cd09         109          48           0.00000E+00  
Cd10         110          48           2.12820E-09  
Cd11         111          48           7.55340E-10  
Cd12         112          48           2.88220E-09  
Cd13         113          48           8.36100E-10  
Cd14         114          48           4.17980E-09  
Cd15         115          48           0.00000E+00  
Cd16         116          48           7.29300E-10  
In13         113          49           -1.39470E-13 
In15         115          49           8.35010E-10  
Sn14         114          50           -3.13840E-13 
Sn15         115          50           -1.69300E-13 
Sn16         116          50           5.40590E-09  
Sn17         117          50           1.74310E-09  
Sn18         118          50           8.28000E-09  
Sn19         119          50           2.49570E-09  
Sn20         120          50           1.32810E-08  
Sn21         121          50           0.00000E+00  
Sn22         122          50           1.35040E-09  
Sn23         123          50           0.00000E+00  
Sn24         124          50           3.73040E-11  
Sb21         121          51           1.01190E-09  
Sb22         122          51           0.00000E+00  
Sb23         123          51           2.41430E-10  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           1.54020E-09  
Te23         123          52           5.28890E-10  
Te24         124          52           3.09720E-09  
Te25         125          52           1.01460E-09  
Te26         126          52           5.68020E-09  
Te27         127          52           0.00000E+00  
Te28         128          52           6.41020E-10  
Te30         130          52           -1.42220E-11 
I127         127          53           7.39500E-10  
I128         128          53           0.00000E+00  
I129         129          53           1.78060E-11  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           1.77680E-09  
Xe29         129          54           7.23610E-10  
Xe30         130          54           3.77880E-09  
Xe31         131          54           1.06080E-09  
Xe32         132          54           7.62600E-09  
Xe33         133          54           0.00000E+00  
Xe34         134          54           1.11080E-09  
Xe35         135          54           0.00000E+00  
Xe36         136          54           1.41110E-11  
Cs33         133          55           1.06710E-09  
Cs34         134          55           0.00000E+00  
Cs35         135          55           6.85870E-10  
Cs36         136          55           0.00000E+00  
Cs37         137          55           2.08110E-13  
Ba34         134          56           2.42870E-09  
Ba35         135          56           8.08420E-10  
Ba36         136          56           7.44740E-09  
Ba37         137          56           7.01810E-09  
Ba38         138          56           8.67520E-08  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           1.03470E-08  
La40         140          57           0.00000E+00  
Ce40         140          58           3.05980E-08  
Ce41         141          58           0.00000E+00  
Ce42         142          58           1.41790E-09  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           3.18920E-09  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           7.49290E-09  
Nd43         143          60           1.27250E-09  
Nd44         144          60           4.09660E-09  
Nd45         145          60           7.68620E-10  
Nd46         146          60           3.74010E-09  
Nd47         147          60           0.00000E+00  
Nd48         148          60           5.63640E-10  
Nd49         149          60           0.00000E+00  
Nd50         150          60           1.80520E-11  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           -1.63990E-13 
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           4.37540E-10  
Sm48         148          62           1.00220E-09  
Sm49         149          62           1.87040E-10  
Sm50         150          62           8.00060E-10  
Sm51         151          62           0.00000E+00  
Sm52         152          62           6.77500E-10  
Sm53         153          62           0.00000E+00  
Sm54         154          62           2.50600E-10  
Eu51         151          63           1.13110E-10  
Eu52         152          63           0.00000E+00  
Eu53         153          63           1.35430E-10  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           1.47060E-11  
Gd53         153          64           0.00000E+00  
Gd54         154          64           1.97420E-10  
Gd55         155          64           1.73140E-10  
Gd56         156          64           5.56900E-10  
Gd57         157          64           2.63470E-10  
Gd58         158          64           1.00010E-09  
Gd59         159          64           0.00000E+00  
Gd60         160          64           1.83430E-10  
Tb59         159          65           2.36010E-10  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           3.43480E-10  
Dy61         161          66           1.78400E-10  
Dy62         162          66           7.40340E-10  
Dy63         163          66           2.11590E-10  
Dy64         164          66           1.08630E-09  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           1.09690E-11  
Ho64         164          67           0.00000E+00  
Ho65         165          67           3.21250E-10  
Ho66         166          67           0.00000E+00  
Er64         164          68           1.57620E-10  
Er65         165          68           0.00000E+00  
Er66         166          68           5.16440E-10  
Er67         167          68           2.36810E-10  
Er68         168          68           9.30320E-10  
Er69         169          68           0.00000E+00  
Er70         170          68           3.67730E-10  
Er71         171          68           0.00000E+00  
Er72         172          68           0.00000E+00  
Tm69         169          69           1.85500E-10  
Tm70         170          69           0.00000E+00  
Tm71         171          69           0.00000E+00  
Tm72         172          69           0.00000E+00  
Tm73         173          69           0.00000E+00  
Yb70         170          70           2.87260E-10  
Yb71         171          70           4.01920E-10  
Yb72         172          70           1.03250E-09  
Yb73         173          70           4.85610E-10  
Yb74         174          70           2.27110E-09  
Yb75         175          70           0.00000E+00  
Yb76         176          70           3.78560E-10  
Yb77         177          70           0.00000E+00  
Lu75         175          71           3.13300E-10  
Lu76         176          71           5.51510E-11  
Lu77         177          71           0.00000E+00  
Hf76         176          72           4.12170E-10  
Hf77         177          72           2.66820E-10  
Hf78         178          72           1.18300E-09  
Hf79         179          72           4.17380E-10  
Hf80         180          72           2.27900E-09  
Hf81         181          72           0.00000E+00  
Hf82         182          72           1.41000E-10  
Hf83         183          72           0.00000E+00  
Hf84         184          72           0.00000E+00  
Ta79         179          73           0.00000E+00  
Ta80         180          73           2.71900E-13  
Ta81         181          73           4.79600E-10  
Ta82         182          73           0.00000E+00  
Ta83         183          73           0.00000E+00  
Ta84         184          73           0.00000E+00  
W180         180          74           0.00000E+00  
W181         181          74           0.00000E+00  
W182         182          74           9.16730E-10  
W183         183          74           6.13220E-10  
W184         184          74           1.58700E-09  
W185         185          74           0.00000E+00  
W186         186          74           6.95820E-10  
W187         187          74           0.00000E+00  
W188         188          74           0.00000E+00  
Re85         185          75           3.12330E-10  
Re86         186          75           0.00000E+00  
Re87         187          75           1.67520E-10  
Re88         188          75           0.00000E+00  
Re89         189          75           0.00000E+00  
Os86         186          76           5.75650E-10  
Os87         187          76           1.81050E-10  
Os88         188          76           1.30500E-09  
Os89         189          76           2.79300E-10  
Os90         190          76           1.42380E-09  
Os91         191          76           0.00000E+00  
Os92         192          76           6.90330E-10  
Os93         193          76           0.00000E+00  
Os94         194          76           0.00000E+00  
Ir91         191          77           2.70760E-10  
Ir92         192          77           0.00000E+00  
Ir93         193          77           3.36410E-10  
Ir94         194          77           0.00000E+00  
Ir95         195          77           0.00000E+00  
Pt92         192          78           4.19530E-10  
Pt93         193          78           0.00000E+00  
Pt94         194          78           1.57690E-09  
Pt95         195          78           6.02610E-10  
Pt96         196          78           2.08350E-09  
Pt97         197          78           0.00000E+00  
Pt98         198          78           1.91020E-10  
Au97         197          79           6.09400E-10  
Au98         198          79           0.00000E+00  
