Isotope      A            Z            YIELD 
H            1            1            -1.69050E-02 
He4          4            2            1.62860E-02  
C12          12           6            -5.90850E-04 
C13          13           6            4.23650E-05  
C14          14           6            0.00000E+00  
N14          14           7            6.50320E-04  
N15          15           7            -8.77570E-07 
O16          16           8            -5.37330E-06 
O17          17           8            1.26580E-06  
O18          18           8            -2.20430E-06 
F18          18           9            0.00000E+00  
F19          19           9            1.01310E-09  
Ne20         20           10           -1.98450E-08 
Ne21         21           10           -2.04010E-09 
Ne22         22           10           -5.24610E-07 
Na22         22           11           0.00000E+00  
Na23         23           11           5.93750E-07  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.07970E-08  
Mg25         25           12           -3.25220E-08 
Mg26         26           12           1.00010E-08  
Al26         26           13           1.99230E-08  
Al27         27           13           4.31860E-09  
Si28         28           14           -1.37460E-09 
Si29         29           14           0.00000E+00  
Si30         30           14           0.00000E+00  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           -4.70990E-12 
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           0.00000E+00  
S33          33           16           4.32590E-12  
S34          34           16           0.00000E+00  
S35          35           16           0.00000E+00  
S36          36           16           0.00000E+00  
Cl35         35           17           0.00000E+00  
Cl36         36           17           1.80060E-13  
Cl37         37           17           6.48920E-12  
Ar36         36           18           5.86200E-11  
Ar37         37           18           0.00000E+00  
Ar38         38           18           0.00000E+00  
Ar39         39           18           0.00000E+00  
Ar40         40           18           6.08540E-11  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           0.00000E+00  
K40          40           19           -4.25990E-09 
K41          41           19           1.24590E-12  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           4.15340E-09  
Ca41         41           20           5.71130E-13  
Ca42         42           20           0.00000E+00  
Ca43         43           20           -1.37460E-13 
Ca44         44           20           0.00000E+00  
Ca45         45           20           0.00000E+00  
Ca46         46           20           0.00000E+00  
Ca47         47           20           0.00000E+00  
Ca48         48           20           0.00000E+00  
Sc45         45           21           0.00000E+00  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           0.00000E+00  
Ti47         47           22           -2.16300E-13 
Ti48         48           22           0.00000E+00  
Ti49         49           22           6.48920E-13  
Ti50         50           22           0.00000E+00  
V50          50           23           0.00000E+00  
V51          51           23           0.00000E+00  
Cr50         50           24           0.00000E+00  
Cr51         51           24           0.00000E+00  
Cr52         52           24           0.00000E+00  
Cr53         53           24           0.00000E+00  
Cr54         54           24           1.08150E-12  
Mn55         55           25           -1.96060E-11 
Mn56         56           25           0.00000E+00  
Fe54         54           26           5.86080E-11  
Fe55         55           26           0.00000E+00  
Fe56         56           26           -1.37460E-09 
Fe57         57           26           6.48920E-11  
Fe58         58           26           1.94680E-11  
Fe59         59           26           0.00000E+00  
Fe60         60           26           0.00000E+00  
Co59         59           27           6.30150E-12  
Co60         60           27           0.00000E+00  
Ni58         58           28           -2.16320E-11 
Ni59         59           28           3.27730E-12  
Ni60         60           28           0.00000E+00  
Ni61         61           28           1.57700E-12  
Ni62         62           28           0.00000E+00  
Ni63         63           28           0.00000E+00  
Ni64         64           28           2.74920E-12  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           0.00000E+00  
Cu64         64           29           0.00000E+00  
Cu65         65           29           4.32610E-13  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           5.86010E-13  
Zn65         65           30           0.00000E+00  
Zn66         66           30           -6.87310E-13 
Zn67         67           30           0.00000E+00  
Zn68         68           30           0.00000E+00  
Zn69         69           30           0.00000E+00  
Zn70         70           30           0.00000E+00  
Ga69         69           31           0.00000E+00  
Ga70         70           31           0.00000E+00  
Ga71         71           31           0.00000E+00  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           0.00000E+00  
Ge71         71           32           0.00000E+00  
Ge72         72           32           0.00000E+00  
Ge73         73           32           0.00000E+00  
Ge74         74           32           -2.74920E-13 
Ge75         75           32           0.00000E+00  
Ge76         76           32           0.00000E+00  
Ge77         77           32           0.00000E+00  
As75         75           33           0.00000E+00  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           0.00000E+00  
