Isotope      A            Z            YIELD 
H            1            1            -5.52770E-01 
He4          4            2            5.47440E-01  
C12          12           6            3.75490E-03  
C13          13           6            2.43730E-04  
C14          14           6            6.39680E-09  
N14          14           7            1.40620E-03  
N15          15           7            -7.89590E-08 
O16          16           8            3.67360E-08  
O17          17           8            6.76440E-06  
O18          18           8            -2.51090E-07 
F18          18           9            0.00000E+00  
F19          19           9            -6.09190E-09 
Ne20         20           10           -9.30610E-06 
Ne21         21           10           2.90810E-07  
Ne22         22           10           1.76330E-05  
Na22         22           11           5.49530E-12  
Na23         23           11           1.22110E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           4.63970E-06  
Mg25         25           12           4.97800E-06  
Mg26         26           12           9.12480E-06  
Al26         26           13           2.28180E-07  
Al27         27           13           1.13520E-06  
Si28         28           14           7.39360E-07  
Si29         29           14           1.46050E-07  
Si30         30           14           3.11460E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           9.30000E-12  
P31          31           15           1.25580E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -7.41820E-08 
S33          33           16           4.23110E-09  
S34          34           16           3.35140E-08  
S35          35           16           0.00000E+00  
S36          36           16           2.18960E-09  
Cl35         35           17           3.37580E-10  
Cl36         36           17           1.40620E-10  
Cl37         37           17           9.87490E-09  
Ar36         36           18           -3.62360E-08 
Ar37         37           18           0.00000E+00  
Ar38         38           18           7.40800E-09  
Ar39         39           18           1.97590E-11  
Ar40         40           18           3.95330E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           2.41290E-09  
K40          40           19           1.26170E-10  
K41          41           19           1.82530E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -2.24840E-08 
Ca41         41           20           1.27800E-09  
Ca42         42           20           8.78390E-10  
Ca43         43           20           2.36620E-10  
Ca44         44           20           1.12570E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.09420E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           6.11130E-11  
Sc45         45           21           4.47760E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.25450E-10  
Ti47         47           22           1.23000E-10  
Ti48         48           22           -8.98310E-11 
Ti49         49           22           5.14000E-10  
Ti50         50           22           1.07960E-09  
V50          50           23           -3.49140E-13 
V51          51           23           1.28710E-10  
Cr50         50           24           -2.85020E-10 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -1.39810E-09 
Cr53         53           24           -5.80730E-10 
Cr54         54           24           1.37560E-09  
Mn55         55           25           5.93190E-09  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -1.96540E-08 
Fe55         55           26           0.00000E+00  
Fe56         56           26           -1.44330E-07 
Fe57         57           26           1.59260E-08  
Fe58         58           26           2.18150E-08  
Fe59         59           26           0.00000E+00  
Fe60         60           26           2.92610E-08  
Co59         59           27           9.12310E-09  
Co60         60           27           0.00000E+00  
Ni58         58           28           -9.34630E-09 
Ni59         59           28           1.52260E-09  
Ni60         60           28           9.84430E-10  
