Isotope      A            Z            YIELD 
H            1            1            -7.61110E-02 
He4          4            2            6.33430E-02  
C12          12           6            1.18030E-02  
C13          13           6            4.64170E-05  
C14          14           6            4.67340E-08  
N14          14           7            5.27660E-05  
N15          15           7            -2.27850E-08 
O16          16           8            2.96990E-04  
O17          17           8            3.02230E-06  
O18          18           8            -9.33360E-08 
F18          18           9            0.00000E+00  
F19          19           9            9.10510E-08  
Ne20         20           10           2.49100E-06  
Ne21         21           10           5.23570E-07  
Ne22         22           10           3.22920E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           6.02290E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.85310E-06  
Mg25         25           12           2.21980E-05  
Mg26         26           12           3.67870E-05  
Al26         26           13           4.05800E-09  
Al27         27           13           1.39510E-06  
Si28         28           14           3.34110E-06  
Si29         29           14           6.08000E-07  
Si30         30           14           1.00870E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           1.24400E-11  
P31          31           15           4.57670E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -1.36710E-07 
S33          33           16           7.16770E-09  
S34          34           16           1.12120E-07  
S35          35           16           0.00000E+00  
S36          36           16           8.95330E-09  
Cl35         35           17           1.44590E-09  
Cl36         36           17           1.42840E-10  
Cl37         37           17           5.13910E-09  
Ar36         36           18           -8.05410E-08 
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.09230E-08  
Ar39         39           18           1.31040E-11  
Ar40         40           18           9.54100E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           6.67450E-09  
K40          40           19           5.60860E-11  
K41          41           19           1.55510E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -5.33390E-08 
Ca41         41           20           9.61400E-11  
Ca42         42           20           2.20420E-09  
Ca43         43           20           6.45280E-10  
Ca44         44           20           3.06530E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.55550E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.42770E-10  
Sc45         45           21           1.04730E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           5.38130E-10  
Ti47         47           22           3.99730E-10  
Ti48         48           22           -5.70220E-11 
Ti49         49           22           8.04900E-10  
Ti50         50           22           3.17840E-09  
V50          50           23           -3.41330E-13 
V51          51           23           9.92810E-11  
Cr50         50           24           -2.71600E-10 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -3.49680E-09 
Cr53         53           24           -3.68000E-10 
Cr54         54           24           2.44470E-09  
Mn55         55           25           -3.95030E-09 
Mn56         56           25           0.00000E+00  
Fe54         54           26           -2.57380E-08 
Fe55         55           26           0.00000E+00  
Fe56         56           26           -3.70640E-07 
Fe57         57           26           5.62350E-09  
Fe58         58           26           6.44420E-08  
Fe59         59           26           0.00000E+00  
Fe60         60           26           9.20560E-08  
Co59         59           27           2.78610E-08  
Co60         60           27           1.86930E-13  
Ni58         58           28           -1.77500E-08 
