Isotope      A            Z            YIELD 
Y89          89           39           1.96290E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           2.13180E-08  
Zr91         91           40           5.10980E-09  
Zr92         92           40           8.64320E-09  
Zr93         93           40           2.58470E-09  
Zr94         94           40           1.19650E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           7.17800E-10  
Zr97         97           40           0.00000E+00  
Nb93         93           41           3.88610E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -3.67020E-12 
Mo93         93           42           0.00000E+00  
Mo94         94           42           6.43340E-11  
Mo95         95           42           1.16800E-09  
Mo96         96           42           2.45430E-09  
Mo97         97           42           8.60760E-10  
Mo98         98           42           3.03850E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           3.93740E-11  
Tc97         97           43           1.39750E-13  
Tc98         98           43           0.00000E+00  
Tc99         99           43           1.69780E-10  
Ru96         96           44           -1.25340E-12 
Ru97         97           44           0.00000E+00  
Ru98         98           44           -2.71060E-13 
Ru99         99           44           2.41760E-10  
Ru00         100          44           1.50080E-09  
Ru01         101          44           3.26190E-10  
Ru02         102          44           1.63680E-09  
Ru03         103          44           0.00000E+00  
Ru04         104          44           2.98410E-11  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           3.43800E-10  
Rh05         105          45           0.00000E+00  
Pd04         104          46           1.14540E-09  
Pd05         105          46           2.97010E-10  
Pd06         106          46           1.33780E-09  
Pd07         107          46           2.59270E-10  
Pd08         108          46           1.66920E-09  
Pd09         109          46           0.00000E+00  
Pd10         110          46           2.52600E-11  
Ag07         107          47           4.07090E-12  
Ag09         109          47           4.38310E-10  
Ag11         111          47           0.00000E+00  
Cd08         108          48           6.26450E-12  
Cd09         109          48           0.00000E+00  
Cd10         110          48           1.42350E-09  
Cd11         111          48           4.83460E-10  
Cd12         112          48           1.75090E-09  
Cd13         113          48           5.21450E-10  
Cd14         114          48           2.53840E-09  
Cd15         115          48           0.00000E+00  
Cd16         116          48           7.40650E-11  
In13         113          49           -1.47750E-13 
In15         115          49           5.02160E-10  
Sn14         114          50           -2.54610E-13 
Sn15         115          50           -1.30920E-13 
Sn16         116          50           3.49970E-09  
Sn17         117          50           1.07240E-09  
Sn18         118          50           4.59910E-09  
Sn19         119          50           1.41120E-09  
Sn20         120          50           7.18050E-09  
Sn21         121          50           0.00000E+00  
Sn22         122          50           1.08860E-10  
Sn23         123          50           0.00000E+00  
Sn24         124          50           5.36610E-13  
Sb21         121          51           5.50400E-10  
Sb22         122          51           0.00000E+00  
Sb23         123          51           3.29160E-11  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           9.43090E-10  
Te23         123          52           3.41710E-10  
Te24         124          52           1.81770E-09  
Te25         125          52           6.16940E-10  
Te26         126          52           3.31120E-09  
Te27         127          52           0.00000E+00  
Te28         128          52           3.89850E-10  
Te30         130          52           -8.87000E-12 
I127         127          53           4.17660E-10  
I128         128          53           0.00000E+00  
I129         129          53           6.08850E-12  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           1.03110E-09  
Xe29         129          54           4.00000E-10  
Xe30         130          54           2.20360E-09  
Xe31         131          54           5.83940E-10  
Xe32         132          54           4.10710E-09  
Xe33         133          54           0.00000E+00  
Xe34         134          54           8.77040E-11  
Xe35         135          54           0.00000E+00  
Xe36         136          54           -1.35720E-13 
Cs33         133          55           5.35520E-10  
Cs34         134          55           0.00000E+00  
Cs35         135          55           1.54470E-10  
Cs36         136          55           0.00000E+00  
Cs37         137          55           0.00000E+00  
Ba34         134          56           1.51610E-09  
Ba35         135          56           5.31910E-10  
Ba36         136          56           3.88920E-09  
Ba37         137          56           3.08300E-09  
Ba38         138          56           2.29610E-08  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           2.58730E-09  
La40         140          57           0.00000E+00  
Ce40         140          58           5.52830E-09  
Ce41         141          58           0.00000E+00  
Ce42         142          58           1.95690E-11  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           4.21500E-10  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           1.20510E-09  
Nd43         143          60           1.54810E-10  
Nd44         144          60           4.82630E-10  
Nd45         145          60           8.40130E-11  
Nd46         146          60           4.50320E-10  
Nd47         147          60           0.00000E+00  
Nd48         148          60           9.77850E-12  
Nd49         149          60           0.00000E+00  
Nd50         150          60           -8.13450E-13 
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           -1.11950E-13 
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           4.47590E-11  
Sm48         148          62           1.47380E-10  
Sm49         149          62           1.90530E-11  
Sm50         150          62           8.61290E-11  
