Isotope      A            Z            YIELD 
H            1            1            -7.86630E-02 
He4          4            2            6.20510E-02  
C12          12           6            1.32600E-02  
C13          13           6            4.73840E-05  
C14          14           6            2.48740E-10  
N14          14           7            1.61680E-03  
N15          15           7            -2.16770E-06 
O16          16           8            -1.60170E-04 
O17          17           8            3.67110E-05  
O18          18           8            -6.37160E-06 
F18          18           9            0.00000E+00  
F19          19           9            1.69000E-06  
Ne20         20           10           -1.05990E-06 
Ne21         21           10           4.36860E-07  
Ne22         22           10           1.49080E-03  
Na22         22           11           0.00000E+00  
Na23         23           11           3.45330E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           2.41240E-05  
Mg25         25           12           2.46100E-06  
Mg26         26           12           4.76520E-06  
Al26         26           13           2.78320E-07  
Al27         27           13           1.70620E-06  
Si28         28           14           -3.87630E-08 
Si29         29           14           1.29640E-07  
Si30         30           14           6.25390E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           6.88700E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -1.08260E-06 
S33          33           16           1.48860E-07  
S34          34           16           3.84920E-07  
S35          35           16           0.00000E+00  
S36          36           16           3.30230E-08  
Cl35         35           17           -3.17600E-08 
Cl36         36           17           1.87830E-09  
Cl37         37           17           2.69750E-07  
Ar36         36           18           -7.34510E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.84550E-07  
Ar39         39           18           2.00430E-12  
Ar40         40           18           3.33800E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           4.86670E-08  
K40          40           19           1.45100E-08  
K41          41           19           6.08770E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -4.30910E-07 
Ca41         41           20           4.31990E-09  
Ca42         42           20           3.75780E-08  
Ca43         43           20           7.05870E-09  
Ca44         44           20           3.92760E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.28110E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -2.75230E-10 
Sc45         45           21           8.11990E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.36620E-08  
Ti47         47           22           9.05550E-11  
Ti48         48           22           -2.62330E-08 
Ti49         49           22           3.37210E-08  
Ti50         50           22           9.04500E-08  
V50          50           23           -2.15420E-11 
V51          51           23           2.43170E-09  
Cr50         50           24           -1.73950E-08 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -8.37700E-08 
Cr53         53           24           -1.48930E-08 
Cr54         54           24           7.76380E-08  
Mn55         55           25           2.80430E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -1.32140E-06 
Fe55         55           26           5.36230E-13  
Fe56         56           26           -8.77830E-06 
Fe57         57           26           2.92660E-06  
Fe58         58           26           2.76540E-06  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.13910E-07  
Co59         59           27           7.99430E-07  
Co60         60           27           2.30880E-13  
Ni58         58           28           -8.76930E-07 
Ni59         59           28           3.19610E-08  
Ni60         60           28           3.31250E-07  
Ni61         61           28           2.52650E-07  
Ni62         62           28           2.99530E-07  
Ni63         63           28           3.27870E-13  
Ni64         64           28           4.25760E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.86210E-07  
Cu64         64           29           0.00000E+00  
Cu65         65           29           1.50120E-07  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           3.53150E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           1.15450E-07  
Zn67         67           30           2.63980E-08  
Zn68         68           30           1.47620E-07  
Zn69         69           30           0.00000E+00  
Zn70         70           30           -1.16200E-10 
Ga69         69           31           2.74060E-08  
Ga70         70           31           0.00000E+00  
Ga71         71           31           3.07990E-08  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           5.04870E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           5.73080E-08  
Ge73         73           32           1.63630E-08  
Ge74         74           32           1.12110E-07  
Ge75         75           32           0.00000E+00  
Ge76         76           32           -8.93310E-11 
Ge77         77           32           0.00000E+00  
As75         75           33           1.12430E-08  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           2.81960E-08  
Se77         77           34           1.12960E-08  
Se78         78           34           7.87650E-08  
Se79         79           34           3.33890E-09  
Se80         80           34           8.58170E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           -3.58020E-12 
Br79         79           35           9.13260E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           1.93940E-08  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           7.22870E-09  
Kr81         81           36           7.98820E-10  
Kr82         82           36           5.82190E-08  
Kr83         83           36           1.99810E-08  
Kr84         84           36           1.22420E-07  
Kr85         85           36           0.00000E+00  
Kr86         86           36           3.40320E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           2.23910E-08  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.17110E-08  
Rb88         88           37           0.00000E+00  
Sr86         86           38           6.10870E-08  
Sr87         87           38           4.04390E-08  
Sr88         88           38           1.00370E-06  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           2.12790E-07  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           2.50190E-07  
Zr91         91           40           5.94350E-08  
Zr92         92           40           9.57670E-08  
Zr93         93           40           2.45210E-08  
Zr94         94           40           1.43220E-07  
Zr95         95           40           0.00000E+00  
Zr96         96           40           9.76200E-09  
Zr97         97           40           0.00000E+00  
