Isotope      A            Z            YIELD 
H            1            1            -5.05000E-02 
He4          4            2            3.98310E-02  
C12          12           6            8.84180E-03  
C13          13           6            2.09160E-05  
C14          14           6            2.44810E-10  
N14          14           7            6.16260E-04  
N15          15           7            -9.19760E-07 
O16          16           8            1.47690E-04  
O17          17           8            2.36690E-05  
O18          18           8            -2.72180E-06 
F18          18           9            0.00000E+00  
F19          19           9            8.56200E-07  
Ne20         20           10           -1.49200E-06 
Ne21         21           10           1.52020E-07  
Ne22         22           10           6.81920E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.20160E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.16220E-05  
Mg25         25           12           2.28910E-06  
Mg26         26           12           3.12150E-06  
Al26         26           13           1.07320E-07  
Al27         27           13           9.84410E-07  
Si28         28           14           -6.95780E-08 
Si29         29           14           7.86270E-08  
Si30         30           14           3.80730E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           2.80500E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -4.90120E-07 
S33          33           16           6.35850E-08  
S34          34           16           1.92280E-07  
S35          35           16           0.00000E+00  
S36          36           16           1.48030E-08  
Cl35         35           17           -1.33840E-08 
Cl36         36           17           9.76380E-10  
Cl37         37           17           9.98360E-08  
Ar36         36           18           -3.16670E-07 
Ar37         37           18           0.00000E+00  
Ar38         38           18           8.19870E-08  
Ar39         39           18           3.55730E-12  
Ar40         40           18           1.52340E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.80250E-08  
K40          40           19           5.19340E-09  
K41          41           19           2.50000E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -1.95870E-07 
Ca41         41           20           2.46550E-09  
Ca42         42           20           1.56480E-08  
Ca43         43           20           3.03920E-09  
Ca44         44           20           1.31600E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.18850E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           -1.19750E-10 
Sc45         45           21           3.30420E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           4.40530E-09  
Ti47         47           22           -2.36660E-10 
Ti48         48           22           -1.22150E-08 
Ti49         49           22           1.33650E-08  
Ti50         50           22           4.16350E-08  
V50          50           23           -9.06680E-12 
V51          51           23           1.00060E-09  
Cr50         50           24           -7.30220E-09 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -3.52910E-08 
Cr53         53           24           -5.44750E-09 
Cr54         54           24           3.50420E-08  
Mn55         55           25           9.24840E-08  
Mn56         56           25           0.00000E+00  
Fe54         54           26           -5.43100E-07 
Fe55         55           26           1.53600E-12  
Fe56         56           26           -3.84370E-06 
Fe57         57           26           1.28760E-06  
Fe58         58           26           1.36570E-06  
Fe59         59           26           0.00000E+00  
Fe60         60           26           6.59000E-08  
Co59         59           27           3.61700E-07  
Co60         60           27           2.31530E-13  
Ni58         58           28           -3.87500E-07 
Ni59         59           28           1.78670E-08  
Ni60         60           28           1.45170E-07  
Ni61         61           28           1.02050E-07  
Ni62         62           28           1.56970E-07  
Ni63         63           28           1.56710E-12  
Ni64         64           28           1.42950E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           7.09540E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           3.95190E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           1.56760E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           3.49740E-08  
Zn67         67           30           7.96550E-09  
Zn68         68           30           4.26880E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           -4.53970E-11 
Ga69         69           31           7.54920E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           8.30570E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.37030E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.54150E-08  
Ge73         73           32           4.36810E-09  
Ge74         74           32           2.10290E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           -8.14030E-11 
Ge77         77           32           0.00000E+00  
As75         75           33           1.86090E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           7.53870E-09  
Se77         77           34           2.97540E-09  
Se78         78           34           1.14590E-08  
Se79         79           34           1.69670E-09  
Se80         80           34           2.23650E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           -8.10580E-12 
Br79         79           35           1.91110E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           3.79420E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.54410E-09  
Kr81         81           36           2.42200E-10  
Kr82         82           36           1.54590E-08  
Kr83         83           36           5.15030E-09  
Kr84         84           36           3.22950E-08  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.26110E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           5.92590E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           4.27620E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.54060E-08  
Sr87         87           38           1.02290E-08  
Sr88         88           38           2.97010E-07  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           6.67040E-08  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           7.70250E-08  
Zr91         91           40           2.02890E-08  
Zr92         92           40           3.41820E-08  
Zr93         93           40           9.14850E-09  
Zr94         94           40           5.08620E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           5.50620E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           2.50790E-09  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           -1.11700E-11 
Mo93         93           42           0.00000E+00  
Mo94         94           42           3.83170E-10  
