Isotope      A            Z            YIELD 
H            1            1            -4.68170E-02 
He4          4            2            4.07380E-02  
C12          12           6            4.73150E-03  
C13          13           6            4.07320E-04  
C14          14           6            1.25770E-08  
N14          14           7            3.32330E-04  
N15          15           7            3.27640E-08  
O16          16           8            2.27510E-04  
O17          17           8            8.92490E-07  
O18          18           8            4.07340E-07  
F18          18           9            0.00000E+00  
F19          19           9            1.88700E-07  
Ne20         20           10           5.09050E-07  
Ne21         21           10           9.44450E-08  
Ne22         22           10           1.90560E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.22240E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.77380E-06  
Mg25         25           12           3.82540E-07  
Mg26         26           12           5.74950E-07  
Al26         26           13           1.86050E-09  
Al27         27           13           9.87660E-09  
Si28         28           14           -2.47340E-09 
Si29         29           14           6.71660E-09  
Si30         30           14           2.50550E-08  
Si31         31           14           0.00000E+00  
Si32         32           14           1.60620E-12  
P31          31           15           4.16590E-08  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           -9.18370E-09 
S33          33           16           1.26200E-08  
S34          34           16           5.22620E-08  
S35          35           16           0.00000E+00  
S36          36           16           7.45230E-09  
Cl35         35           17           1.08450E-09  
Cl36         36           17           3.36050E-12  
Cl37         37           17           8.51270E-10  
Ar36         36           18           -9.27860E-09 
Ar37         37           18           0.00000E+00  
Ar38         38           18           5.74850E-10  
Ar39         39           18           1.32350E-13  
Ar40         40           18           1.47260E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           2.34010E-10  
K40          40           19           1.70550E-11  
K41          41           19           3.06960E-10  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           -6.75230E-09 
Ca41         41           20           2.28330E-12  
Ca42         42           20           6.06310E-10  
Ca43         43           20           1.95200E-10  
Ca44         44           20           4.33010E-10  
Ca45         45           20           0.00000E+00  
Ca46         46           20           6.68790E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.90220E-09  
Sc45         45           21           1.87900E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           2.57360E-11  
Ti47         47           22           9.91830E-10  
Ti48         48           22           -9.91280E-12 
Ti49         49           22           2.38100E-10  
Ti50         50           22           1.16080E-09  
V50          50           23           0.00000E+00  
V51          51           23           4.31840E-11  
Cr50         50           24           -3.19580E-11 
Cr51         51           24           0.00000E+00  
Cr52         52           24           -1.79570E-10 
Cr53         53           24           -2.67840E-11 
Cr54         54           24           3.50870E-10  
Mn55         55           25           -2.94350E-10 
Mn56         56           25           0.00000E+00  
Fe54         54           26           -2.92310E-09 
Fe55         55           26           0.00000E+00  
Fe56         56           26           -4.14300E-08 
Fe57         57           26           7.50460E-10  
Fe58         58           26           1.80630E-09  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.06050E-09  
Co59         59           27           4.15370E-10  
Co60         60           27           0.00000E+00  
Ni58         58           28           -2.01240E-09 
Ni59         59           28           5.29610E-12  
Ni60         60           28           -9.62210E-11 
Ni61         61           28           1.88320E-10  
Ni62         62           28           3.80360E-10  
Ni63         63           28           0.00000E+00  
Ni64         64           28           1.64410E-09  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           3.46270E-10  
Cu64         64           29           0.00000E+00  
Cu65         65           29           6.00130E-10  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           -1.04210E-11 
Zn65         65           30           0.00000E+00  
Zn66         66           30           1.93570E-09  
Zn67         67           30           3.46140E-10  
Zn68         68           30           9.15310E-10  
Zn69         69           30           0.00000E+00  
Zn70         70           30           6.27610E-10  
Ga69         69           31           2.08870E-10  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.87770E-10  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           8.38880E-11  
Ge71         71           32           0.00000E+00  
Ge72         72           32           4.43530E-10  
Ge73         73           32           2.68870E-10  
Ge74         74           32           4.67590E-10  
Ge75         75           32           0.00000E+00  
Ge76         76           32           8.16790E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           1.69330E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           5.18950E-11  
Se77         77           34           3.41970E-10  
Se78         78           34           9.57160E-10  
Se79         79           34           3.59610E-11  
Se80         80           34           7.54090E-10  
Se81         81           34           0.00000E+00  
Se82         82           34           2.79700E-09  
Br79         79           35           1.83710E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           1.91670E-10  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           8.39550E-13  
Kr81         81           36           1.51170E-13  
Kr82         82           36           7.90640E-11  
Kr83         83           36           4.81420E-10  
Kr84         84           36           7.38170E-10  
Kr85         85           36           0.00000E+00  
Kr86         86           36           5.55060E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           4.87420E-10  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.62430E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           5.67350E-11  
Sr87         87           38           2.15220E-11  
Sr88         88           38           2.73630E-09  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           1.07710E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
