isotope,a,z,yield,mass,metallicity,irv,mass_ej,massfrac,ysign
Ca41,41.0,20.0,4.1748e-09,2.0,0.014,60.0,1.3820999999999999,3.020620794443239e-09,1.0
Ca42,42.0,20.0,6.2501e-07,2.0,0.014,60.0,1.3820999999999999,4.5221763982345713e-07,1.0
Ca43,43.0,20.0,1.3274e-07,2.0,0.014,60.0,1.3820999999999999,9.604225454019247e-08,1.0
Ca44,44.0,20.0,2.0495e-06,2.0,0.014,60.0,1.3820999999999999,1.4828883582953478e-06,1.0
Ca45,45.0,20.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ca46,46.0,20.0,4.5828e-09,2.0,0.014,60.0,1.3820999999999999,3.3158237464727594e-09,1.0
Ca47,47.0,20.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ca48,48.0,20.0,1.9857e-07,2.0,0.014,60.0,1.3820999999999999,1.4367267202083788e-07,1.0
Sc45,45.0,21.0,5.952e-08,2.0,0.014,60.0,1.3820999999999999,4.306490123724767e-08,1.0
Sc46,46.0,21.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sc47,47.0,21.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sc48,48.0,21.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sc49,49.0,21.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ti46,46.0,22.0,3.4031e-07,2.0,0.014,60.0,1.3820999999999999,2.4622675638521093e-07,1.0
Ti47,47.0,22.0,3.0743e-07,2.0,0.014,60.0,1.3820999999999999,2.2243687142753782e-07,1.0
Ti48,48.0,22.0,3.1015e-06,2.0,0.014,60.0,1.3820999999999999,2.244048911077346e-06,1.0
Ti49,49.0,22.0,2.4929e-07,2.0,0.014,60.0,1.3820999999999999,1.8037045076333117e-07,1.0
Ti50,50.0,22.0,2.5223e-07,2.0,0.014,60.0,1.3820999999999999,1.8249764850589682e-07,1.0
V50,50.0,23.0,1.3108e-09,2.0,0.014,60.0,1.3820999999999999,9.484118370595472e-10,1.0
V51,51.0,23.0,5.3884e-07,2.0,0.014,60.0,1.3820999999999999,3.8987048694016353e-07,1.0
Cr50,50.0,24.0,1.0425e-06,2.0,0.014,60.0,1.3820999999999999,7.542869546342523e-07,1.0
Cr51,51.0,24.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cr52,52.0,24.0,2.1049e-05,2.0,0.014,60.0,1.3820999999999999,1.5229722885464151e-05,1.0
Cr53,53.0,24.0,2.4285e-06,2.0,0.014,60.0,1.3820999999999999,1.757108747558064e-06,1.0
Cr54,54.0,24.0,6.6236e-07,2.0,0.014,60.0,1.3820999999999999,4.792417335938065e-07,1.0
Mn55,55.0,25.0,1.8528e-05,2.0,0.014,60.0,1.3820999999999999,1.3405686998046451e-05,1.0
Mn56,56.0,25.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Fe54,54.0,26.0,0.00010025,2.0,0.014,60.0,1.3820999999999999,7.253454887490052e-05,1.0
Fe55,55.0,26.0,1.3212e-12,2.0,0.014,60.0,1.3820999999999999,9.559366181897115e-13,1.0
Fe56,56.0,26.0,0.0016392,2.0,0.014,60.0,1.3820999999999999,0.0011860212719774258,1.0
Fe57,57.0,26.0,4.0138e-05,2.0,0.014,60.0,1.3820999999999999,2.9041313942551194e-05,1.0
Fe58,58.0,26.0,7.0401e-06,2.0,0.014,60.0,1.3820999999999999,5.093770349468201e-06,1.0
Fe59,59.0,26.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Fe60,60.0,26.0,2.0767e-08,2.0,0.014,60.0,1.3820999999999999,1.5025685550973158e-08,1.0
Co59,59.0,27.0,5.2949e-06,2.0,0.014,60.0,1.3820999999999999,3.83105419289487e-06,1.0
Co60,60.0,27.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ni58,58.0,28.0,6.8926e-05,2.0,0.014,60.0,1.3820999999999999,4.987048694016352e-05,1.0
Ni59,59.0,28.0,2.5929e-08,2.0,0.014,60.0,1.3820999999999999,1.8760581723464294e-08,1.0
Ni60,60.0,28.0,2.7928e-05,2.0,0.014,60.0,1.3820999999999999,2.0206931481079518e-05,1.0
Ni61,61.0,28.0,1.3775e-06,2.0,0.014,60.0,1.3820999999999999,9.966717314231967e-07,1.0
Ni62,62.0,28.0,4.2676e-06,2.0,0.014,60.0,1.3820999999999999,3.0877649952970118e-06,1.0
Ni63,63.0,28.0,9.2655e-13,2.0,0.014,60.0,1.3820999999999999,6.703928803993922e-13,1.0
Ni64,64.0,28.0,1.3361e-06,2.0,0.014,60.0,1.3820999999999999,9.66717314231966e-07,1.0
Ni65,65.0,28.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ni66,66.0,28.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cu63,63.0,29.0,9.4526e-07,2.0,0.014,60.0,1.3820999999999999,6.839302510672166e-07,1.0
Cu64,64.0,29.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cu65,65.0,29.0,4.9397e-07,2.0,0.014,60.0,1.3820999999999999,3.574053975833876e-07,1.0
Cu66,66.0,29.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cu67,67.0,29.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Zn64,64.0,30.0,1.4895e-06,2.0,0.014,60.0,1.3820999999999999,1.0777078359018885e-06,1.0
Zn65,65.0,30.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Zn66,66.0,30.0,9.669e-07,2.0,0.014,60.0,1.3820999999999999,6.995875841111353e-07,1.0
Zn67,67.0,30.0,1.525e-07,2.0,0.014,60.0,1.3820999999999999,1.1033933868750452e-07,1.0
Zn68,68.0,30.0,7.2568e-07,2.0,0.014,60.0,1.3820999999999999,5.250560740901526e-07,1.0
Zn69,69.0,30.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Zn70,70.0,30.0,1.9988e-08,2.0,0.014,60.0,1.3820999999999999,1.446205050285797e-08,1.0
Ga69,69.0,31.0,8.027e-08,2.0,0.014,60.0,1.3820999999999999,5.80782866652196e-08,1.0
Ga70,70.0,31.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ga71,71.0,31.0,6.4384e-08,2.0,0.014,60.0,1.3820999999999999,4.6584183488893717e-08,1.0
Ga72,72.0,31.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ga73,73.0,31.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ge70,70.0,32.0,1.0987e-07,2.0,0.014,60.0,1.3820999999999999,7.949497142030245e-08,1.0
Ge71,71.0,32.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ge72,72.0,32.0,1.3452e-07,2.0,0.014,60.0,1.3820999999999999,9.733014977208596e-08,1.0
Ge73,73.0,32.0,3.7696e-08,2.0,0.014,60.0,1.3820999999999999,2.727443745025686e-08,1.0
Ge74,74.0,32.0,1.7746e-07,2.0,0.014,60.0,1.3820999999999999,1.2839881339989873e-07,1.0
Ge75,75.0,32.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ge76,76.0,32.0,2.4855e-08,2.0,0.014,60.0,1.3820999999999999,1.798350336444541e-08,1.0
Ge77,77.0,32.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
As75,75.0,33.0,2.1955e-08,2.0,0.014,60.0,1.3820999999999999,1.5885247087764997e-08,1.0
As76,76.0,33.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
As77,77.0,33.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Se76,76.0,34.0,3.8518e-08,2.0,0.014,60.0,1.3820999999999999,2.7869184574198687e-08,1.0
Se77,77.0,34.0,2.2857e-08,2.0,0.014,60.0,1.3820999999999999,1.653787714347732e-08,1.0
Se78,78.0,34.0,7.6362e-08,2.0,0.014,60.0,1.3820999999999999,5.525070544823096e-08,1.0
Se79,79.0,34.0,3.8935e-09,2.0,0.014,60.0,1.3820999999999999,2.817089935605239e-09,1.0
Se80,80.0,34.0,1.5361e-07,2.0,0.014,60.0,1.3820999999999999,1.1114246436582014e-07,1.0
Se81,81.0,34.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Se82,82.0,34.0,1.6712e-08,2.0,0.014,60.0,1.3820999999999999,1.2091744446856234e-08,1.0
Br79,79.0,35.0,2.1464e-08,2.0,0.014,60.0,1.3820999999999999,1.5529990594023588e-08,1.0
Br80,80.0,35.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Br81,81.0,35.0,2.6124e-08,2.0,0.014,60.0,1.3820999999999999,1.8901671369654873e-08,1.0
Br82,82.0,35.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Br83,83.0,35.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Br84,84.0,35.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Kr80,80.0,36.0,9.2216e-09,2.0,0.014,60.0,1.3820999999999999,6.672165545184864e-09,1.0
Kr81,81.0,36.0,1.0178e-09,2.0,0.014,60.0,1.3820999999999999,7.364155994501121e-10,1.0
Kr82,82.0,36.0,5.5383e-08,2.0,0.014,60.0,1.3820999999999999,4.007163012806599e-08,1.0
Kr83,83.0,36.0,3.1071e-08,2.0,0.014,60.0,1.3820999999999999,2.2481007163012808e-08,1.0
Kr84,84.0,36.0,1.6379e-07,2.0,0.014,60.0,1.3820999999999999,1.1850806743361554e-07,1.0
Kr85,85.0,36.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Kr86,86.0,36.0,3.772e-08,2.0,0.014,60.0,1.3820999999999999,2.7291802329788007e-08,1.0
Kr87,87.0,36.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Kr88,88.0,36.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Rb85,85.0,37.0,2.6179e-08,2.0,0.014,60.0,1.3820999999999999,1.894146588524709e-08,1.0
Rb86,86.0,37.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Rb87,87.0,37.0,8.909e-09,2.0,0.014,60.0,1.3820999999999999,6.445987989291659e-09,1.0
Rb88,88.0,37.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sr86,86.0,38.0,3.974e-08,2.0,0.014,60.0,1.3820999999999999,2.875334635699298e-08,1.0
Sr87,87.0,38.0,2.6008e-08,2.0,0.014,60.0,1.3820999999999999,1.8817741118587657e-08,1.0
Sr88,88.0,38.0,3.243e-07,2.0,0.014,60.0,1.3820999999999999,2.346429346646408e-07,1.0
Sr89,89.0,38.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sr90,90.0,38.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sr91,91.0,38.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sr92,92.0,38.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Y89,89.0,39.0,6.17e-08,2.0,0.014,60.0,1.3820999999999999,4.464221112799364e-08,1.0
Y90,90.0,39.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Y91,91.0,39.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Y92,92.0,39.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Y93,93.0,39.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Zr90,90.0,40.0,6.2337e-08,2.0,0.014,60.0,1.3820999999999999,4.51031039722162e-08,1.0
Zr91,91.0,40.0,1.4173e-08,2.0,0.014,60.0,1.3820999999999999,1.0254684899790176e-08,1.0
Zr92,92.0,40.0,2.1577e-08,2.0,0.014,60.0,1.3820999999999999,1.561175023514941e-08,1.0
Zr93,93.0,40.0,4.33e-09,2.0,0.014,60.0,1.3820999999999999,3.132913682077997e-09,1.0
Zr94,94.0,40.0,2.5081e-08,2.0,0.014,60.0,1.3820999999999999,1.8147022646697056e-08,1.0
Zr95,95.0,40.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Zr96,96.0,40.0,1.4368e-09,2.0,0.014,60.0,1.3820999999999999,1.0395774545980756e-09,1.0
Zr97,97.0,40.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Nb93,93.0,41.0,3.2321e-09,2.0,0.014,60.0,1.3820999999999999,2.338542797192678e-09,1.0
Nb94,94.0,41.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Nb95,95.0,41.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Nb96,96.0,41.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Nb97,97.0,41.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Mo92,92.0,42.0,1.3987e-09,2.0,0.014,60.0,1.3820999999999999,1.0120107083423776e-09,1.0
Mo93,93.0,42.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Mo94,94.0,42.0,1.035e-09,2.0,0.014,60.0,1.3820999999999999,7.488604297807685e-10,1.0
Mo95,95.0,42.0,3.3136e-09,2.0,0.014,60.0,1.3820999999999999,2.397511033933869e-09,1.0
Mo96,96.0,42.0,5.3308e-09,2.0,0.014,60.0,1.3820999999999999,3.857029158526879e-09,1.0
Mo97,97.0,42.0,2.2159e-09,2.0,0.014,60.0,1.3820999999999999,1.6032848563779759e-09,1.0
Mo98,98.0,42.0,6.875e-09,2.0,0.014,60.0,1.3820999999999999,4.974314449026844e-09,1.0
Mo99,99.0,42.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Mo00,100.0,42.0,1.0196e-09,2.0,0.014,60.0,1.3820999999999999,7.377179654149484e-10,1.0
Tc97,97.0,43.0,5.3241e-13,2.0,0.014,60.0,1.3820999999999999,3.8521814629911007e-13,1.0
Tc98,98.0,43.0,1.0104e-13,2.0,0.014,60.0,1.3820999999999999,7.310614282613416e-14,1.0
Tc99,99.0,43.0,2.8581e-10,2.0,0.014,60.0,1.3820999999999999,2.067940091165618e-10,1.0
Ru96,96.0,44.0,3.5029e-10,2.0,0.014,60.0,1.3820999999999999,2.5344765212358006e-10,1.0
Ru97,97.0,44.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ru98,98.0,44.0,1.2147e-10,2.0,0.014,60.0,1.3820999999999999,8.78879965270241e-11,1.0
Ru99,99.0,44.0,1.1531e-09,2.0,0.014,60.0,1.3820999999999999,8.343101078069605e-10,1.0
Ru00,100.0,44.0,3.0133e-09,2.0,0.014,60.0,1.3820999999999999,2.1802329788003764e-09,1.0
Ru01,101.0,44.0,1.6042e-09,2.0,0.014,60.0,1.3820999999999999,1.1606974893278344e-09,1.0
Ru02,102.0,44.0,4.4769e-09,2.0,0.014,60.0,1.3820999999999999,3.2392012155415674e-09,1.0
Ru03,103.0,44.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ru04,104.0,44.0,1.3201e-09,2.0,0.014,60.0,1.3820999999999999,9.551407278778671e-10,1.0
Ru05,105.0,44.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ru06,106.0,44.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Rh03,103.0,45.0,1.8425e-09,2.0,0.014,60.0,1.3820999999999999,1.3331162723391942e-09,1.0
Rh05,105.0,45.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Pd04,104.0,46.0,2.1934e-09,2.0,0.014,60.0,1.3820999999999999,1.5870052818175242e-09,1.0
Pd05,105.0,46.0,1.6447e-09,2.0,0.014,60.0,1.3820999999999999,1.1900007235366472e-09,1.0
Pd06,106.0,46.0,3.37e-09,2.0,0.014,60.0,1.3820999999999999,2.4383185008320674e-09,1.0
Pd07,107.0,46.0,3.5251e-10,2.0,0.014,60.0,1.3820999999999999,2.550539034802113e-10,1.0
Pd08,108.0,46.0,3.7398e-09,2.0,0.014,60.0,1.3820999999999999,2.7058823529411764e-09,1.0
Pd09,109.0,46.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Pd10,110.0,46.0,6.9522e-10,2.0,0.014,60.0,1.3820999999999999,5.030171478185371e-10,1.0
Ag07,107.0,47.0,9.8951e-10,2.0,0.014,60.0,1.3820999999999999,7.159467477027713e-10,1.0
Ag09,109.0,47.0,1.4987e-09,2.0,0.014,60.0,1.3820999999999999,1.0843643730554954e-09,1.0
Ag11,111.0,47.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cd08,108.0,48.0,6.6769e-11,2.0,0.014,60.0,1.3820999999999999,4.830981839230157e-11,1.0
Cd09,109.0,48.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cd10,110.0,48.0,2.6428e-09,2.0,0.014,60.0,1.3820999999999999,1.912162651038275e-09,1.0
Cd11,111.0,48.0,1.4326e-09,2.0,0.014,60.0,1.3820999999999999,1.0365386006801244e-09,1.0
Cd12,112.0,48.0,3.7834e-09,2.0,0.014,60.0,1.3820999999999999,2.737428550756096e-09,1.0
Cd13,113.0,48.0,1.44e-09,2.0,0.014,60.0,1.3820999999999999,1.0418927718688952e-09,1.0
Cd14,114.0,48.0,4.984e-09,2.0,0.014,60.0,1.3820999999999999,3.6061066493017874e-09,1.0
Cd15,115.0,48.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Cd16,116.0,48.0,5.4518e-10,2.0,0.014,60.0,1.3820999999999999,3.944577092829752e-10,1.0
In13,113.0,49.0,3.1775e-11,2.0,0.014,60.0,1.3820999999999999,2.2990376962593158e-11,1.0
In15,115.0,49.0,1.3334e-09,2.0,0.014,60.0,1.3820999999999999,9.647637652847116e-10,1.0
Sn14,114.0,50.0,1.015e-10,2.0,0.014,60.0,1.3820999999999999,7.34389696838145e-11,1.0
Sn15,115.0,50.0,5.2702e-11,2.0,0.014,60.0,1.3820999999999999,3.81318283771073e-11,1.0
Sn16,116.0,50.0,6.3419e-09,2.0,0.014,60.0,1.3820999999999999,4.588597062441213e-09,1.0
Sn17,117.0,50.0,2.4258e-09,2.0,0.014,60.0,1.3820999999999999,1.7551551986108098e-09,1.0
Sn18,118.0,50.0,8.9315e-09,2.0,0.014,60.0,1.3820999999999999,6.462267563852109e-09,1.0
Sn19,119.0,50.0,2.898e-09,2.0,0.014,60.0,1.3820999999999999,2.0968092033861516e-09,1.0
Sn20,120.0,50.0,1.2562e-08,2.0,0.014,60.0,1.3820999999999999,9.08906736126185e-09,1.0
Sn21,121.0,50.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sn22,122.0,50.0,7.9836e-10,2.0,0.014,60.0,1.3820999999999999,5.776427176036467e-10,1.0
Sn23,123.0,50.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sn24,124.0,50.0,9.752e-10,2.0,0.014,60.0,1.3820999999999999,7.05592938282324e-10,1.0
Sb21,121.0,51.0,1.377e-09,2.0,0.014,60.0,1.3820999999999999,9.96309963099631e-10,1.0
Sb22,122.0,51.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sb23,123.0,51.0,6.6645e-10,2.0,0.014,60.0,1.3820999999999999,4.822009984805731e-10,1.0
Sb24,124.0,51.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Sb25,125.0,51.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Te22,122.0,52.0,1.4702e-09,2.0,0.014,60.0,1.3820999999999999,1.0637435786122568e-09,1.0
Te23,123.0,52.0,5.2538e-10,2.0,0.014,60.0,1.3820999999999999,3.801316836697779e-10,1.0
Te24,124.0,52.0,2.8275e-09,2.0,0.014,60.0,1.3820999999999999,2.0457998697634037e-09,1.0
Te25,125.0,52.0,2.1471e-09,2.0,0.014,60.0,1.3820999999999999,1.5535055350553508e-09,1.0
Te26,126.0,52.0,7.3236e-09,2.0,0.014,60.0,1.3820999999999999,5.29889298892989e-09,1.0
Te27,127.0,52.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Te28,128.0,52.0,7.4035e-09,2.0,0.014,60.0,1.3820999999999999,5.356703567035671e-09,1.0
Te30,130.0,52.0,7.6919e-09,2.0,0.014,60.0,1.3820999999999999,5.565371536068302e-09,1.0
I127,127.0,53.0,5.0015e-09,2.0,0.014,60.0,1.3820999999999999,3.618768540626583e-09,1.0
I128,128.0,53.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
I129,129.0,53.0,7.9335e-12,2.0,0.014,60.0,1.3820999999999999,5.7401779900151944e-12,1.0
I130,130.0,53.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
I131,131.0,53.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
I132,132.0,53.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
I133,133.0,53.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Xe28,128.0,54.0,1.5477e-09,2.0,0.014,60.0,1.3820999999999999,1.119817668764923e-09,1.0
Xe29,129.0,54.0,7.2717e-09,2.0,0.014,60.0,1.3820999999999999,5.261341436943782e-09,1.0
Xe30,130.0,54.0,3.1829e-09,2.0,0.014,60.0,1.3820999999999999,2.302944794153824e-09,1.0
Xe31,131.0,54.0,6.1129e-09,2.0,0.014,60.0,1.3820999999999999,4.422907170248174e-09,1.0
Xe32,132.0,54.0,1.0427e-08,2.0,0.014,60.0,1.3820999999999999,7.544316619636784e-09,1.0
Xe33,133.0,54.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Xe34,134.0,54.0,2.5646e-09,2.0,0.014,60.0,1.3820999999999999,1.8555820852326172e-09,1.0
Xe35,135.0,54.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Xe36,136.0,54.0,2.11e-09,2.0,0.014,60.0,1.3820999999999999,1.526662325446784e-09,1.0
