elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
29,-2.81,   0.37                ,-30,Venn-12
30,-2.81,   0.66                ,-30,Venn-12
38,-2.81,-30, -1.56 ,Venn-12
39,-2.81,-30,  -0.05               ,Venn-12
40,-2.81,-30,   0.24                ,Venn-12
56,-2.81,-30, -1.07 ,Venn-12
57,-2.81,-30,   1.77                ,Venn-12
60,-2.81,-30,   0.99                ,Venn-12
63,-2.81,-30,   1.85                ,Venn-12
6,-2.15,-0.98,-30,Venn-12
8,-2.15,  0.90                  ,-30,Venn-12
11,-2.15, -1.18 ,-30,Venn-12
12,-2.15, -0.36 ,-30,Venn-12
14,-2.15,  1.01                 ,-30,Venn-12
20,-2.15, -0.01 ,-30,Venn-12
21,-2.15,-30, -0.20 ,Venn-12
22,-2.15, -0.08 ,-30,Venn-12
22,-2.15,-30, 0.04 ,Venn-12
23,-2.15, -0.26 ,-30,Venn-12
24,-2.15, -0.47 ,-30,Venn-12
25,-2.15, -0.81 ,-30,Venn-12
27,-2.15,   0.31                ,-30,Venn-12
28,-2.15,0.18,-30,Venn-12
29,-2.15, -0.43                ,-30,Venn-12
30,-2.15,  0.01                 ,-30,Venn-12
38,-2.15,-30,-30,Venn-12
39,-2.15,-30,  -0.69               ,Venn-12
40,-2.15,-30,  -0.41               ,Venn-12
56,-2.15,-30,-1.12,Venn-12
57,-2.15,-30,   1.15                ,Venn-12
60,-2.15,-30,   0.34                ,Venn-12
63,-2.15,-30,0.13,Venn-12
6,-2.86,-1.07,-30,Venn-12
8,-2.86,   1.61  ,-30,Venn-12
11,-2.86,  -0.45 ,-30,Venn-12
12,-2.86, 0.22 ,-30,Venn-12
14,-2.86,   1.76  ,-30,Venn-12
20,-2.86, 0.18 ,-30,Venn-12
21,-2.86,-30, 0.10 ,Venn-12
22,-2.86, 0.11 ,-30,Venn-12
22,-2.86,-30, 0.39 ,Venn-12
23,-2.86, -30.0 ,-30,Venn-12
24,-2.86,  -0.34 ,-30,Venn-12
25,-2.86,  -0.33 ,-30,Venn-12
27,-2.86,  -0.26 ,-30,Venn-12
28,-2.86,0.35,-30,Venn-12
29,-2.86,   0.39  ,-30,Venn-12
30,-2.86,   0.77  ,-30,Venn-12
38,-2.86,-30,-1.21,Venn-12
39,-2.86,-30,  -0.12  ,Venn-12
40,-2.86,-30,   0.36  ,Venn-12
56,-2.86,-30,-0.98,Venn-12
57,-2.86,-30,    1.75  ,Venn-12
60,-2.86,-30,    1.09  ,Venn-12
63,-2.86,-30,   1.90  ,Venn-12
