elemZ,elemA,elemSymb,TypeII,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
25,55,Mn,0.00027971014492753624,0.006427536231884059,0.004826086956521739,0.006144927536231884,0.005108695652173914,0.004463768115942029,0.005869565217391305,0.004905797101449276
26,54,Fe,0.002623188405797102,0.06920289855072465,0.05289855072463768,0.05130434782608696,0.042826086956521736,0.03731884057971015,0.052173913043478265,0.04086956521739131
26,56,Fe,0.061159420289855077,0.4536231884057971,0.4927536231884059,0.4253623188405798,0.5166666666666667,0.5760869565217392,0.4094202898550725,0.5485507246376812
26,57,Fe,0.001971014492753623,0.017753623188405798,0.01391304347826087,0.007826086956521741,0.01210144927536232,0.014927536231884059,0.007318840579710145,0.013043478260869565
26,58,Fe,5.231884057971015e-09,0.0021956521739130443,0.002144927536231884,0.0023405797101449274,0.0023405797101449274,0.0023478260869565213,0.0006253623188405798,0.0022173913043478264
27,59,Co,5.268115942028986e-05,0.0007536231884057973,0.0007014492753623188,0.00028623188405797105,0.0004528985507246378,0.0005615942028985507,0.0002108695652173913,0.0004601449275362319
28,58,Ni,0.0026304347826086954,0.07971014492753624,0.06043478260869565,0.0227536231884058,0.03108695652173913,0.036014492753623194,0.022826086956521743,0.03239130434782609
28,60,Ni,0.0012681159420289856,0.008985507246376813,0.01065217391304348,0.003681159420289855,0.008333333333333333,0.01210144927536232,0.0020362318840579717,0.008768115942028986
28,61,Ni,6.050724637681159e-05,0.00017028985507246383,0.00015579710144927536,5.072463768115942e-05,0.0002594202898550725,0.0004289855072463769,2.8985507246376814e-05,0.00030942028985507254
28,62,Ni,0.00036884057971014496,0.0022246376811594203,0.0013405797101449276,0.0009927536231884061,0.002673913043478261,0.003956521739130435,0.0004717391304347826,0.0033333333333333327
28,64,Ni,2.3188405797101454e-14,1.2318840579710146e-05,1.1956521739130435e-05,0.0001681159420289855,0.0001673913043478261,0.0001681159420289855,1.789855072463768e-06,6.731884057971016e-06
29,63,Cu,6.065217391304348e-07,1.6811594202898554e-06,2.1739130434782607e-06,2.0072463768115945e-06,3.536231884057971e-06,4.289855072463768e-06,4.449275362318841e-07,2.8768115942028988e-06
29,65,Cu,2.949275362318841e-07,4.956521739130435e-07,6.036231884057972e-07,5.130434782608696e-07,1.4782608695652176e-06,2.4492753623188408e-06,8.260869565217392e-08,1.4855072463768115e-06
30,64,Zn,7.46376811594203e-06,7.681159420289856e-06,5.0797101449275374e-05,2.6884057971014497e-06,2.2463768115942028e-05,4.173913043478261e-05,1.355072463768116e-06,2.8695652173913044e-05
30,66,Zn,6.23913043478261e-06,1.2753623188405797e-05,4.536231884057972e-06,1.565217391304348e-05,4.652173913043479e-05,7.536231884057973e-05,2.057971014492754e-06,4.4275362318840585e-05
30,67,Zn,1.1014492753623191e-08,1.1449275362318842e-08,5.27536231884058e-09,4.601449275362319e-07,4.746376811594203e-07,4.543478260869566e-07,1.2246376811594202e-09,2.905797101449275e-08
30,68,Zn,2.840579710144928e-09,1.2608695652173914e-08,8.188405797101449e-09,5.391304347826087e-08,6.384057971014494e-08,6.826086956521739e-08,2.2318840579710147e-09,2.195652173913044e-08
