Isotope      A            Z            YIELD 
H            1            1            2.22560E+00  
He4          4            2            9.17260E-01  
C12          12           6            5.88960E-03  
C13          13           6            2.13560E-04  
C14          14           6            6.69340E-08  
N14          14           7            6.75670E-03  
N15          15           7            4.28600E-06  
O16          16           8            1.80940E-02  
O17          17           8            6.02940E-05  
O18          18           8            2.85730E-05  
F18          18           9            0.00000E+00  
F19          19           9            1.39600E-06  
Ne20         20           10           3.40970E-03  
Ne21         21           10           9.97250E-06  
Ne22         22           10           3.61800E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.56020E-04  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.70310E-03  
Mg25         25           12           2.21580E-04  
Mg26         26           12           2.64500E-04  
Al26         26           13           3.17060E-07  
Al27         27           13           1.94500E-04  
Si28         28           14           2.21590E-03  
Si29         29           14           1.16560E-04  
Si30         30           14           7.95690E-05  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           2.07910E-05  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.16500E-03  
S33          33           16           9.51100E-06  
S34          34           16           5.49670E-05  
S35          35           16           0.00000E+00  
S36          36           16           2.40080E-07  
Cl35         35           17           1.19350E-05  
Cl36         36           17           1.20760E-09  
Cl37         37           17           4.09880E-06  
Ar36         36           18           2.67220E-04  
Ar37         37           18           0.00000E+00  
Ar38         38           18           5.13460E-05  
Ar39         39           18           1.36770E-11  
Ar40         40           18           9.88420E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.10810E-05  
K40          40           19           1.58140E-08  
K41          41           19           8.45840E-07  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           2.00370E-04  
Ca41         41           20           3.35970E-09  
Ca42         42           20           1.41140E-06  
Ca43         43           20           3.01430E-07  
Ca44         44           20           4.75080E-06  
Ca45         45           20           0.00000E+00  
Ca46         46           20           9.59500E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           4.63920E-07  
Sc45         45           21           1.32230E-07  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           7.83260E-07  
Ti47         47           22           7.19390E-07  
Ti48         48           22           7.27630E-06  
Ti49         49           22           5.51230E-07  
Ti50         50           22           5.47820E-07  
V50          50           23           3.08490E-09  
V51          51           23           1.25880E-06  
Cr50         50           24           2.45370E-06  
Cr51         51           24           0.00000E+00  
Cr52         52           24           4.92480E-05  
Cr53         53           24           5.69150E-06  
Cr54         54           24           1.45690E-06  
Mn55         55           25           4.30650E-05  
Mn56         56           25           0.00000E+00  
Fe54         54           26           2.35560E-04  
Fe55         55           26           3.01440E-12  
Fe56         56           26           3.83670E-03  
Fe57         57           26           9.07710E-05  
Fe58         58           26           1.27000E-05  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.88960E-09  
Co59         59           27           1.14210E-05  
Co60         60           27           0.00000E+00  
Ni58         58           28           1.61940E-04  
Ni59         59           28           3.42580E-08  
Ni60         60           28           6.46670E-05  
Ni61         61           28           2.90090E-06  
Ni62         62           28           9.31190E-06  
Ni63         63           28           9.96030E-12  
Ni64         64           28           2.52740E-06  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.99590E-06  
Cu64         64           29           0.00000E+00  
Cu65         65           29           9.51060E-07  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           3.37580E-06  
Zn65         65           30           0.00000E+00  
Zn66         66           30           2.02940E-06  
Zn67         67           30           3.05730E-07  
Zn68         68           30           1.42670E-06  
Zn69         69           30           0.00000E+00  
Zn70         70           30           4.68390E-08  
Ga69         69           31           1.37480E-07  
Ga70         70           31           0.00000E+00  
Ga71         71           31           9.69580E-08  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.68140E-07  
Ge71         71           32           0.00000E+00  
Ge72         72           32           2.22700E-07  
Ge73         73           32           6.30630E-08  
Ge74         74           32           3.05040E-07  
Ge75         75           32           0.00000E+00  
Ge76         76           32           5.83210E-08  
Ge77         77           32           0.00000E+00  
As75         75           33           4.18660E-08  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           4.82160E-08  
Se77         77           34           3.66670E-08  
Se78         78           34           1.26260E-07  
Se79         79           34           2.72640E-09  
Se80         80           34           2.52430E-07  
Se81         81           34           0.00000E+00  
Se82         82           34           3.90800E-08  
Br79         79           35           3.98860E-08  
Br80         80           35           0.00000E+00  
Br81         81           35           4.29850E-08  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           1.00230E-08  
Kr81         81           36           5.59820E-10  
Kr82         82           36           5.84740E-08  
Kr83         83           36           4.99260E-08  
Kr84         84           36           2.53560E-07  
Kr85         85           36           0.00000E+00  
Kr86         86           36           9.13100E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           4.00620E-08  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.83630E-08  
Rb88         88           37           0.00000E+00  
Sr86         86           38           2.95530E-08  
Sr87         87           38           2.16820E-08  
Sr88         88           38           3.06440E-07  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
