Isotope      A            Z            YIELD 
H            1            1            9.44640E-01  
He4          4            2            3.96980E-01  
C12          12           6            1.08290E-02  
C13          13           6            1.80610E-05  
C14          14           6            3.10110E-10  
N14          14           7            5.51360E-04  
N15          15           7            3.79280E-07  
O16          16           8            2.01390E-03  
O17          17           8            1.78720E-05  
O18          18           8            2.57800E-06  
F18          18           9            0.00000E+00  
F19          19           9            1.07510E-06  
Ne20         20           10           3.15210E-04  
Ne21         21           10           9.75010E-07  
Ne22         22           10           6.90930E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.90250E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.69090E-04  
Mg25         25           12           2.42010E-05  
Mg26         26           12           2.74120E-05  
Al26         26           13           5.13600E-08  
Al27         27           13           1.86550E-05  
Si28         28           14           2.04980E-04  
Si29         29           14           1.08510E-05  
Si30         30           14           7.64230E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           2.11270E-06  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.07470E-04  
S33          33           16           9.19970E-07  
S34          34           16           5.22860E-06  
S35          35           16           0.00000E+00  
S36          36           16           3.24070E-08  
Cl35         35           17           1.09600E-06  
Cl36         36           17           5.50120E-10  
Cl37         37           17           4.24710E-07  
Ar36         36           18           2.45230E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           4.80260E-06  
Ar39         39           18           3.25860E-12  
Ar40         40           18           1.94290E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.03520E-06  
K40          40           19           4.65070E-09  
K41          41           19           9.27740E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           1.84140E-05  
Ca41         41           20           1.20180E-09  
Ca42         42           20           1.39640E-07  
Ca43         43           20           2.97150E-08  
Ca44         44           20           4.45700E-07  
Ca45         45           20           0.00000E+00  
Ca46         46           20           2.00820E-09  
Ca47         47           20           0.00000E+00  
