Isotope      A            Z            YIELD 
H            1            1            1.26680E+00  
He4          4            2            5.53980E-01  
C12          12           6            1.59590E-02  
C13          13           6            6.70490E-05  
C14          14           6            4.28330E-10  
N14          14           7            2.13970E-03  
N15          15           7            1.31840E-06  
O16          16           8            6.43970E-03  
O17          17           8            3.43130E-05  
O18          18           8            9.40710E-06  
F18          18           9            0.00000E+00  
F19          19           9            2.09720E-06  
Ne20         20           10           1.14790E-03  
Ne21         21           10           3.35040E-06  
Ne22         22           10           1.46660E-03  
Na22         22           11           0.00000E+00  
Na23         23           11           6.60500E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           5.98410E-04  
Mg25         25           12           7.97690E-05  
Mg26         26           12           9.14590E-05  
Al26         26           13           2.05030E-07  
Al27         27           13           6.66280E-05  
Si28         28           14           7.45910E-04  
Si29         29           14           3.93790E-05  
Si30         30           14           2.73820E-05  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           7.63840E-06  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           3.91250E-04  
S33          33           16           3.32790E-06  
S34          34           16           1.88830E-05  
S35          35           16           0.00000E+00  
S36          36           16           1.10840E-07  
Cl35         35           17           3.99230E-06  
Cl36         36           17           1.69590E-09  
Cl37         37           17           1.56800E-06  
Ar36         36           18           8.93460E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.74340E-05  
Ar39         39           18           4.11910E-12  
Ar40         40           18           6.41390E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           3.77030E-06  
K40          40           19           1.78830E-08  
K41          41           19           3.32890E-07  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           6.70890E-05  
Ca41         41           20           3.68480E-09  
Ca42         42           20           5.04750E-07  
Ca43         43           20           1.07240E-07  
Ca44         44           20           1.63220E-06  
Ca45         45           20           0.00000E+00  
Ca46         46           20           6.32820E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.55950E-07  
Sc45         45           21           5.17550E-08  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           2.74670E-07  
Ti47         47           22           2.42450E-07  
Ti48         48           22           2.42830E-06  
Ti49         49           22           2.12850E-07  
Ti50         50           22           2.66270E-07  
