Isotope      A            Z            YIELD 
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           1.67570E-08  
Zr91         91           40           3.75310E-09  
Zr92         92           40           5.80320E-09  
Zr93         93           40           1.25560E-10  
Zr94         94           40           6.03420E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.12650E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           2.11980E-09  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           1.16240E-09  
Mo93         93           42           0.00000E+00  
Mo94         94           42           7.69790E-10  
Mo95         95           42           1.34680E-09  
Mo96         96           42           1.43890E-09  
Mo97         97           42           8.23690E-10  
Mo98         98           42           2.12770E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           8.31200E-10  
Tc97         97           43           1.62450E-12  
Tc98         98           43           0.00000E+00  
Tc99         99           43           1.47890E-11  
Ru96         96           44           2.91520E-10  
Ru97         97           44           0.00000E+00  
Ru98         98           44           1.00990E-10  
Ru99         99           44           6.92660E-10  
Ru00         100          44           7.48130E-10  
Ru01         101          44           9.41370E-10  
Ru02         102          44           1.85560E-09  
Ru03         103          44           0.00000E+00  
Ru04         104          44           1.07160E-09  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           1.12930E-09  
Rh05         105          45           0.00000E+00  
Pd04         104          46           5.65500E-10  
Pd05         105          46           1.02680E-09  
Pd06         106          46           1.34010E-09  
Pd07         107          46           1.83870E-11  
Pd08         108          46           1.30500E-09  
Pd09         109          46           0.00000E+00  
Pd10         110          46           5.54710E-10  
Ag07         107          47           8.06690E-10  
Ag09         109          47           7.85700E-10  
Ag11         111          47           0.00000E+00  
Cd08         108          48           6.40990E-11  
Cd09         109          48           0.00000E+00  
Cd10         110          48           7.06170E-10  
Cd11         111          48           6.89940E-10  
Cd12         112          48           1.35070E-09  
Cd13         113          48           6.73420E-10  
Cd14         114          48           1.64590E-09  
Cd15         115          48           0.00000E+00  
Cd16         116          48           4.38380E-10  
In13         113          49           2.67160E-11  
In15         115          49           6.15690E-10  
Sn14         114          50           8.52780E-11  
Sn15         115          50           4.40040E-11  
Sn16         116          50           1.97980E-09  
Sn17         117          50           1.03520E-09  
Sn18         118          50           3.34680E-09  
Sn19         119          50           1.18860E-09  
Sn20         120          50           4.61100E-09  
Sn21         121          50           0.00000E+00  
Sn22         122          50           7.12050E-10  
Sn23         123          50           0.00000E+00  
Sn24         124          50           8.19740E-10  
Sb21         121          51           7.07020E-10  
Sb22         122          51           0.00000E+00  
Sb23         123          51           5.31880E-10  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           4.89070E-10  
Te23         123          52           1.70810E-10  
Te24         124          52           9.24620E-10  
Te25         125          52           1.29760E-09  
Te26         126          52           3.57070E-09  
Te27         127          52           0.00000E+00  
Te28         128          52           5.90320E-09  
Te30         130          52           6.38580E-09  
I127         127          53           3.78970E-09  
I128         128          53           0.00000E+00  
I129         129          53           6.57390E-13  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           5.66240E-10  
Xe29         129          54           5.66970E-09  
Xe30         130          54           1.11760E-09  
Xe31         131          54           4.59670E-09  
Xe32         132          54           5.85950E-09  
Xe33         133          54           0.00000E+00  
Xe34         134          54           2.16990E-09  
Xe35         135          54           0.00000E+00  
Xe36         136          54           1.75650E-09  
Cs33         133          55           1.47030E-09  
Cs34         134          55           0.00000E+00  
Cs35         135          55           1.91510E-11  
Cs36         136          55           0.00000E+00  
Cs37         137          55           0.00000E+00  
Ba34         134          56           4.97210E-10  
Ba35         135          56           1.19780E-09  
Ba36         136          56           1.56180E-09  
Ba37         137          56           2.25850E-09  
Ba38         138          56           1.47300E-08  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           2.00070E-09  
La40         140          57           0.00000E+00  
Ce40         140          58           4.82250E-09  
Ce41         141          58           0.00000E+00  
Ce42         142          58           6.36340E-10  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           7.90700E-10  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           1.05620E-09  
Nd43         143          60           4.58330E-10  
Nd44         144          60           9.46730E-10  
Nd45         145          60           3.15430E-10  
Nd46         146          60           7.05620E-10  
Nd47         147          60           0.00000E+00  
Nd48         148          60           2.30350E-10  
Nd49         149          60           0.00000E+00  
Nd50         150          60           2.11220E-10  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           3.44080E-11  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           1.76870E-10  
Sm48         148          62           1.47480E-10  
Sm49         149          62           1.59000E-10  
Sm50         150          62           1.06700E-10  
Sm51         151          62           0.00000E+00  
Sm52         152          62           3.26450E-10  
Sm53         153          62           0.00000E+00  
Sm54         154          62           2.78770E-10  
Eu51         151          63           2.02420E-10  
Eu52         152          63           0.00000E+00  
Eu53         153          63           2.28270E-10  
Eu54         154          63           0.00000E+00  
