 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
C13     6   13  1.5657E+00  2.5881E+00  3.7014E+00  1.4337E+00  5.2662E+00  7.0939E+00  1.4067E+00  8.7566E+01  1.1381E+02  1.5972E+00  2.8271E+02  5.5839E+02  4.2089E-05  6.9019E-05  9.7772E-05  7.0906E-06  2.5405E-05  3.4105E-05  6.9940E-07  3.9775E-05  5.3948E-05  7.9201E-08  1.3521E-05  2.6915E-05  1.5658E+00  1.4339E+00  1.4108E+00  1.6117E+00  4.2090E-05  7.0916E-06  7.0148E-07  7.9916E-08  2.8494E-05  5.3052E-06  5.3052E-07  5.3052E-08
N14     7   14  4.3998E+00  5.8018E+00  7.9827E+00  1.0624E+01  4.6602E+01  3.5873E+01  1.2043E+01  3.1095E+02  2.5210E+02  1.2516E+01  2.0314E+03  3.7843E+03  2.8856E-03  3.7749E-03  5.1446E-03  6.8847E-04  2.9456E-03  2.2597E-03  7.8457E-05  1.8506E-03  1.5658E-03  8.1317E-06  1.2729E-03  2.3899E-03  4.3998E+00  1.0626E+01  1.2058E+01  1.2620E+01  2.8857E-03  6.8859E-04  7.8551E-05  8.1990E-06  6.9520E-04  6.9511E-05  6.9511E-06  6.9511E-07
N15     7   15  3.2631E-01  2.9672E-01  4.8794E-01  6.5916E-01  4.3438E+02  2.8957E+02  7.1951E-01  1.5228E+03  7.7424E+02  5.6452E+00  9.8129E+03  8.7472E+03  5.2628E-07  4.7476E-07  7.7331E-07  1.0504E-07  6.7520E-05  4.4857E-05  1.1527E-08  2.2287E-05  1.1826E-05  9.0195E-09  1.5121E-05  1.3585E-05  3.2631E-01  6.8166E-01  7.9348E-01  6.1483E+00  5.2628E-07  1.0863E-07  1.2712E-08  9.8234E-09  1.7096E-06  1.7094E-07  1.7094E-08  1.7094E-09
O16     8   16  1.9061E+01  2.7805E+01  2.6250E+01  7.1684E+01  1.0993E+02  1.1297E+02  7.2035E+02  1.2335E+03  1.4519E+03  7.9932E+03  1.4741E+04  1.5380E+04  1.0349E-01  1.4977E-01  1.4005E-01  1.3645E-01  2.0411E-01  2.0904E-01  1.3784E-01  2.1563E-01  2.6489E-01  1.5254E-01  2.7132E-01  2.8530E-01  1.9061E+01  7.1686E+01  7.2037E+02  7.9935E+03  1.0350E-01  1.3645E-01  1.3785E-01  1.5255E-01  5.7553E-03  2.0418E-03  2.0418E-04  2.0418E-05
O17     8   17  9.2564E-01  9.6262E-01  1.3559E+00  1.0985E+00  1.6327E+01  1.6980E+01  3.5791E+00  1.5865E+02  7.0914E+01  9.1122E+00  9.3289E+02  1.1608E+03  2.0287E-06  2.0929E-06  2.9200E-06  8.4399E-07  1.2236E-05  1.2682E-05  2.7645E-07  1.1195E-05  5.2222E-06  7.0193E-08  6.9309E-06  8.6917E-06  9.2564E-01  1.0993E+00  3.5866E+00  9.1595E+00  2.0287E-06  8.4459E-07  2.7703E-07  7.0558E-08  2.3231E-06  8.2416E-07  8.2416E-08  8.2416E-09
O18     8   18  8.8203E+00  5.2632E-01  1.2112E+00  5.7327E+00  2.5794E+02  3.9292E+02  5.3885E+00  1.5149E+03  3.0050E+03  3.7582E+00  1.3453E+04  2.2414E+04  1.0801E-04  6.3937E-06  1.4574E-05  2.4610E-05  1.0801E-03  1.6397E-03  2.3256E-06  5.9727E-04  1.2365E-03  1.6176E-07  5.5848E-04  9.3775E-04  8.8199E+00  5.7458E+00  5.4618E+00  4.4482E+00  1.0800E-04  2.4666E-05  2.3572E-06  1.9146E-07  1.2980E-05  4.6050E-06  4.6050E-07  4.6050E-08
F19     9   19  9.3633E-01  1.3548E+01  7.9978E+00  6.4650E+00  1.5763E+02  3.8396E+02  7.3849E+00  1.3272E+03  1.8019E+03  1.0703E+01  6.4770E+04  4.0101E+04  4.4860E-07  6.4394E-06  3.7653E-06  3.0603E-07  7.2784E-06  1.7668E-05  3.5144E-08  5.7701E-06  8.1754E-06  5.0796E-09  2.9648E-05  1.8500E-05  9.3699E-01  6.4728E+00  7.4490E+00  1.4025E+01  4.4892E-07  3.0640E-07  3.5449E-08  6.6564E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
Ne20   10   20  1.7529E+01  1.5599E+01  1.5422E+01  1.5631E+02  1.7987E+02  1.8954E+02  1.6406E+03  2.0337E+03  2.3516E+03  1.6047E+04  2.3766E+04  2.0923E+04  1.9261E-02  1.7003E-02  1.6651E-02  1.6970E-02  1.9048E-02  2.0003E-02  1.7906E-02  2.0278E-02  2.4471E-02  1.7468E-02  2.4951E-02  2.2138E-02  1.7529E+01  1.5631E+02  1.6406E+03  1.6048E+04  1.9261E-02  1.6970E-02  1.7906E-02  1.7468E-02  1.1647E-03  1.1646E-04  1.1646E-05  1.1646E-06
Ne21   10   21  9.9410E+00  1.3006E+01  1.3368E+01  6.0049E+01  1.2927E+02  1.8757E+02  2.7467E+02  1.1899E+03  2.3130E+03  1.3644E+03  1.3316E+04  3.0426E+04  2.7495E-05  3.5686E-05  3.6331E-05  1.6409E-05  3.4457E-05  4.9826E-05  7.5458E-06  2.9864E-05  6.0583E-05  3.7383E-06  3.5188E-05  8.1031E-05  9.9411E+00  6.0053E+01  2.7472E+02  1.3651E+03  2.7495E-05  1.6410E-05  7.5470E-06  3.7400E-06  2.9317E-06  2.9313E-07  2.9313E-08  2.9313E-09
Ne22   10   22  1.2778E+01  1.5964E+01  2.5917E+01  4.5986E+01  1.5186E+02  3.9903E+02  4.8185E+01  9.0808E+02  3.2732E+03  5.4797E+01  1.6404E+04  2.4740E+04  1.1357E-03  1.4075E-03  2.2634E-03  4.0381E-04  1.3007E-03  3.4061E-03  4.2537E-05  7.3235E-04  2.7549E-03  4.8244E-06  1.3929E-03  2.1172E-03  1.2778E+01  4.5991E+01  4.8227E+01  5.5636E+01  1.1357E-03  4.0385E-04  4.2574E-05  4.8982E-06  9.4207E-05  9.4194E-06  9.4194E-07  9.4194E-08
Na23   11   23  1.6075E+01  1.3133E+01  1.5027E+01  5.7469E+01  4.7274E+01  6.8607E+01  3.1802E+02  2.3985E+02  4.6120E+02  2.5296E+03  1.9581E+03  4.4590E+03  4.4623E-04  3.6165E-04  4.0990E-04  1.5761E-04  1.2647E-04  1.8291E-04  8.7686E-05  6.0416E-05  1.2124E-04  6.9560E-05  5.1932E-05  1.1919E-04  1.6075E+01  5.7468E+01  3.1801E+02  2.5296E+03  4.4623E-04  1.5761E-04  8.7684E-05  6.9559E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
Mg24   12   24  6.9566E+00  6.5202E+00  6.0920E+00  4.5928E+01  6.5708E+01  5.8979E+01  4.4355E+02  8.5616E+02  8.0543E+02  4.1349E+03  1.1072E+04  6.9513E+03  3.6464E-03  3.3904E-03  3.1377E-03  4.2297E-03  5.9026E-03  5.2800E-03  4.1066E-03  7.2415E-03  7.1096E-03  3.8180E-03  9.8598E-03  6.2391E-03  6.9566E+00  4.5929E+01  4.4357E+02  4.1353E+03  3.6464E-03  4.2298E-03  4.1068E-03  3.8183E-03  5.5560E-04  9.8788E-05  9.8788E-06  9.8788E-07
