  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Cl37   17   37  1.6047E+00  2.1752E+00  2.5625E+00  3.8044E+00  4.1575E+00  4.9994E+00  4.7556E+00  4.8489E+00  4.0727E+00
Ar36   18   36  8.6619E+00  1.3303E+01  1.0066E+01  1.0523E+01  2.4575E+01  1.5700E+01  1.7028E+01  1.9927E+01  1.5162E+01
Ar38   18   38  5.3149E+00  8.1987E+00  6.1920E+00  8.9364E+00  1.4863E+01  1.2167E+01  1.3380E+01  1.5518E+01  1.0765E+01
Ar40   18   40  1.6699E+00  2.0638E+00  3.4118E+00  7.1014E+00  5.3276E+00  8.5027E+00  1.1503E+01  1.6643E+01  9.5025E+00
K39    19   39  2.0628E+00  2.7905E+00  2.3654E+00  3.0854E+00  4.3722E+00  3.8333E+00  4.0612E+00  4.4537E+00  3.6036E+00
K40    19   40  4.7836E+00  9.7878E+00  1.6359E+01  2.2385E+01  2.6437E+01  3.9440E+01  3.2776E+01  3.9539E+01  3.9699E+01
K41    19   41  2.4601E+00  3.6202E+00  4.0934E+00  4.5829E+00  5.6296E+00  7.1795E+00  6.6331E+00  6.8975E+00  6.5668E+00
Ca40   20   40  7.1355E+00  1.0601E+01  8.2568E+00  8.4954E+00  1.9377E+01  1.3302E+01  1.3616E+01  1.6156E+01  1.2302E+01
Ca42   20   42  4.1752E+00  6.5671E+00  6.3384E+00  9.7636E+00  1.3294E+01  1.3833E+01  1.4938E+01  1.4993E+01  1.1088E+01
Ca43   20   43  1.6208E+00  2.2696E+00  4.2761E+00  7.0670E+00  6.3377E+00  9.3861E+00  8.7612E+00  7.6125E+00  5.8004E+00
Ca44   20   44  2.5863E+00  1.7622E+00  1.9889E+00  2.4251E+00  2.4552E+00  3.2319E+00  3.0713E+00  3.1778E+00  2.6125E+00
Ca46   20   46  3.3533E+00  2.6780E+00  5.8235E+00  2.4963E+01  6.1575E+01  6.2298E+01  8.7382E+01  1.6405E+02  1.2051E+02
Ca48   20   48  9.6982E-01  9.5317E-01  9.4744E-01  9.3634E-01  9.0618E-01  9.0347E-01  9.0958E-01  9.1580E-01  9.2273E-01
Sc45   21   45  1.9954E+00  2.6699E+00  5.2777E+00  1.0565E+01  1.4373E+01  1.9482E+01  1.9270E+01  2.1552E+01  1.5881E+01
Ti46   22   46  3.9274E+00  5.4431E+00  5.1994E+00  6.6131E+00  8.4758E+00  9.8651E+00  1.0173E+01  1.0952E+01  9.9852E+00
Ti47   22   47  1.2967E+00  1.3072E+00  1.5906E+00  2.1109E+00  2.3929E+00  3.2430E+00  2.9640E+00  3.3289E+00  3.0510E+00
Ti48   22   48  4.2704E+00  3.9250E+00  3.1645E+00  3.4168E+00  5.0697E+00  3.6607E+00  3.3267E+00  2.8987E+00  2.3418E+00
Ti49   22   49  3.3818E+00  4.8871E+00  4.4567E+00  5.5325E+00  8.1859E+00  7.9917E+00  7.6330E+00  8.5260E+00  7.4383E+00
Ti50   22   50  1.2174E+00  1.4944E+00  2.3248E+00  3.9617E+00  4.3651E+00  7.9827E+00  7.9311E+00  1.0341E+01  9.7592E+00
V50    23   50  4.6982E+00  9.7122E+00  1.5119E+01  2.0259E+01  4.2897E+01  4.8680E+01  4.9029E+01  6.0680E+01  6.2862E+01
V51    23   51  4.2311E+00  6.5933E+00  5.4739E+00  5.3403E+00  8.3311E+00  5.1956E+00  5.4850E+00  5.6438E+00  4.9750E+00
Cr50   24   50  6.4762E+00  1.1382E+01  1.0473E+01  8.0398E+00  1.3029E+01  7.4267E+00  8.3360E+00  9.5893E+00  8.6820E+00
Cr52   24   52  5.7045E+00  8.0494E+00  6.4194E+00  7.5791E+00  1.1488E+01  7.8673E+00  6.2856E+00  5.0326E+00  3.7146E+00
Cr53   24   53  5.7710E+00  9.2170E+00  7.3413E+00  7.8977E+00  1.1988E+01  7.1798E+00  6.7564E+00  6.1264E+00  4.7170E+00
Cr54   24   54  1.3067E+00  1.6860E+00  2.4062E+00  3.3293E+00  3.0622E+00  4.1700E+00  3.8340E+00  3.6479E+00  3.1982E+00
Mn55   25   55  4.6522E+00  7.5983E+00  6.2434E+00  6.0851E+00  8.8954E+00  5.3160E+00  5.0600E+00  4.8971E+00  3.9462E+00
Fe54   26   54  5.1910E+00  9.2466E+00  8.1329E+00  6.6739E+00  1.0779E+01  5.7076E+00  6.0554E+00  7.0689E+00  6.3283E+00
Fe56   26   56  6.0643E+00  5.3199E+00  4.0941E+00  3.3816E+00  2.9754E+00  2.3432E+00  1.8245E+00  1.5579E+00  1.3345E+00
Fe57   26   57  9.5080E+00  7.1713E+00  5.5760E+00  4.0483E+00  2.6204E+00  2.3134E+00  1.8854E+00  1.7258E+00  1.6127E+00
Fe58   26   58  2.7979E+00  5.4610E+00  9.5085E+00  1.3363E+01  1.1150E+01  1.5982E+01  1.4308E+01  1.0747E+01  8.8359E+00
Co59   27   59  5.0742E+00  4.7538E+00  6.4969E+00  8.8566E+00  6.8112E+00  8.3750E+00  7.5915E+00  5.8880E+00  4.5095E+00
Ni58   28   58  9.0150E+00  7.9788E+00  5.7089E+00  3.1861E+00  2.1483E+00  1.4828E+00  1.4956E+00  1.5890E+00  1.4768E+00
Ni60   28   60  7.0805E+00  4.0620E+00  3.9139E+00  3.2182E+00  2.5226E+00  2.6427E+00  2.6412E+00  2.7587E+00  2.2809E+00
Ni61   28   61  9.7360E+00  6.9377E+00  9.1526E+00  1.2641E+01  1.1692E+01  1.4911E+01  1.2371E+01  1.1107E+01  9.2659E+00
Ni62   28   62  2.0294E+01  1.2413E+01  1.3453E+01  1.4202E+01  1.3562E+01  1.8123E+01  1.6132E+01  1.5656E+01  1.1912E+01
Ni64   28   64  2.3680E+00  3.0221E+00  6.9936E+00  1.8580E+01  2.1648E+01  3.5612E+01  3.5972E+01  4.6515E+01  3.6030E+01
Cu63   29   63  3.0443E+00  4.3922E+00  1.0152E+01  2.6906E+01  2.8294E+01  4.0616E+01  3.6491E+01  3.5273E+01  2.5102E+01
Cu65   29   65  3.3424E+00  5.3143E+00  1.2138E+01  2.5456E+01  3.7620E+01  6.5361E+01  6.4784E+01  8.7159E+01  7.7849E+01
Zn64   30   64  1.8276E+00  1.7268E+00  2.2706E+00  3.0525E+00  4.0557E+00  5.5960E+00  5.3247E+00  6.5838E+00  6.3233E+00
Zn66   30   66  3.8276E+00  4.1836E+00  6.3413E+00  1.3806E+01  2.3078E+01  3.3671E+01  3.3191E+01  4.2646E+01  3.7248E+01
Zn67   30   67  1.7578E+00  2.5360E+00  7.3196E+00  1.8583E+01  2.2968E+01  5.2879E+01  4.5169E+01  5.2499E+01  3.5283E+01
Zn68   30   68  1.8325E+00  2.5110E+00  6.4313E+00  1.6951E+01  2.5509E+01  5.3582E+01  5.0707E+01  6.7149E+01  5.4961E+01
Zn70   30   70  1.6279E+00  2.2886E+00  3.2945E+00  1.2622E+01  7.1967E+01  6.6988E+01  9.8733E+01  1.6213E+02  3.5321E+02
Ga69   31   69  2.6593E+00  4.1227E+00  1.0150E+01  2.7711E+01  4.9672E+01  8.7866E+01  8.6239E+01  1.1376E+02  9.8607E+01
Ga71   31   71  2.4681E+00  3.7481E+00  1.1413E+01  3.3664E+01  5.3652E+01  1.0410E+02  1.0382E+02  1.5329E+02  1.4462E+02
Ge70   32   70  2.4660E+00  3.8395E+00  8.5831E+00  2.6933E+01  4.5979E+01  8.1142E+01  8.0691E+01  1.0629E+02  7.8395E+01
Ge72   32   72  1.9241E+00  2.6696E+00  6.1197E+00  1.8203E+01  3.4778E+01  6.1083E+01  6.4362E+01  8.9122E+01  7.4651E+01
Ge73   32   73  1.5543E+00  1.9807E+00  5.9348E+00  2.0464E+01  2.9462E+01  6.7427E+01  6.1692E+01  7.3206E+01  4.8280E+01
Ge74   32   74  1.5443E+00  1.8616E+00  4.7057E+00  1.3804E+01  2.3250E+01  5.0320E+01  5.1153E+01  7.2149E+01  6.0892E+01
Ge76   32   76  1.1006E+00  1.3350E+00  1.6720E+00  5.1971E+00  2.9654E+01  2.9029E+01  4.4932E+01  7.7389E+01  1.1177E+02
As75   33   75  2.1880E+00  3.4406E+00  8.5104E+00  2.4865E+01  6.7646E+01  9.8896E+01  1.1242E+02  1.6158E+02  1.3617E+02
Se74   34   74  4.5827E+00  9.2618E+00  1.4818E+01  5.6889E+01  1.9476E+02  2.1510E+02  2.8290E+02  3.9803E+02  2.0568E+02
Se76   34   76  2.3514E+00  3.3903E+00  7.5959E+00  2.7070E+01  6.1431E+01  9.6603E+01  1.1236E+02  1.6251E+02  1.2678E+02
Se77   34   77  1.6371E+00  2.3735E+00  6.3117E+00  1.8172E+01  7.0612E+01  8.1958E+01  1.1623E+02  2.0308E+02  1.3484E+02
Se78   34   78  1.5302E+00  1.7232E+00  4.4848E+00  1.5049E+01  2.1532E+01  5.3260E+01  5.2499E+01  7.4979E+01  7.3529E+01
Se80   34   80  1.1666E+00  1.2144E+00  2.2796E+00  6.3545E+00  9.2044E+00  2.2168E+01  2.0264E+01  2.3749E+01  1.9908E+01
Se82   34   82  1.0905E+00  1.3011E+00  1.5494E+00  5.3237E+00  2.2012E+01  2.8217E+01  3.8671E+01  5.0284E+01  7.1264E+01
Br79   35   79  1.2796E+00  1.4764E+00  3.7899E+00  1.3398E+01  1.8939E+01  4.8203E+01  4.2685E+01  4.7576E+01  3.5694E+01
Br81   35   81  1.3168E+00  1.5089E+00  3.1231E+00  9.7239E+00  2.0082E+01  3.6015E+01  3.8440E+01  5.1374E+01  4.6565E+01
Kr78   36   78  1.4596E+00  2.0275E+00  2.7534E+00  1.1121E+01  3.1537E+01  3.8137E+01  4.8812E+01  6.6656E+01  3.3343E+01
Kr80   36   80  1.7658E+00  2.4135E+00  4.4823E+00  1.2342E+01  3.0116E+01  4.3196E+01  6.3489E+01  1.2349E+02  1.3971E+02
Kr82   36   82  1.3312E+00  1.4519E+00  3.0918E+00  1.0113E+01  1.0221E+01  3.0267E+01  3.2864E+01  6.6231E+01  8.1949E+01
Kr83   36   83  1.1191E+00  1.2783E+00  2.4727E+00  7.3501E+00  1.4050E+01  2.6628E+01  2.9363E+01  4.5883E+01  4.5960E+01
Kr84   36   84  1.0658E+00  1.1373E+00  1.8538E+00  3.8720E+00  4.7922E+00  1.2945E+01  1.4252E+01  2.6271E+01  2.8401E+01
Kr86   36   86  1.2286E+00  1.4545E+00  2.7132E+00  6.0226E+00  1.1668E+01  2.3562E+01  2.8037E+01  5.3354E+01  6.6285E+01
Rb85   37   85  1.1620E+00  1.3111E+00  2.5148E+00  5.4409E+00  7.9487E+00  2.0266E+01  2.2219E+01  3.8817E+01  3.8207E+01
Rb87   37   87  1.5515E+00  2.1660E+00  4.0788E+00  9.0301E+00  2.5638E+01  4.9126E+01  6.5293E+01  1.2526E+02  1.4389E+02
Sr84   38   84  2.1821E+00  3.1983E+00  3.4922E+00  1.6422E+01  4.2839E+01  6.1249E+01  9.4881E+01  1.8471E+02  7.7949E+01
Sr86   38   86  1.4899E+00  1.9473E+00  3.7998E+00  6.9836E+00  9.5240E+00  2.6854E+01  3.6550E+01  8.8770E+01  1.0964E+02
Sr87   38   87  1.1891E+00  1.5580E+00  2.8927E+00  4.7468E+00  4.4650E+00  1.8150E+01  2.4467E+01  6.0242E+01  7.4160E+01
Sr88   38   88  1.2155E+00  1.4517E+00  2.2309E+00  3.4460E+00  5.2569E+00  1.3513E+01  1.8131E+01  3.9227E+01  4.5568E+01
Y89    39   89  1.1348E+00  1.2748E+00  1.7937E+00  3.0373E+00  4.3221E+00  9.8232E+00  1.2294E+01  2.3769E+01  2.5351E+01
Zr90   40   90  1.0797E+00  1.1497E+00  1.4038E+00  2.0516E+00  2.7490E+00  4.9885E+00  6.1309E+00  1.1014E+01  1.4089E+01
Zr91   40   91  1.0719E+00  1.1486E+00  1.5537E+00  2.6040E+00  4.6209E+00  8.1341E+00  9.6000E+00  1.5337E+01  1.6845E+01
Zr92   40   92  1.0529E+00  1.1037E+00  1.3765E+00  2.0287E+00  2.0170E+00  4.1438E+00  4.2513E+00  6.9416E+00  7.6635E+00
Zr94   40   94  1.0075E+00  1.0230E+00  1.1719E+00  1.5622E+00  1.7491E+00  2.9348E+00  3.1519E+00  4.8853E+00  5.4583E+00
Zr96   40   96  9.8248E-02  9.9901E-02  3.2974E-01  1.9200E+00  4.2643E+00  6.4630E+00  6.7983E+00  1.0175E+01  1.7409E+01
Nb93   41   93  9.8765E-01  1.0094E+00  1.2024E+00  1.8853E+00  1.7822E+00  3.5418E+00  3.4195E+00  4.8707E+00  4.9181E+00
Mo92   42   92  1.0719E+00  1.1381E+00  1.1599E+00  1.1395E+00  1.4558E+00  1.5175E+00  1.7496E+00  2.3670E+00  2.4968E+00
Mo94   42   94  1.2199E+00  1.2997E+00  1.3829E+00  1.3268E+00  1.6569E+00  1.6228E+00  1.8892E+00  2.6586E+00  2.7083E+00
Mo95   42   95  1.0116E+00  1.0231E+00  1.1382E+00  1.8028E+00  2.3933E+00  4.1569E+00  4.2081E+00  5.4511E+00  5.8833E+00
Mo96   42   96  1.8087E+00  1.7911E+00  1.9124E+00  2.1423E+00  1.8278E+00  2.2267E+00  2.2361E+00  3.1054E+00  3.5643E+00
Mo97   42   97  9.9102E-01  9.7391E-01  1.0542E+00  1.3211E+00  1.1010E+00  1.5010E+00  1.3964E+00  1.8540E+00  2.1377E+00
Mo98   42   98  9.8962E-01  9.9398E-01  1.0699E+00  1.3109E+00  1.0576E+00  1.5508E+00  1.4692E+00  2.0476E+00  2.3152E+00
Xe32   54  132  9.7435E-01  9.6950E-01  1.0040E+00  1.0761E+00  9.8202E-01  1.2569E+00  1.2580E+00  1.6135E+00  1.6679E+00
Xe34   54  134  9.7453E-01  9.5809E-01  9.3335E-01  9.7810E-01  1.3031E+00  1.4237E+00  1.7236E+00  2.4201E+00  2.4767E+00
Cs33   55  133  9.4450E-01  9.3483E-01  9.1606E-01  9.9786E-01  1.0083E+00  1.2335E+00  1.3108E+00  1.6064E+00  1.5258E+00
Ba34   56  134  1.2551E+00  1.3630E+00  1.6286E+00  1.8016E+00  1.6346E+00  2.2148E+00  2.1277E+00  3.3690E+00  3.8966E+00
Ba35   56  135  9.4262E-01  9.2141E-01  9.1249E-01  9.8355E-01  1.0447E+00  1.2940E+00  1.2895E+00  1.5154E+00  1.9364E+00
Ba36   56  136  1.0744E+00  1.1553E+00  1.3627E+00  1.5854E+00  1.3435E+00  2.2308E+00  1.9696E+00  2.7255E+00  2.9597E+00
Ba37   56  137  9.9189E-01  1.0121E+00  1.0896E+00  1.2782E+00  1.4415E+00  2.0607E+00  2.0515E+00  2.4546E+00  2.3927E+00
Ba38   56  138  1.0123E+00  1.0470E+00  1.1793E+00  1.3834E+00  1.3496E+00  1.8267E+00  1.8004E+00  2.0938E+00  2.0586E+00
La38   57  138  9.8860E-01  9.8157E-01  9.7064E-01  9.1698E-01  1.0040E+00  9.7668E-01  1.0378E+00  1.0844E+00  1.0929E+00
La39   57  139  1.0088E+00  1.0392E+00  1.1719E+00  1.4237E+00  1.4785E+00  1.8642E+00  1.8460E+00  1.9520E+00  1.7939E+00
Ce40   58  140  9.9068E-01  9.9446E-01  1.0550E+00  1.1854E+00  1.2216E+00  1.4308E+00  1.4139E+00  1.5248E+00  1.4838E+00
Pr41   59  141  9.7898E-01  9.6185E-01  9.9895E-01  1.1852E+00  1.3717E+00  1.5886E+00  1.6907E+00  1.9903E+00  1.7289E+00
Nd42   60  142  1.0579E+00  1.1256E+00  1.2493E+00  1.4583E+00  1.4174E+00  1.7668E+00  1.6450E+00  1.9049E+00  1.8765E+00
Nd43   60  143  9.3359E-01  9.0546E-01  8.7738E-01  9.3084E-01  8.3946E-01  9.0272E-01  8.8692E-01  9.0033E-01  9.3453E-01
Nd44   60  144  9.7804E-01  9.5939E-01  9.6070E-01  9.9898E-01  9.2116E-01  9.8885E-01  9.7935E-01  1.0277E+00  1.0585E+00
Hg02   80  202  9.9405E-01  9.9739E-01  1.0524E+00  1.1441E+00  1.0736E+00  1.2733E+00  1.2286E+00  1.3604E+00  1.4049E+00
Hg04   80  204  9.6408E-01  9.1762E-01  8.7190E-01  8.2682E-01  9.1324E-01  8.0537E-01  9.2067E-01  1.0265E+00  1.3130E+00
Tl03   81  203  9.8272E-01  9.9336E-01  1.0588E+00  1.2591E+00  1.1206E+00  1.4552E+00  1.3339E+00  1.3504E+00  1.3150E+00
Tl05   81  205  9.7419E-01  9.7054E-01  9.8855E-01  1.0200E+00  1.0456E+00  1.1580E+00  1.1648E+00  1.2112E+00  1.1735E+00
Pb04   82  204  1.1017E+00  1.2258E+00  1.4629E+00  1.7603E+00  1.6397E+00  2.3319E+00  2.0414E+00  2.2817E+00  2.2421E+00
Pb06   82  206  1.0030E+00  1.0238E+00  1.1197E+00  1.2154E+00  1.1990E+00  1.4550E+00  1.4199E+00  1.5170E+00  1.4402E+00
Pb07   82  207  9.8831E-01  9.9369E-01  1.0552E+00  1.2416E+00  1.1862E+00  1.4200E+00  1.3768E+00  1.4271E+00  1.3506E+00
Pb08   82  208  9.8646E-01  9.8591E-01  1.0277E+00  1.1166E+00  1.1015E+00  1.2425E+00  1.2254E+00  1.2852E+00  1.2484E+00
Bi09   83  209  9.7109E-01  9.5710E-01  9.5912E-01  9.7896E-01  9.2628E-01  9.4622E-01  9.5447E-01  9.6740E-01  9.7373E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
