 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Na   11    0  1.6074E+01  1.3131E+01  1.5027E+01  5.7465E+01  4.7274E+01  6.8605E+01  3.1800E+02  2.3985E+02  4.6119E+02  2.5295E+03  1.9581E+03  4.4589E+03  4.4623E-04  3.6165E-04  4.0990E-04  1.5761E-04  1.2647E-04  1.8291E-04  8.7686E-05  6.0416E-05  1.2124E-04  6.9560E-05  5.1932E-05  1.1919E-04  1.6073E+01  5.7465E+01  3.1800E+02  2.5295E+03  4.4623E-04  1.5761E-04  8.7684E-05  6.9559E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
  Mg   12    0  7.7679E+00  8.0953E+00  7.6759E+00  4.0589E+01  5.9421E+01  6.2379E+01  3.5571E+02  7.1161E+02  8.2225E+02  3.2728E+03  9.3557E+03  6.9549E+03  5.2239E-03  5.4008E-03  5.0719E-03  4.7955E-03  6.8476E-03  7.1641E-03  4.2251E-03  7.7214E-03  9.3112E-03  3.8768E-03  1.0688E-02  8.0080E-03  7.7680E+00  4.0590E+01  3.5573E+02  3.2731E+03  5.2239E-03  4.7956E-03  4.2253E-03  3.8771E-03  7.1276E-04  1.2673E-04  1.2673E-05  1.2673E-06
  Al   13    0  9.6324E+00  8.6949E+00  9.4745E+00  5.2905E+01  6.1607E+01  6.2735E+01  2.6195E+02  3.6458E+02  5.7112E+02  1.8440E+03  2.9508E+03  5.3012E+03  5.0912E-04  4.5592E-04  4.9203E-04  2.7627E-04  3.1379E-04  3.1845E-04  1.3752E-04  1.7484E-04  2.8585E-04  9.6545E-05  1.4900E-04  2.6978E-04  9.6323E+00  5.2906E+01  2.6195E+02  1.8441E+03  5.0912E-04  2.7627E-04  1.3752E-04  9.6548E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
  Si   14    0  1.5874E+01  2.1873E+01  2.2747E+01  7.4857E+01  1.0933E+02  1.2862E+02  6.1253E+02  1.1579E+03  1.4143E+03  6.2476E+03  1.1048E+04  1.0510E+04  1.0029E-02  1.3709E-02  1.4120E-02  1.2010E-02  1.7109E-02  2.0058E-02  9.8796E-03  1.7061E-02  2.1748E-02  1.0049E-02  1.7140E-02  1.6432E-02  1.5874E+01  7.4859E+01  6.1256E+02  6.2478E+03  1.0029E-02  1.2010E-02  9.8800E-03  1.0050E-02  6.6960E-04  1.7209E-04  1.7209E-05  1.7209E-06
  P    15    0  1.3468E+01  1.7783E+01  1.9630E+01  7.9001E+01  1.1471E+02  1.6786E+02  3.0794E+02  6.5487E+02  1.3949E+03  2.1791E+03  5.0878E+03  1.1582E+04  7.4539E-05  9.7638E-05  1.0675E-04  4.3198E-05  6.1182E-05  8.9222E-05  1.6928E-05  3.2886E-05  7.3107E-05  1.1946E-05  2.6900E-05  6.1719E-05  1.3468E+01  7.9003E+01  3.0796E+02  2.1792E+03  7.4540E-05  4.3199E-05  1.6929E-05  1.1947E-05  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
  S    16    0  1.6163E+01  2.3752E+01  2.4881E+01  8.6351E+01  1.4531E+02  1.9237E+02  6.8386E+02  1.5974E+03  2.0882E+03  7.8238E+03  1.4871E+04  1.3223E+04  4.7496E-03  6.9245E-03  7.1839E-03  5.6125E-03  9.2124E-03  1.2154E-02  4.4686E-03  9.5352E-03  1.3009E-02  5.0984E-03  9.3465E-03  8.3760E-03  1.6163E+01  8.6354E+01  6.8390E+02  7.8242E+03  4.7498E-03  5.6127E-03  4.4689E-03  5.0987E-03  3.1146E-04  6.9718E-05  6.9718E-06  6.9718E-07
  Cl   17    0  4.0932E+00  5.4385E+00  6.1885E+00  1.6853E+01  2.7196E+01  6.3642E+01  5.6598E+01  2.3367E+02  5.2106E+02  5.7667E+02  1.5230E+03  2.8643E+03  3.1902E-05  4.2051E-05  4.7391E-05  1.2978E-05  2.0426E-05  4.7637E-05  4.3815E-06  1.6525E-05  3.8456E-05  4.4520E-06  1.1340E-05  2.1495E-05  4.0933E+00  1.6854E+01  5.6607E+01  5.7672E+02  3.1903E-05  1.2978E-05  4.3821E-06  4.4524E-06  8.2607E-06  8.2596E-07  8.2596E-08  8.2596E-09
  Ar   18    0  1.4613E+01  2.1795E+01  2.3191E+01  8.2397E+01  1.5191E+02  2.2272E+02  6.8499E+02  1.7587E+03  2.3148E+03  8.3272E+03  1.5634E+04  1.3158E+04  9.2570E-04  1.3697E-03  1.4434E-03  1.1545E-03  2.0761E-03  3.0335E-03  9.6488E-04  2.2630E-03  3.1086E-03  1.1698E-03  2.1181E-03  1.7967E-03  1.4613E+01  8.2401E+01  6.8505E+02  8.3275E+03  9.2572E-04  1.1545E-03  9.6495E-04  1.1698E-03  6.7141E-05  1.5029E-05  1.5029E-06  1.5029E-07
  K    19    0  3.6676E+00  5.5201E+00  7.9770E+00  2.0804E+01  5.0527E+01  2.0870E+02  9.0919E+01  7.7992E+02  1.6579E+03  1.3277E+03  3.5318E+03  6.7546E+03  1.0683E-05  1.5951E-05  2.2829E-05  5.9867E-06  1.4182E-05  5.8381E-05  2.6303E-06  2.0612E-05  4.5728E-05  3.8306E-06  9.8274E-06  1.8943E-05  3.6677E+00  2.0805E+01  9.0952E+01  1.3278E+03  1.0683E-05  5.9872E-06  2.6313E-06  3.8309E-06  3.0871E-06  3.0867E-07  3.0867E-08  3.0867E-09
  Ca   20    0  1.2146E+01  1.7997E+01  1.9113E+01  7.9560E+01  1.6056E+02  1.9930E+02  7.2961E+02  1.9483E+03  2.2442E+03  9.0376E+03  1.6258E+04  1.2544E+04  7.4044E-04  1.0884E-03  1.1448E-03  1.0727E-03  2.1115E-03  2.6120E-03  9.8896E-04  2.4124E-03  2.9001E-03  1.2217E-03  2.1195E-03  1.6482E-03  1.2147E+01  7.9564E+01  7.2967E+02  9.0380E+03  7.4046E-04  1.0727E-03  9.8903E-04  1.2217E-03  6.4609E-05  1.4462E-05  1.4462E-06  1.4462E-07
