Isotope      A            Z            YIELD [M<sub><font face='Wingdings'>&#164;</font></sub>]
Y89          89           39           7.64510E-10  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           8.35360E-10  
Zr91         91           40           3.60620E-10  
Zr92         92           40           8.24700E-10  
Zr93         93           40           1.85870E-10  
Zr94         94           40           3.90760E-10  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.83540E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           1.15160E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           9.23420E-13  
Mo93         93           42           0.00000E+00  
Mo94         94           42           7.22210E-13  
Mo95         95           42           2.94530E-10  
Mo96         96           42           8.34140E-12  
Mo97         97           42           9.79970E-10  
Mo98         98           42           2.46950E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.95560E-10  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           9.85550E-12  
Ru96         96           44           2.32220E-13  
Ru97         97           44           0.00000E+00  
Ru98         98           44           0.00000E+00  
Ru99         99           44           8.53190E-11  
Ru00         100          44           1.12790E-11  
Ru01         101          44           2.41860E-11  
Ru02         102          44           1.43790E-10  
Ru03         103          44           0.00000E+00  
Ru04         104          44           1.27350E-10  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           5.13810E-11  
Rh05         105          45           0.00000E+00  
Pd04         104          46           8.04110E-12  
Pd05         105          46           5.64050E-11  
Pd06         106          46           3.44160E-10  
Pd07         107          46           1.67510E-11  
Pd08         108          46           1.12250E-10  
Pd09         109          46           0.00000E+00  
Pd10         110          46           1.36060E-10  
Ag07         107          47           2.65890E-12  
Ag09         109          47           3.80020E-11  
Ag11         111          47           0.00000E+00  
Cd08         108          48           0.00000E+00  
Cd09         109          48           0.00000E+00  
Cd10         110          48           9.11980E-12  
Cd11         111          48           3.67940E-11  
Cd12         112          48           1.17390E-10  
Cd13         113          48           3.59840E-11  
Cd14         114          48           1.71830E-10  
Cd15         115          48           0.00000E+00  
Cd16         116          48           2.79650E-10  
In13         113          49           0.00000E+00  
In15         115          49           7.80250E-11  
Sn14         114          50           0.00000E+00  
Sn15         115          50           0.00000E+00  
Sn16         116          50           1.73990E-11  
Sn17         117          50           7.36150E-11  
Sn18         118          50           3.53560E-10  
Sn19         119          50           1.09080E-10  
Sn20         120          50           6.06100E-10  
Sn21         121          50           0.00000E+00  
Sn22         122          50           9.13990E-10  
Sn23         123          50           0.00000E+00  
Sn24         124          50           1.36880E-09  
Sb21         121          51           1.10170E-10  
Sb22         122          51           0.00000E+00  
Sb23         123          51           1.50150E-10  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           5.01620E-12  
Te23         123          52           1.51760E-12  
Te24         124          52           1.60290E-11  
Te25         125          52           7.81490E-11  
Te26         126          52           2.75640E-10  
Te27         127          52           0.00000E+00  
Te28         128          52           4.76970E-10  
Te30         130          52           5.06030E-12  
I127         127          53           1.16800E-10  
I128         128          53           0.00000E+00  
I129         129          53           4.48850E-11  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           1.24720E-11  
Xe29         129          54           1.08440E-11  
Xe30         130          54           4.88000E-11  
Xe31         131          54           1.64250E-10  
Xe32         132          54           1.62340E-10  
Xe33         133          54           0.00000E+00  
Xe34         134          54           5.03150E-10  
Xe35         135          54           0.00000E+00  
Xe36         136          54           6.61740E-09  
Cs33         133          55           4.91170E-10  
Cs34         134          55           0.00000E+00  
Cs35         135          55           3.99330E-09  
Cs36         136          55           0.00000E+00  
Cs37         137          55           0.00000E+00  
Ba34         134          56           8.48940E-12  
Ba35         135          56           1.11820E-09  
Ba36         136          56           1.28010E-10  
Ba37         137          56           7.52030E-10  
Ba38         138          56           2.16940E-09  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           2.56280E-10  
La40         140          57           0.00000E+00  
Ce40         140          58           5.54200E-10  
Ce41         141          58           0.00000E+00  
Ce42         142          58           2.10230E-10  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           8.30950E-11  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           2.86000E-11  
Nd43         143          60           4.45670E-11  
Nd44         144          60           1.78900E-10  
Nd45         145          60           1.65230E-11  
Nd46         146          60           8.29830E-11  
Nd47         147          60           0.00000E+00  
Nd48         148          60           3.74810E-11  
Nd49         149          60           0.00000E+00  
Nd50         150          60           2.47700E-11  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           0.00000E+00  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           1.08950E-11  
Sm48         148          62           7.99230E-12  
Sm49         149          62           9.32220E-12  
Sm50         150          62           6.99600E-12  
Sm51         151          62           0.00000E+00  
Sm52         152          62           1.64850E-11  
Sm53         153          62           0.00000E+00  
Sm54         154          62           2.42540E-11  
Eu51         151          63           6.19280E-12  
Eu52         152          63           0.00000E+00  
Eu53         153          63           4.47780E-12  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           0.00000E+00  
Gd53         153          64           0.00000E+00  
Gd54         154          64           1.45210E-12  
Gd55         155          64           5.08940E-12  
Gd56         156          64           9.42250E-12  
Gd57         157          64           8.30470E-12  
Gd58         158          64           2.35170E-11  
Gd59         159          64           0.00000E+00  
Gd60         160          64           2.94500E-11  
Tb59         159          65           8.21610E-12  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           3.14330E-12  
Dy61         161          66           6.97740E-12  
Dy62         162          66           1.77170E-11  
Dy63         163          66           6.77980E-12  
Dy64         164          66           3.31230E-11  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           0.00000E+00  
Ho64         164          67           0.00000E+00  
Ho65         165          67           1.18420E-11  
Ho66         166          67           0.00000E+00  
Er64         164          68           9.25120E-13  
Er65         165          68           0.00000E+00  
Er66         166          68           4.33980E-11  
Er67         167          68           6.18830E-12  
Er68         168          68           2.38380E-11  
Er69         169          68           0.00000E+00  
Er70         170          68           2.95830E-11  
Er71         171          68           0.00000E+00  
Er72         172          68           0.00000E+00  
Tm69         169          69           9.40330E-12  
Tm70         170          69           0.00000E+00  
Tm71         171          69           0.00000E+00  
Tm72         172          69           0.00000E+00  
Tm73         173          69           0.00000E+00  
Yb70         170          70           2.97350E-12  
Yb71         171          70           1.88650E-11  
Yb72         172          70           7.85860E-11  
Yb73         173          70           1.79580E-11  
Yb74         174          70           5.76020E-11  
Yb75         175          70           0.00000E+00  
Yb76         176          70           4.54740E-11  
Yb77         177          70           0.00000E+00  
Lu75         175          71           1.22170E-11  
Lu76         176          71           5.95550E-13  
Lu77         177          71           0.00000E+00  
Hf76         176          72           4.82770E-12  
Hf77         177          72           1.63720E-11  
Hf78         178          72           3.01090E-11  
Hf79         179          72           1.01230E-11  
Hf80         180          72           5.85370E-11  
Hf81         181          72           0.00000E+00  
Hf82         182          72           3.49310E-11  
Hf83         183          72           0.00000E+00  
Hf84         184          72           0.00000E+00  
Ta79         179          73           0.00000E+00  
Ta80         180          73           0.00000E+00  
Ta81         181          73           2.84070E-11  
Ta82         182          73           0.00000E+00  
Ta83         183          73           0.00000E+00  
Ta84         184          73           0.00000E+00  
W180         180          74           0.00000E+00  
W181         181          74           0.00000E+00  
W182         182          74           1.38750E-11  
W183         183          74           3.14020E-11  
W184         184          74           7.24960E-11  
W185         185          74           0.00000E+00  
W186         186          74           3.69140E-11  
W187         187          74           0.00000E+00  
W188         188          74           0.00000E+00  
Re85         185          75           1.49120E-11  
Re86         186          75           0.00000E+00  
Re87         187          75           1.76120E-11  
Re88         188          75           0.00000E+00  
Re89         189          75           0.00000E+00  
Os86         186          76           7.38160E-12  
Os87         187          76           2.06880E-12  
Os88         188          76           1.07640E-10  
Os89         189          76           1.27520E-11  
Os90         190          76           3.84720E-11  
Os91         191          76           0.00000E+00  
Os92         192          76           4.52720E-11  
Os93         193          76           0.00000E+00  
Os94         194          76           0.00000E+00  
Ir91         191          77           8.48970E-12  
Ir92         192          77           0.00000E+00  
Ir93         193          77           2.35290E-11  
Ir94         194          77           0.00000E+00  
