Isotope      A            Z            YIELD 
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           7.14710E-08  
Zr91         91           40           1.64440E-08  
Zr92         92           40           2.53440E-08  
Zr93         93           40           1.95540E-09  
Zr94         94           40           2.77250E-08  
Zr95         95           40           0.00000E+00  
Zr96         96           40           4.06220E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           7.84290E-09  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           4.26250E-09  
Mo93         93           42           0.00000E+00  
Mo94         94           42           2.71990E-09  
Mo95         95           42           5.57280E-09  
Mo96         96           42           6.49360E-09  
Mo97         97           42           3.40990E-09  
Mo98         98           42           9.20860E-09  
Mo99         99           42           0.00000E+00  
Mo00         100          42           3.08340E-09  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           2.18890E-10  
Ru96         96           44           1.07250E-09  
Ru97         97           44           0.00000E+00  
Ru98         98           44           3.69310E-10  
Ru99         99           44           2.57690E-09  
Ru00         100          44           3.42810E-09  
Ru01         101          44           3.67090E-09  
Ru02         102          44           7.75720E-09  
Ru03         103          44           0.00000E+00  
Ru04         104          44           3.99180E-09  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           4.37070E-09  
Rh05         105          45           0.00000E+00  
Pd04         104          46           2.53240E-09  
Pd05         105          46           3.96800E-09  
Pd06         106          46           5.49960E-09  
Pd07         107          46           1.59350E-10  
Pd08         108          46           5.64730E-09  
Pd09         109          46           0.00000E+00  
Pd10         110          46           2.09350E-09  
Ag07         107          47           3.00950E-09  
Ag09         109          47           3.15250E-09  
Ag11         111          47           0.00000E+00  
Cd08         108          48           1.70090E-10  
Cd09         109          48           0.00000E+00  
Cd10         110          48           3.25520E-09  
Cd11         111          48           2.78690E-09  
Cd12         112          48           5.86930E-09  
Cd13         113          48           2.75110E-09  
Cd14         114          48           7.39000E-09  
Cd15         115          48           0.00000E+00  
Cd16         116          48           1.69340E-09  
In13         113          49           9.76960E-11  
In15         115          49           2.54680E-09  
Sn14         114          50           3.09430E-10  
Sn15         115          50           1.60560E-10  
Sn16         116          50           9.12980E-09  
Sn17         117          50           4.37470E-09  
Sn18         118          50           1.49870E-08  
Sn19         119          50           5.17810E-09  
Sn20         120          50           2.12640E-08  
Sn21         121          50           0.00000E+00  
Sn22         122          50           2.56100E-09  
Sn23         123          50           0.00000E+00  
Sn24         124          50           2.95940E-09  
Sb21         121          51           2.93280E-09  
Sb22         122          51           0.00000E+00  
Sb23         123          51           1.99630E-09  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           2.28540E-09  
Te23         123          52           8.00460E-10  
Te24         124          52           4.37010E-09  
Te25         125          52           5.13180E-09  
Te26         126          52           1.49770E-08  
Te27         127          52           0.00000E+00  
Te28         128          52           2.17250E-08  
Te30         130          52           2.33220E-08  
I127         127          53           1.43780E-08  
I128         128          53           0.00000E+00  
I129         129          53           7.58120E-12  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           2.42820E-09  
Xe29         129          54           2.13770E-08  
Xe30         130          54           4.92930E-09  
Xe31         131          54           1.74330E-08  
Xe32         132          54           2.37520E-08  
Xe33         133          54           0.00000E+00  
Xe34         134          54           7.89880E-09  
Xe35         135          54           0.00000E+00  
Xe36         136          54           6.37660E-09  
Cs33         133          55           5.77580E-09  
Cs34         134          55           0.00000E+00  
Cs35         135          55           2.15610E-10  
Cs36         136          55           0.00000E+00  
Cs37         137          55           0.00000E+00  
Ba34         134          56           2.58020E-09  
Ba35         135          56           4.73970E-09  
Ba36         136          56           8.25350E-09  
Ba37         137          56           1.01020E-08  
Ba38         138          56           7.17810E-08  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           9.24400E-09  
La40         140          57           0.00000E+00  
Ce40         140          58           2.20120E-08  
Ce41         141          58           0.00000E+00  
Ce42         142          58           2.20110E-09  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           3.30100E-09  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           4.89410E-09  
Nd43         143          60           1.82190E-09  
Nd44         144          60           3.81650E-09  
Nd45         145          60           1.23160E-09  
Nd46         146          60           2.87860E-09  
Nd47         147          60           0.00000E+00  
Nd48         148          60           8.60250E-10  
Nd49         149          60           0.00000E+00  
Nd50         150          60           7.77170E-10  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           1.26090E-10  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           6.96330E-10  
Sm48         148          62           6.20490E-10  
Sm49         149          62           6.14110E-10  
Sm50         150          62           4.31870E-10  
Sm51         151          62           0.00000E+00  
Sm52         152          62           1.25650E-09  
Sm53         153          62           0.00000E+00  
Sm54         154          62           1.03240E-09  
Eu51         151          63           7.79990E-10  
Eu52         152          63           0.00000E+00  
Eu53         153          63           8.64530E-10  
Eu54         154          63           0.00000E+00  
