Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
Sm45,14.0,62.0,0.0,2.0,0.014,60.0
Sm46,14.0,62.0,0.0,2.0,0.014,60.0
Sm47,14.0,62.0,2.373e-10,2.0,0.014,60.0
Sm48,14.0,62.0,2.4721e-10,2.0,0.014,60.0
Sm49,14.0,62.0,2.0399e-10,2.0,0.014,60.0
Sm50,15.0,62.0,1.6133e-10,2.0,0.014,60.0
Sm51,15.0,62.0,0.0,2.0,0.014,60.0
Sm52,15.0,62.0,4.2144e-10,2.0,0.014,60.0
Sm53,15.0,62.0,0.0,2.0,0.014,60.0
Sm54,15.0,62.0,3.3035e-10,2.0,0.014,60.0
Eu51,15.0,63.0,2.5662e-10,2.0,0.014,60.0
Eu52,15.0,63.0,0.0,2.0,0.014,60.0
Eu53,15.0,63.0,2.8303e-10,2.0,0.014,60.0
Eu54,15.0,63.0,0.0,2.0,0.014,60.0
Eu55,15.0,63.0,0.0,2.0,0.014,60.0
Eu56,15.0,63.0,0.0,2.0,0.014,60.0
Eu57,15.0,63.0,0.0,2.0,0.014,60.0
Gd52,15.0,64.0,4.9613e-12,2.0,0.014,60.0
Gd53,15.0,64.0,0.0,2.0,0.014,60.0
Gd54,15.0,64.0,5.4709e-11,2.0,0.014,60.0
Gd55,15.0,64.0,2.8414e-10,2.0,0.014,60.0
Gd56,15.0,64.0,4.1981e-10,2.0,0.014,60.0
Gd57,15.0,64.0,3.1222e-10,2.0,0.014,60.0
Gd58,15.0,64.0,5.4954e-10,2.0,0.014,60.0
Gd59,15.0,64.0,0.0,2.0,0.014,60.0
Gd60,16.0,64.0,4.2289e-10,2.0,0.014,60.0
Tb59,15.0,65.0,3.5577e-10,2.0,0.014,60.0
Tb60,16.0,65.0,0.0,2.0,0.014,60.0
Tb61,16.0,65.0,0.0,2.0,0.014,60.0
Dy60,16.0,66.0,7.9867e-11,2.0,0.014,60.0
Dy61,16.0,66.0,4.3986e-10,2.0,0.014,60.0
Dy62,16.0,66.0,6.3908e-10,2.0,0.014,60.0
Dy63,16.0,66.0,5.8892e-10,2.0,0.014,60.0
Dy64,16.0,66.0,7.5414e-10,2.0,0.014,60.0
Dy65,16.0,66.0,0.0,2.0,0.014,60.0
Dy66,16.0,66.0,0.0,2.0,0.014,60.0
Ho63,16.0,67.0,1.0297e-13,2.0,0.014,60.0
Ho64,16.0,67.0,0.0,2.0,0.014,60.0
Ho65,16.0,67.0,5.5491e-10,2.0,0.014,60.0
Ho66,16.0,67.0,0.0,2.0,0.014,60.0
Er64,16.0,68.0,3.3803e-11,2.0,0.014,60.0
Er65,16.0,68.0,0.0,2.0,0.014,60.0
Er66,16.0,68.0,5.6e-10,2.0,0.014,60.0
Er67,16.0,68.0,3.751e-10,2.0,0.014,60.0
Er68,16.0,68.0,5.0124e-10,2.0,0.014,60.0
Er69,16.0,68.0,0.0,2.0,0.014,60.0
Er70,17.0,68.0,2.4495e-10,2.0,0.014,60.0
Er71,17.0,68.0,0.0,2.0,0.014,60.0
Er72,17.0,68.0,0.0,2.0,0.014,60.0
Tm69,16.0,69.0,2.4804e-10,2.0,0.014,60.0
Tm70,17.0,69.0,0.0,2.0,0.014,60.0
Tm71,17.0,69.0,0.0,2.0,0.014,60.0
Tm72,17.0,69.0,0.0,2.0,0.014,60.0
Tm73,17.0,69.0,0.0,2.0,0.014,60.0
Yb70,17.0,70.0,7.2848e-11,2.0,0.014,60.0
Yb71,17.0,70.0,2.4996e-10,2.0,0.014,60.0
Yb72,17.0,70.0,4.1787e-10,2.0,0.014,60.0
Yb73,17.0,70.0,2.8889e-10,2.0,0.014,60.0
Yb74,17.0,70.0,6.6292e-10,2.0,0.014,60.0
Yb75,17.0,70.0,0.0,2.0,0.014,60.0
Yb76,17.0,70.0,2.094e-10,2.0,0.014,60.0
Yb77,17.0,70.0,0.0,2.0,0.014,60.0
Lu75,17.0,71.0,2.4009e-10,2.0,0.014,60.0
Lu76,17.0,71.0,9.1505e-12,2.0,0.014,60.0
Lu77,17.0,71.0,0.0,2.0,0.014,60.0
Hf76,17.0,72.0,8.5308e-11,2.0,0.014,60.0
Hf77,17.0,72.0,2.1827e-10,2.0,0.014,60.0
Hf78,17.0,72.0,3.7454e-10,2.0,0.014,60.0
Hf79,17.0,72.0,1.757e-10,2.0,0.014,60.0
Hf80,18.0,72.0,5.2911e-10,2.0,0.014,60.0
Hf81,18.0,72.0,0.0,2.0,0.014,60.0
Hf82,18.0,72.0,1.9989e-12,2.0,0.014,60.0
Hf83,18.0,72.0,0.0,2.0,0.014,60.0
Hf84,18.0,72.0,0.0,2.0,0.014,60.0
Ta79,17.0,73.0,0.0,2.0,0.014,60.0
Ta80,18.0,73.0,0.0,2.0,0.014,60.0
Ta81,18.0,73.0,1.6556e-10,2.0,0.014,60.0
Ta82,18.0,73.0,0.0,2.0,0.014,60.0
Ta83,18.0,73.0,0.0,2.0,0.014,60.0
Ta84,18.0,73.0,0.0,2.0,0.014,60.0
W180,18.0,74.0,1.0027e-12,2.0,0.014,60.0
W181,18.0,74.0,0.0,2.0,0.014,60.0
W182,18.0,74.0,2.8878e-10,2.0,0.014,60.0
W183,18.0,74.0,1.6284e-10,2.0,0.014,60.0
W184,18.0,74.0,3.6741e-10,2.0,0.014,60.0
W185,18.0,74.0,0.0,2.0,0.014,60.0
W186,18.0,74.0,2.6847e-10,2.0,0.014,60.0
W187,18.0,74.0,0.0,2.0,0.014,60.0
W188,18.0,74.0,0.0,2.0,0.014,60.0
Re85,18.0,75.0,1.5124e-10,2.0,0.014,60.0
Re86,18.0,75.0,0.0,2.0,0.014,60.0
Re87,18.0,75.0,1.7841e-10,2.0,0.014,60.0
Re88,18.0,75.0,0.0,2.0,0.014,60.0
Re89,18.0,75.0,0.0,2.0,0.014,60.0
Os86,18.0,76.0,1.1154e-10,2.0,0.014,60.0
Os87,18.0,76.0,1.3515e-10,2.0,0.014,60.0
Os88,18.0,76.0,6.6084e-10,2.0,0.014,60.0
Os89,18.0,76.0,7.6049e-10,2.0,0.014,60.0
Os90,19.0,76.0,1.2975e-09,2.0,0.014,60.0
Os91,19.0,76.0,0.0,2.0,0.014,60.0
Os92,19.0,76.0,1.93e-09,2.0,0.014,60.0
Os93,19.0,76.0,0.0,2.0,0.014,60.0
Os94,19.0,76.0,0.0,2.0,0.014,60.0
Ir91,19.0,77.0,1.6736e-09,2.0,0.014,60.0
Ir92,19.0,77.0,0.0,2.0,0.014,60.0
Ir93,19.0,77.0,2.8416e-09,2.0,0.014,60.0
Ir94,19.0,77.0,0.0,2.0,0.014,60.0
Ir95,19.0,77.0,0.0,2.0,0.014,60.0
Pt92,19.0,78.0,1.0607e-10,2.0,0.014,60.0
Pt93,19.0,78.0,0.0,2.0,0.014,60.0
Pt94,19.0,78.0,3.2409e-09,2.0,0.014,60.0
Pt95,19.0,78.0,3.262e-09,2.0,0.014,60.0
Pt96,19.0,78.0,2.603e-09,2.0,0.014,60.0
Pt97,19.0,78.0,0.0,2.0,0.014,60.0
Pt98,19.0,78.0,6.9781e-10,2.0,0.014,60.0
Au97,19.0,79.0,1.4365e-09,2.0,0.014,60.0
Au98,19.0,79.0,0.0,2.0,0.014,60.0
Au99,19.0,79.0,0.0,2.0,0.014,60.0
Hg98,19.0,80.0,4.3238e-10,2.0,0.014,60.0
Hg99,19.0,80.0,5.6239e-10,2.0,0.014,60.0
Hg00,20.0,80.0,8.6198e-10,2.0,0.014,60.0
Hg01,20.0,80.0,4.6508e-10,2.0,0.014,60.0
Hg02,20.0,80.0,1.1617e-09,2.0,0.014,60.0
Hg03,20.0,80.0,0.0,2.0,0.014,60.0
Hg04,20.0,80.0,2.139e-10,2.0,0.014,60.0
Tl03,20.0,81.0,5.1495e-10,2.0,0.014,60.0
Tl04,20.0,81.0,0.0,2.0,0.014,60.0
Tl05,20.0,81.0,1.2339e-09,2.0,0.014,60.0
Pb04,20.0,82.0,6.5138e-10,2.0,0.014,60.0
Pb05,20.0,82.0,1.6457e-11,2.0,0.014,60.0
Pb06,20.0,82.0,5.2901e-09,2.0,0.014,60.0
Pb07,20.0,82.0,5.726e-09,2.0,0.014,60.0
Pb08,20.0,82.0,1.5182e-08,2.0,0.014,60.0
Pb09,20.0,82.0,0.0,2.0,0.014,60.0
Pb10,21.0,82.0,0.0,2.0,0.014,60.0
Bi09,20.0,83.0,1.0627e-09,2.0,0.014,60.0
Bi10,21.0,83.0,0.0,2.0,0.014,60.0
Po10,21.0,84.0,0.0,2.0,0.014,60.0
H,1.0,1.0,0.85933,2.0,0.00012,0.0
He4,4.0,2.0,0.38167,2.0,0.00012,0.0
C12,12.0,6.0,0.016407,2.0,0.00012,0.0
C13,13.0,6.0,1.5249e-06,2.0,0.00012,0.0
C14,14.0,6.0,1.6276e-08,2.0,0.00012,0.0
N14,14.0,7.0,3.5345e-05,2.0,0.00012,0.0
