 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Na   11    0  1.6178E+01  1.3441E+01  1.5167E+01  5.8014E+01  4.7995E+01  6.9561E+01  3.2030E+02  2.4346E+02  4.6894E+02  2.5507E+03  1.9881E+03  4.5154E+03  4.4623E-04  3.6165E-04  4.0990E-04  1.5761E-04  1.2647E-04  1.8291E-04  8.7686E-05  6.0415E-05  1.2124E-04  6.9560E-05  5.1932E-05  1.1919E-04  1.6178E+01  5.8014E+01  3.2030E+02  2.5507E+03  4.4623E-04  1.5761E-04  8.7684E-05  6.9559E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
  Mg   12    0  7.8179E+00  8.2859E+00  7.7471E+00  4.0975E+01  6.0326E+01  6.3247E+01  3.5828E+02  7.2231E+02  8.3606E+02  3.3000E+03  9.4987E+03  7.0428E+03  5.2237E-03  5.4007E-03  5.0718E-03  4.7953E-03  6.8474E-03  7.1639E-03  4.2250E-03  7.7210E-03  9.3109E-03  3.8766E-03  1.0688E-02  8.0078E-03  7.8179E+00  4.0976E+01  3.5830E+02  3.3003E+03  5.2237E-03  4.7954E-03  4.2252E-03  3.8770E-03  7.1276E-04  1.2673E-04  1.2673E-05  1.2673E-06
  Al   13    0  9.6948E+00  8.8998E+00  9.5625E+00  5.3411E+01  6.2545E+01  6.3608E+01  2.6384E+02  3.7008E+02  5.8072E+02  1.8594E+03  2.9958E+03  5.3682E+03  5.0912E-04  4.5592E-04  4.9203E-04  2.7627E-04  3.1378E-04  3.1844E-04  1.3752E-04  1.7484E-04  2.8585E-04  9.6543E-05  1.4899E-04  2.6978E-04  9.6947E+00  5.3411E+01  2.6385E+02  1.8595E+03  5.0912E-04  2.7627E-04  1.3752E-04  9.6545E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
  Si   14    0  1.1249E+01  1.4950E+01  1.6203E+01  4.9273E+01  7.0332E+01  9.2297E+01  4.2120E+02  7.7740E+02  9.8706E+02  4.0659E+03  7.2338E+03  7.1964E+03  7.0611E-03  9.1540E-03  9.9650E-03  7.8304E-03  1.0841E-02  1.4196E-02  6.7447E-03  1.1284E-02  1.4927E-02  6.4859E-03  1.1053E-02  1.1111E-02  1.1249E+01  4.9274E+01  4.2121E+02  4.0660E+03  7.0613E-03  7.8306E-03  6.7450E-03  6.4861E-03  6.6960E-04  1.7209E-04  1.7209E-05  1.7209E-06
  P    15    0  1.3550E+01  1.8178E+01  1.9796E+01  7.9667E+01  1.1638E+02  1.6986E+02  3.0948E+02  6.6350E+02  1.4159E+03  2.1867E+03  5.1486E+03  1.1717E+04  7.4511E-05  9.7513E-05  1.0666E-04  4.3150E-05  6.1137E-05  8.9046E-05  1.6891E-05  3.2824E-05  7.2977E-05  1.1889E-05  2.6812E-05  6.1657E-05  1.3550E+01  7.9669E+01  3.0950E+02  2.1868E+03  7.4512E-05  4.3151E-05  1.6891E-05  1.1889E-05  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
  S    16    0  9.2192E+00  1.3204E+01  1.4871E+01  3.8930E+01  6.9769E+01  1.2607E+02  3.0970E+02  8.3808E+02  1.2813E+03  3.4942E+03  7.1485E+03  7.0308E+03  2.6918E-03  3.7608E-03  4.2543E-03  2.5064E-03  4.3566E-03  7.8556E-03  2.0092E-03  4.9283E-03  7.8500E-03  2.2581E-03  4.4250E-03  4.3978E-03  9.2194E+00  3.8931E+01  3.0973E+02  3.4944E+03  2.6918E-03  2.5065E-03  2.0093E-03  2.2582E-03  3.1146E-04  6.9718E-05  6.9718E-06  6.9718E-07
  Cl   17    0  4.1111E+00  5.5265E+00  6.2123E+00  1.6863E+01  2.7512E+01  6.3911E+01  5.6881E+01  2.3664E+02  5.2516E+02  5.7888E+02  1.5400E+03  2.8886E+03  3.1836E-05  4.1748E-05  4.7135E-05  1.2863E-05  2.0353E-05  4.7181E-05  4.3717E-06  1.6486E-05  3.8118E-05  4.4321E-06  1.1294E-05  2.1406E-05  4.1112E+00  1.6864E+01  5.6890E+01  5.7893E+02  3.1837E-05  1.2863E-05  4.3724E-06  4.4324E-06  8.2607E-06  8.2596E-07  8.2596E-08  8.2596E-09
  Ar   18    0  7.5341E+00  1.1023E+01  1.2843E+01  3.0681E+01  6.5969E+01  1.5164E+02  2.5201E+02  8.7171E+02  1.4268E+03  3.2197E+03  6.5050E+03  6.3404E+03  4.7420E-04  6.7681E-04  7.9200E-04  4.2582E-04  8.8801E-04  2.0369E-03  3.5243E-04  1.1050E-03  1.8844E-03  4.4854E-04  8.6803E-04  8.5494E-04  7.5343E+00  3.0683E+01  2.5204E+02  3.2199E+03  4.7421E-04  4.2584E-04  3.5247E-04  4.4857E-04  6.7141E-05  1.5029E-05  1.5029E-06  1.5029E-07
  K    19    0  3.6688E+00  5.5048E+00  7.9059E+00  2.0495E+01  5.1081E+01  2.0905E+02  9.3466E+01  7.9209E+02  1.6667E+03  1.3499E+03  3.5900E+03  6.8129E+03  1.0617E-05  1.5540E-05  2.2417E-05  5.8420E-06  1.4122E-05  5.7673E-05  2.6845E-06  2.0622E-05  4.5211E-05  3.8624E-06  9.8388E-06  1.8867E-05  3.6689E+00  2.0496E+01  9.3500E+01  1.3500E+03  1.0618E-05  5.8424E-06  2.6855E-06  3.8627E-06  3.0871E-06  3.0867E-07  3.0867E-08  3.0867E-09
  Ca   20    0  4.8558E+00  6.8596E+00  8.3024E+00  2.2373E+01  6.0485E+01  1.2085E+02  2.1806E+02  8.7903E+02  1.2336E+03  2.9164E+03  5.1585E+03  4.7833E+03  2.9410E-04  4.0528E-04  4.9268E-04  2.9879E-04  7.8347E-04  1.5621E-03  2.9345E-04  1.0723E-03  1.5678E-03  3.9096E-04  6.6238E-04  6.2064E-04  4.8559E+00  2.2375E+01  2.1810E+02  2.9165E+03  2.9411E-04  2.9882E-04  2.9349E-04  3.9097E-04  6.4609E-05  1.4462E-05  1.4462E-06  1.4462E-07
