  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Zr   40    0  1.0332E+00  1.0917E+00  1.3461E+00  2.0252E+00  2.7352E+00  4.9038E+00  5.7279E+00  9.7647E+00  1.1922E+01
  Nb   41    0  9.8848E-01  1.0128E+00  1.2054E+00  1.8921E+00  1.8071E+00  3.5662E+00  3.4479E+00  4.9172E+00  4.9517E+00
  Mo   42    0  1.1824E+00  1.2017E+00  1.2849E+00  1.5327E+00  1.5816E+00  2.1423E+00  2.1849E+00  2.9553E+00  3.2399E+00
  Xe   54    0  9.7522E-01  9.6965E-01  9.8723E-01  1.0531E+00  1.0845E+00  1.3114E+00  1.3965E+00  1.8509E+00  1.9013E+00
  Cs   55    0  9.4529E-01  9.3799E-01  9.1836E-01  1.0015E+00  1.0224E+00  1.2420E+00  1.3217E+00  1.6217E+00  1.5362E+00
  Ba   56    0  1.0169E+00  1.0544E+00  1.1798E+00  1.3762E+00  1.3652E+00  1.8719E+00  1.8314E+00  2.1968E+00  2.2168E+00
  La   57    0  1.0096E+00  1.0427E+00  1.1747E+00  1.4283E+00  1.4987E+00  1.8762E+00  1.8606E+00  1.9698E+00  1.8055E+00
  Ce   58    0  9.9152E-01  9.9782E-01  1.0577E+00  1.1897E+00  1.2387E+00  1.4407E+00  1.4257E+00  1.5394E+00  1.4940E+00
  Pr   59    0  9.7981E-01  9.6510E-01  1.0015E+00  1.1895E+00  1.3908E+00  1.5995E+00  1.7047E+00  2.0093E+00  1.7407E+00
  Nd   60    0  1.0046E+00  1.0236E+00  1.0709E+00  1.1867E+00  1.1334E+00  1.3142E+00  1.2567E+00  1.3917E+00  1.3942E+00
  Hg   80    0  9.8923E-01  9.8567E-01  1.0210E+00  1.0882E+00  1.0580E+00  1.1933E+00  1.1803E+00  1.3098E+00  1.3971E+00
  Tl   81    0  9.7751E-01  9.8053E-01  1.0117E+00  1.0940E+00  1.0825E+00  1.2537E+00  1.2245E+00  1.2639E+00  1.2233E+00
  Pb   82    0  9.9286E-01  1.0022E+00  1.0613E+00  1.1768E+00  1.1621E+00  1.3480E+00  1.3185E+00  1.3890E+00  1.3328E+00
  Bi   83    0  9.7191E-01  9.6033E-01  9.6153E-01  9.8249E-01  9.3921E-01  9.5274E-01  9.6239E-01  9.7663E-01  9.8039E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
  H     1    0  6.1007E-01  5.6247E-01  5.0537E-01  4.7425E-01  4.3326E-01  4.2902E-01  4.1615E-01  4.0831E-01  3.9119E-01
  He    2    0  1.3824E+00  1.3358E+00  1.4077E+00  1.4103E+00  1.3848E+00  1.4803E+00  1.5389E+00  1.5742E+00  1.9267E+00
  Li    3    0  6.3668E-04  1.0479E-03  1.7755E-03  2.4059E-03  2.3580E-03  2.5522E-03  3.8763E-03  1.8178E-03  1.8438E-03
  Be    4    0  1.0609E-03  1.6733E-03  2.8286E-03  4.1075E-03  4.0688E-03  3.7674E-03  4.2800E-03  2.4780E-03  2.5606E-03
  B     5    0  6.5200E-02  6.1114E-02  5.0797E-02  4.4721E-02  4.0884E-02  4.1440E-02  4.4762E-02  3.7401E-02  4.6503E-02
  C     6    0  1.4424E+01  1.2176E+01  2.7435E+01  2.7349E+01  2.5717E+01  2.5702E+01  2.5486E+01  2.5673E+01  2.0410E+01
  N     7    0  5.2448E+00  4.6715E+00  5.7174E+00  5.5720E+00  5.6126E+00  6.2882E+00  6.2437E+00  6.4545E+00  7.1661E+00
  O     8    0  2.1189E+01  2.6455E+01  2.6581E+01  2.8472E+01  3.2287E+01  3.0390E+01  3.0356E+01  3.0825E+01  2.1582E+01
  F     9    0  2.6468E+00  1.0160E+02  1.3167E+01  1.4131E+00  5.9643E-01  6.5099E-01  7.3753E-01  3.8406E-01  4.5832E-01
  Ne   10    0  4.2235E+00  5.8342E+00  6.4063E+00  1.4392E+01  3.1933E+01  2.5251E+01  2.0912E+01  1.5329E+01  8.4993E+00
  Na   11    0  4.6496E+00  4.9167E+00  6.1241E+00  1.1155E+01  2.6773E+01  2.4324E+01  1.6855E+01  9.7587E+00  6.8962E+00
  Mg   12    0  2.9229E+00  4.4106E+00  5.0798E+00  8.5553E+00  1.2329E+01  1.0110E+01  1.0413E+01  9.4569E+00  7.1811E+00
  Al   13    0  3.0072E+00  3.1724E+00  4.6496E+00  1.0558E+01  1.6697E+01  1.3693E+01  1.0749E+01  7.5243E+00  4.5253E+00
