# From file: input/yields/snii/lc18/tab_R/tab_yieldstot_iso_exp_pd.dec
elemSymb,elemZ,elemA,mass_i_ini,13.,15.,20.,25.,30.,40.,60.,80.,120.,Z_ini,vel_ini
Ar36,18,36,5.6315e-05,0.0048911,0.0067737,0.0072309,0.0069967,0.0010795,0.0014562000000000002,0.0024214,0.003211,0.005155399999999999,0.0181,0.0
Ar38,18,38,1.0807999999999999e-05,0.00065969,0.0011825,0.0012307,0.0022337,0.00020718,0.00027948,0.00046508,0.00061837,0.00099413,0.0181,0.0
Ar40,18,40,1.8196e-08,3.4895e-07,5.0221e-07,1.1414e-06,2.9882e-06,3.4879e-07,4.7053e-07,7.8334e-07,1.0502e-06,1.7113999999999998e-06,0.0181,0.0
K39,19,39,2.8651e-06,6.7858e-05,0.00010608,0.00012638,0.00020748,5.492e-05,7.4089e-05,0.00012335,0.00016426,0.00026423,0.0181,0.0
K40,19,40,4.6383e-09,2.5481e-07,6.0714e-07,1.3951e-06,2.4012e-06,8.8644e-08,1.1975e-07,3.8402e-07,1.2011e-06,2.4585e-06,0.0181,0.0
K41,19,41,2.1737e-07,6.1211e-06,1.0455e-05,1.643e-05,2.3213000000000003e-05,4.1667e-06,5.6219e-06,1.1496e-05,2.3348e-05,4.384600000000001e-05,0.0181,0.0
Ca40,20,40,6.2452e-05,0.0044365,0.0058013000000000006,0.006379,0.0054988,0.0011970999999999998,0.0016149,0.002686,0.0035646999999999996,0.005725399999999999,0.0181,0.0
Ca42,20,42,4.3765e-07,2.099e-05,3.8398e-05,5.11e-05,9.904e-05,8.3892e-06,1.1317e-05,1.9023e-05,2.7192e-05,4.501e-05,0.0181,0.0
Ca43,20,43,9.349299999999999e-08,1.7486e-06,2.881e-06,7.418300000000001e-06,1.5422999999999998e-05,1.7921000000000002e-06,2.4176e-06,4.0318e-06,5.4873e-06,8.911e-06,0.0181,0.0
Ca44,20,44,1.4781999999999999e-06,4.4183e-05,4.2508e-05,6.5039e-05,0.00011531,2.8335e-05,3.8225e-05,6.36e-05,8.452700000000001e-05,0.00013584,0.0181,0.0
Ca46,20,46,2.9634e-09,1.1412e-07,1.0613e-07,3.1728e-07,1.7107e-06,5.6805000000000005e-08,7.6631e-08,1.2748e-07,1.693e-07,2.7203000000000003e-07,0.0181,0.0
Ca48,20,48,1.4456e-07,1.6100999999999998e-06,1.8428e-06,2.5181e-06,3.1303e-06,2.7710000000000002e-06,3.7382e-06,6.2217999999999995e-06,8.2769e-06,1.3309e-05,0.0181,0.0
Sc45,21,45,4.6794e-08,1.0699e-06,1.6599000000000002e-06,4.5391e-06,1.1417000000000001e-05,8.969799999999999e-07,1.21e-06,2.0568e-06,2.8767000000000003e-06,4.7435e-06,0.0181,0.0
Ti46,22,46,2.4899e-07,1.1221e-05,1.8168e-05,2.3931999999999997e-05,3.8662e-05,4.7727999999999994e-06,6.4386000000000005e-06,1.0718e-05,1.4300999999999999e-05,2.3021e-05,0.0181,0.0
Ti47,22,47,2.2943e-07,3.4348e-06,4.172e-06,6.961799999999999e-06,1.1818e-05,4.3979e-06,5.932799999999999e-06,9.8142e-06,1.2865e-05,2.0535999999999998e-05,0.0181,0.0
Ti48,22,48,2.3216999999999997e-06,0.00010703,0.00010369,0.00012188,0.00014595,4.4504e-05,6.0037e-05,9.9575e-05,0.00013106,0.00020964,0.0181,0.0
Ti49,22,49,1.7393e-07,6.0404e-06,7.8874e-06,1.0692999999999999e-05,1.3958e-05,3.3339999999999998e-06,4.4977e-06,7.9061e-06,1.2015e-05,2.0521e-05,0.0181,0.0
Ti50,22,50,1.6993e-07,2.3757e-06,3.3961e-06,7.263099999999999e-06,1.5569e-05,3.2573e-06,4.3942e-06,7.3612e-06,1.0131e-05,1.6535e-05,0.0181,0.0
V50,23,50,7.8323e-10,4.2259e-08,1.0173e-07,2.177e-07,3.6694000000000003e-07,1.5013e-08,2.0253e-08,3.3476e-08,4.3734e-08,6.9703e-08,0.0181,0.0
V51,23,51,3.1876e-07,1.3532999999999999e-05,1.7921e-05,2.1105999999999997e-05,1.7812e-05,6.11e-06,8.2428e-06,1.3826e-05,1.8579e-05,3.0032e-05,0.0181,0.0
Cr50,24,50,6.9813e-07,4.6058999999999994e-05,7.1517e-05,8.955700000000001e-05,6.489e-05,1.3382e-05,1.8052999999999998e-05,2.9826e-05,3.8926999999999995e-05,6.2011e-05,0.0181,0.0
Cr52,24,52,1.4000999999999999e-05,0.0007953,0.0009377,0.0010519,0.00089006,0.00026838,0.00036205,0.0006023,0.00080013,0.0012857,0.0181,0.0
Cr53,24,53,1.6182e-06,9.2031e-05,0.0001206,0.00013467,0.00010288,3.1017e-05,4.1845e-05,6.937600000000001e-05,9.145899999999999e-05,0.00014647,0.0181,0.0
Cr54,24,54,4.1039999999999997e-07,6.1585e-06,9.252799999999999e-06,1.8155e-05,3.1596999999999996e-05,7.8667e-06,1.0613e-05,1.843e-05,2.7298000000000002e-05,4.6049e-05,0.0181,0.0
Mn55,25,55,1.0898e-05,0.00050318,0.00067903,0.00078205,0.00056375,0.0002089,0.00028181,0.00047997,0.00066609,0.0010923,0.0181,0.0
Fe54,26,54,7.3478e-05,0.0037854,0.0055967,0.0068045,0.004209,0.0014085,0.0019,0.003147,0.0041289,0.0065951000000000004,0.0181,0.0
Fe56,26,56,0.0011962,0.083304,0.085099,0.090034,0.09354,0.022930000000000002,0.030933,0.051445000000000005,0.06829299999999999,0.10969000000000001,0.0181,0.0
Fe57,26,57,2.8118e-05,0.0031538,0.0031108,0.0033387,0.0038561,0.00053899,0.0007271,0.0012485,0.0017915,0.0029893,0.0181,0.0
Fe58,26,58,3.8075999999999998e-06,0.00012234,0.00027807,0.00066563,0.0011765999999999999,7.2987e-05,9.8466e-05,0.0001758,0.00030295,0.00053966,0.0181,0.0
Co59,27,59,4.2445e-06,0.00025705,0.00031688,0.00055287,0.00098498,8.1362e-05,0.00010976,0.00018895,0.00027074,0.00045175,0.0181,0.0
Ni58,28,58,4.824e-05,0.005365600000000001,0.0057943000000000005,0.005822600000000001,0.0052015,0.00092468,0.0012474,0.0020682,0.0027206999999999995,0.0043503,0.0181,0.0
Ni60,28,60,1.9223e-05,0.0016370999999999998,0.0014921,0.0018102,0.0025141,0.00036846,0.00049709,0.00082668,0.0011035,0.0017765,0.0181,0.0
Ni61,28,61,8.495200000000001e-07,0.0001013,0.00010667,0.00017043,0.00030625,1.6284000000000002e-05,2.1969e-05,3.9161999999999995e-05,6.0606e-05,0.00010434,0.0181,0.0
Ni62,28,62,2.7531e-06,0.00071513,0.00069144,0.00090652,0.0013245999999999998,5.2771999999999996e-05,7.119e-05,0.00011899,0.00016311,0.00026568,0.0181,0.0
Ni64,28,64,7.2374e-07,1.9682e-05,2.925e-05,9.3056e-05,0.00031096,1.3872999999999999e-05,1.8715e-05,3.1191e-05,4.1847e-05,6.7602e-05,0.0181,0.0
Cu63,29,63,4.968600000000001e-07,1.7460999999999998e-05,2.9485e-05,9.3072e-05,0.0003098,9.5242e-06,1.2849e-05,2.182e-05,3.11e-05,5.1562e-05,0.0181,0.0
Cu65,29,65,2.2849e-07,8.8304e-06,1.6495e-05,5.1275e-05,0.00013508,4.3799e-06,5.9085e-06,1.0091e-05,1.4378e-05,2.3744000000000002e-05,0.0181,0.0
Zn64,30,64,8.318799999999999e-07,1.783e-05,2.118e-05,3.6764e-05,6.3774e-05,1.5946e-05,2.1511999999999997e-05,3.5695e-05,4.7387e-05,7.595e-05,0.0181,0.0
Zn66,30,66,4.9218e-07,2.2987e-05,3.14e-05,6.140199999999999e-05,0.00016345,9.434500000000001e-06,1.2727e-05,2.1144e-05,2.8093e-05,4.5185e-05,0.0181,0.0
Zn67,30,67,7.3424e-08,1.4856e-06,2.5007e-06,9.894e-06,3.1573000000000004e-05,1.4074e-06,1.8987000000000001e-06,3.1824000000000002e-06,4.2912e-06,6.9613e-06,0.0181,0.0
Zn68,30,68,3.4079e-07,7.173e-06,1.1445999999999998e-05,4.0298e-05,0.00013359,6.5325e-06,8.8125e-06,1.4705e-05,1.9742000000000002e-05,3.1892e-05,0.0181,0.0
Zn70,30,70,1.16e-08,2.1686e-07,3.5504e-07,7.026100000000001e-07,3.3860000000000003e-06,2.2236000000000001e-07,2.9996e-07,4.979600000000001e-07,6.572700000000001e-07,1.0528000000000001e-06,0.0181,0.0
Ga69,31,69,3.3478e-08,1.0224e-06,1.8458000000000002e-06,6.2470000000000005e-06,2.1453000000000003e-05,6.4173e-07,8.657299999999999e-07,1.4588e-06,1.9978e-06,3.2567e-06,0.0181,0.0
Ga71,31,71,2.2862e-08,6.4801e-07,1.146e-06,4.7973e-06,1.7799e-05,4.3824e-07,5.9119e-07,9.9084e-07,1.3512999999999999e-06,2.1972e-06,0.0181,0.0
Ge70,32,70,4.7971000000000007e-08,1.3585e-06,2.4631e-06,7.5697000000000006e-06,2.9878e-05,9.195200000000002e-07,1.2405e-06,2.0736e-06,2.8160000000000002e-06,4.5667e-06,0.0181,0.0
Ge72,32,72,6.5204e-08,1.4408e-06,2.3278999999999998e-06,7.3361e-06,2.7446999999999997e-05,1.2498999999999999e-06,1.6861e-06,2.8002e-06,3.7180000000000002e-06,5.9707e-06,0.0181,0.0
Ge73,32,73,1.8555999999999998e-08,3.3122e-07,4.9153e-07,2.0246e-06,8.7814e-06,3.557e-07,4.7984e-07,7.9737e-07,1.0577e-06,1.6981999999999999e-06,0.0181,0.0
Ge74,32,74,8.828300000000001e-08,1.5656999999999999e-06,2.1978999999999997e-06,7.6377e-06,2.8182e-05,1.6922999999999999e-06,2.2828999999999998e-06,3.8084e-06,5.094e-06,8.2135e-06,0.0181,0.0
Ge76,32,76,1.9019e-08,2.4039e-07,3.3954e-07,5.8464e-07,2.2857e-06,3.6454999999999997e-07,4.918100000000001e-07,8.1631e-07,1.0772e-06,1.7252e-06,0.0181,0.0
As75,33,75,1.1016e-08,2.7681999999999996e-07,5.068899999999999e-07,1.7237000000000001e-06,6.3347000000000005e-06,2.1116e-07,2.8486e-07,4.7265e-07,6.2731e-07,1.0070999999999999e-06,0.0181,0.0
Se74,34,74,1.0607e-09,5.5823e-08,1.3138e-07,2.8896e-07,1.3955e-06,2.0332e-08,2.7429e-08,4.4709e-08,5.7495e-08,9.069900000000001e-08,0.0181,0.0
Se76,34,76,1.1469e-08,3.0971e-07,5.2e-07,1.6016999999999998e-06,7.1798e-06,2.1985e-07,2.9658e-07,5.027399999999999e-07,6.905500000000001e-07,1.1286e-06,0.0181,0.0
Se77,34,77,9.4622e-09,1.7789000000000001e-07,3.0034e-07,1.098e-06,3.9763e-06,1.8137999999999997e-07,2.4468000000000004e-07,4.0525e-07,5.398e-07,8.678e-07,0.0181,0.0
Se78,34,78,2.9861e-08,5.2474e-07,6.8814e-07,2.4621e-06,1.0392e-05,5.7238e-07,7.721800000000001e-07,1.2933000000000002e-06,1.7529e-06,2.8427e-06,0.0181,0.0
Se80,34,80,6.392e-08,8.5639e-07,1.0381e-06,2.6789e-06,9.393e-06,1.2252e-06,1.6528999999999999e-06,2.737e-06,3.5964e-06,5.7527e-06,0.0181,0.0
Se82,34,82,1.1529e-08,1.4439e-07,2.0059999999999998e-07,3.2843000000000004e-07,1.4194e-06,2.21e-07,2.9813000000000004e-07,4.956399999999999e-07,6.568699999999999e-07,1.0544e-06,0.0181,0.0
Br79,35,79,1.0222e-08,1.5021e-07,2.0182000000000002e-07,7.1222e-07,3.1672000000000004e-06,1.9594000000000002e-07,2.643e-07,4.3107e-07,5.624e-07,8.9462e-07,0.0181,0.0
Br81,35,81,1.0195000000000001e-08,1.5418e-07,2.0572e-07,5.8539e-07,2.2926e-06,1.9543e-07,2.6363000000000004e-07,4.433600000000001e-07,5.9428e-07,9.5978e-07,0.0181,0.0
Kr78,36,78,3.6964e-10,6.1962e-09,1.0023e-08,1.8711e-08,9.5068e-08,7.0855e-09,9.5585e-09,1.5603e-08,2.0062e-08,3.1648e-08,0.0181,0.0
Kr80,36,80,2.4360000000000003e-09,4.9400000000000006e-08,7.8624e-08,2.0075e-07,6.9525e-07,4.6695e-08,6.3011e-08,1.1384e-07,1.6370000000000002e-07,2.7236e-07,0.0181,0.0
Kr82,36,82,1.2511e-08,1.9127e-07,2.4293e-07,7.111799999999999e-07,2.9259e-06,2.3982e-07,3.2354999999999996e-07,5.5306e-07,7.8604e-07,1.3011000000000001e-06,0.0181,0.0
Kr83,36,83,1.2545999999999999e-08,1.6124000000000003e-07,2.1445999999999998e-07,5.7033e-07,2.1324e-06,2.4047e-07,3.2439999999999997e-07,5.3382e-07,7.069299999999999e-07,1.1311e-06,0.0181,0.0
Kr84,36,84,6.2574e-08,7.658700000000001e-07,9.5167e-07,2.1325999999999997e-06,5.602899999999999e-06,1.1994e-06,1.6181e-06,2.6904e-06,3.5666000000000003e-06,5.7259000000000005e-06,0.0181,0.0
Kr86,36,86,1.9374e-08,2.7335e-07,3.7683e-07,9.6639e-07,2.6982999999999996e-06,3.7135999999999996e-07,5.0099e-07,8.337000000000001e-07,1.1084999999999998e-06,1.7827e-06,0.0181,0.0
Rb85,37,85,1.4679e-08,1.9589000000000002e-07,2.5738000000000005e-07,6.7869e-07,1.8469999999999998e-06,2.8138e-07,3.7957999999999996e-07,6.3027e-07,8.3193e-07,1.3330000000000002e-06,0.0181,0.0
Rb87,37,87,6.1834e-09,1.1017000000000001e-07,1.7910999999999997e-07,4.6368000000000003e-07,1.2912e-06,1.1852e-07,1.5989e-07,2.659e-07,3.5284e-07,5.6673e-07,0.0181,0.0
Sr84,38,84,2.5578999999999995e-10,6.41e-09,1.0941e-08,1.6423e-08,9.7144e-08,4.9032e-09,6.6144999999999994e-09,1.0771999999999999e-08,1.3848000000000001e-08,2.1837e-08,0.0181,0.0
Sr86,38,86,4.6311999999999995e-09,7.9241e-08,1.206e-07,3.2353000000000004e-07,7.4794e-07,8.8774e-08,1.1977e-07,2.1552e-07,3.3527e-07,5.780699999999999e-07,0.0181,0.0
Sr87,38,87,3.2741999999999997e-09,4.4712e-08,6.8218e-08,1.7413e-07,3.5941e-07,6.2772e-08,8.4678e-08,1.4335e-07,2.0801e-07,3.4604999999999995e-07,0.0181,0.0
Sr88,38,88,3.9706e-08,5.542499999999999e-07,7.7086e-07,1.6286000000000002e-06,3.1642e-06,7.611e-07,1.0268e-06,1.7107e-06,2.2913e-06,3.6945999999999997e-06,0.0181,0.0
Y89,39,89,1.0626e-08,1.3847999999999998e-07,1.8114999999999998e-07,3.5042000000000004e-07,7.463500000000001e-07,2.0369e-07,2.7478000000000003e-07,4.5763000000000006e-07,6.104100000000001e-07,9.8289e-07,0.0181,0.0
Zr90,40,90,1.296e-08,1.6069000000000002e-07,1.9926999999999998e-07,3.3448e-07,6.1488e-07,2.4843000000000006e-07,3.3513000000000006e-07,5.578800000000001e-07,7.4251e-07,1.1941e-06,0.0181,0.0
Zr91,40,91,2.8576999999999998e-09,3.5178e-08,4.3897000000000006e-08,8.162800000000001e-08,1.7208e-07,5.4776999999999995e-08,7.3897e-08,1.2312e-07,1.6425e-07,2.6453000000000005e-07,0.0181,0.0
Zr92,40,92,4.416e-09,5.3397e-08,6.517999999999999e-08,1.1175e-07,2.0717e-07,8.4649e-08,1.1419e-07,1.9039999999999998e-07,2.5461e-07,4.1047e-07,0.0181,0.0
Zr94,40,94,4.5725e-09,5.2903e-08,6.2553e-08,9.8513e-08,1.6518e-07,8.7649e-08,1.1824000000000002e-07,1.9632999999999999e-07,2.6041e-07,4.1795e-07,0.0181,0.0
Zr96,40,96,7.523300000000001e-10,8.4885e-10,1.0051e-09,4.5608e-09,3.3404e-08,2.2569e-10,3.0092000000000003e-10,4.5139e-10,6.0188e-10,9.027899999999999e-10,0.0181,0.0
Nb93,41,93,1.9744999999999997e-09,2.2395e-08,2.6655000000000003e-08,4.3647999999999995e-08,8.608499999999999e-08,3.7849e-08,5.1059e-08,8.3994e-08,1.1046e-07,1.7629999999999998e-07,0.0181,0.0
Mo92,42,92,7.4625e-10,9.1864e-09,1.1358e-08,1.5914e-08,1.9664e-08,1.4303999999999999e-08,1.9297e-08,3.1822e-08,4.1395999999999996e-08,6.5818e-08,0.0181,0.0
Mo94,42,94,4.803700000000001e-10,6.7296000000000004e-09,8.3495e-09,1.2213e-08,1.4739e-08,9.2079e-09,1.2423e-08,2.2006000000000002e-08,3.0374e-08,5.0193000000000005e-08,0.0181,0.0
Mo95,42,95,8.4024e-10,9.7616e-09,1.1496e-08,1.7583e-08,3.5029e-08,1.6106e-08,2.1727e-08,3.6152000000000005e-08,4.8048e-08,7.729599999999999e-08,0.0181,0.0
Mo96,42,96,8.9379e-10,1.8565e-08,2.1408999999999997e-08,3.1425e-08,4.4279e-08,3.1327e-08,4.2267000000000004e-08,7.0594e-08,9.461499999999999e-08,1.5275000000000001e-07,0.0181,0.0
Mo97,42,97,5.1997e-10,5.9177e-09,6.7721999999999994e-09,1.0078000000000001e-08,1.5885e-08,9.967000000000001e-09,1.3446e-08,2.2489e-08,3.0222000000000004e-08,4.8829e-08,0.0181,0.0
Mo98,42,98,1.3349e-09,1.5170999999999997e-08,1.7744e-08,2.6257e-08,4.0467e-08,2.5586e-08,3.4519e-08,5.7805999999999995e-08,7.8352e-08,1.2708e-07,0.0181,0.0
Xe32,54,132,4.4773999999999994e-09,5.0101000000000006e-08,5.8051e-08,8.264799999999999e-08,1.1142000000000001e-07,8.582599999999999e-08,1.1578e-07,1.9227000000000001e-07,2.5499000000000004e-07,4.0921e-07,0.0181,0.0
Xe34,54,134,1.6783e-09,1.8783e-08,2.1504e-08,2.8799000000000002e-08,3.7961e-08,3.2171e-08,4.3399000000000004e-08,7.2054e-08,9.5142e-08,1.5244e-07,0.0181,0.0
Cs33,55,133,1.1771e-09,1.2767999999999999e-08,1.4716000000000001e-08,1.9825e-08,2.7164e-08,2.2564000000000003e-08,3.0439e-08,4.9916999999999996e-08,6.5166e-08,1.0366e-07,0.0181,0.0
Ba34,56,134,3.6088e-10,5.2017e-09,6.5781999999999995e-09,1.0805e-08,1.5035000000000002e-08,6.917399999999999e-09,9.3335e-09,1.6952000000000002e-08,2.502e-08,4.2448e-08,0.0181,0.0
Ba35,56,135,9.9158e-10,1.0733999999999999e-08,1.2219e-08,1.6635e-08,2.2553999999999998e-08,1.9007e-08,2.564e-08,4.2103e-08,5.5472999999999997e-08,8.869899999999999e-08,0.0181,0.0
Ba36,56,136,1.1902e-09,1.4684999999999999e-08,1.8389e-08,2.9817e-08,4.3635e-08,2.2815e-08,3.0777e-08,5.2408999999999996e-08,7.338e-08,1.2084000000000002e-07,0.0181,0.0
Ba37,56,137,1.7146e-09,1.9531e-08,2.3207e-08,3.4346999999999996e-08,5.0682000000000003e-08,3.2867e-08,4.4337999999999996e-08,7.3698e-08,9.8384e-08,1.5837e-07,0.0181,0.0
Ba38,56,138,1.1025000000000001e-08,1.2817e-07,1.5437e-07,2.3904e-07,3.5268999999999996e-07,2.1134e-07,2.8510000000000003e-07,4.7502e-07,6.343e-07,1.0218000000000001e-06,0.0181,0.0
La38,57,138,1.1639e-12,1.3212999999999999e-11,1.5278e-11,2.0769e-11,2.4680000000000002e-11,2.2309e-11,3.0097e-11,5.0097e-11,6.667199999999999e-11,1.0722e-10,0.0181,0.0
La39,57,139,1.2870999999999998e-09,1.4910000000000002e-08,1.7887e-08,2.773e-08,4.2373000000000005e-08,2.4670000000000002e-08,3.3283e-08,5.5422000000000005e-08,7.386700000000001e-08,1.1887e-07,0.0181,0.0
Ce40,58,140,3.4658e-09,3.9431e-08,4.6092000000000007e-08,6.722400000000001e-08,9.501099999999999e-08,6.6435e-08,8.9622e-08,1.4922e-07,1.9876e-07,3.1976e-07,0.0181,0.0
Pr41,59,141,5.4475e-10,6.1245000000000005e-09,7.0072e-09,1.0005e-08,1.4931e-08,1.0442e-08,1.4086000000000001e-08,2.3307e-08,3.064e-08,4.8968999999999993e-08,0.0181,0.0
Nd42,60,142,7.436e-10,9.0343e-09,1.1193e-08,1.7079999999999998e-08,2.5076999999999997e-08,1.4254e-08,1.9229e-08,3.2202e-08,4.3384e-08,7.0213e-08,0.0181,0.0
Nd43,60,143,3.3291e-10,3.5693e-09,4.0312e-09,5.37e-09,7.1662e-09,6.3815e-09,8.6085e-09,1.4121999999999999e-08,1.8414e-08,2.9269e-08,0.0181,0.0
Nd44,60,144,6.6164e-10,7.431499999999999e-09,8.488899999999999e-09,1.1686000000000001e-08,1.5285e-08,1.2683e-08,1.7109e-08,2.8535e-08,3.7839e-08,6.079e-08,0.0181,0.0
Hg02,80,202,6.5678e-10,7.497699999999999e-09,8.760399999999999e-09,1.2707999999999999e-08,1.7378e-08,1.2589e-08,1.6984e-08,2.8472e-08,3.8509000000000004e-08,6.2431e-08,0.0181,0.0
Hg04,80,204,1.526e-10,1.6896e-09,1.8727e-09,2.4461999999999997e-09,2.9179e-09,2.9252e-09,3.9461e-09,6.536e-09,8.5776e-09,1.37e-08,0.0181,0.0
