  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Cl37   17   37  1.6025E+00  2.1607E+00  2.5615E+00  3.7991E+00  1.0000E+00  1.0000E+00  1.0353E+00  1.1447E+00  1.1963E+00
Ar36   18   36  7.5692E+00  9.0247E+00  7.0016E+00  5.3919E+00  9.9998E-01  1.0000E+00  9.9893E-01  9.9539E-01  9.9370E-01
Ar38   18   38  5.3195E+00  8.2089E+00  6.2093E+00  8.9694E+00  1.0000E+00  1.0000E+00  9.9973E-01  9.9881E-01  9.9844E-01
Ar40   18   40  1.6713E+00  2.0708E+00  3.4204E+00  7.1270E+00  1.0000E+00  1.0000E+00  1.0002E+00  1.0075E+00  1.0209E+00
K39    19   39  2.0641E+00  2.7780E+00  2.4054E+00  3.1427E+00  9.9999E-01  9.9999E-01  1.0002E+00  1.0008E+00  1.0011E+00
K40    19   40  4.7877E+00  9.8211E+00  1.6401E+01  2.2467E+01  9.9701E-01  9.9837E-01  1.9235E+00  4.5204E+00  5.7534E+00
K41    19   41  2.4541E+00  3.6088E+00  4.1217E+00  4.6347E+00  1.0000E+00  1.0002E+00  1.2287E+00  1.8751E+00  2.1896E+00
Ca40   20   40  6.1910E+00  6.9696E+00  5.5698E+00  3.8212E+00  9.9998E-01  1.0000E+00  9.9920E-01  9.9643E-01  9.9513E-01
Ca42   20   42  4.1798E+00  6.5828E+00  6.3668E+00  9.8210E+00  9.9999E-01  9.9999E-01  1.0098E+00  1.0846E+00  1.1163E+00
Ca43   20   43  1.6299E+00  2.3120E+00  4.3267E+00  7.1590E+00  9.9999E-01  1.0000E+00  1.0019E+00  1.0246E+00  1.0346E+00
Ca44   20   44  2.6048E+00  2.1575E+00  2.3991E+00  3.3852E+00  9.9997E-01  9.9997E-01  9.9956E-01  9.9821E-01  9.9746E-01
Ca46   20   46  3.3562E+00  2.6870E+00  5.8382E+00  2.5053E+01  9.9999E-01  9.9999E-01  9.9938E-01  9.9729E-01  9.9641E-01
Ca48   20   48  9.7064E-01  9.5639E-01  9.4983E-01  9.3972E-01  9.9997E-01  9.9997E-01  9.9990E-01  9.9948E-01  9.9935E-01
Sc45   21   45  1.9925E+00  2.6615E+00  5.2894E+00  1.0588E+01  1.0000E+00  1.0000E+00  1.0212E+00  1.0732E+00  1.1003E+00
Ti46   22   46  3.9273E+00  5.4745E+00  5.2410E+00  6.7386E+00  9.9998E-01  9.9998E-01  1.0000E+00  1.0026E+00  1.0036E+00
Ti47   22   47  1.3047E+00  1.3643E+00  1.6546E+00  2.2355E+00  1.0000E+00  1.0000E+00  9.9381E-01  9.7890E-01  9.7158E-01
Ti48   22   48  4.0177E+00  3.3510E+00  2.8626E+00  2.7283E+00  1.0000E+00  1.0000E+00  9.9643E-01  9.8549E-01  9.8014E-01
Ti49   22   49  3.0266E+00  3.4024E+00  3.3525E+00  3.4828E+00  1.0000E+00  1.0000E+00  1.0561E+00  1.2060E+00  1.2807E+00
Ti50   22   50  1.2184E+00  1.4995E+00  2.3306E+00  3.9760E+00  9.9998E-01  9.9998E-01  1.0064E+00  1.0407E+00  1.0562E+00
V50    23   50  4.7022E+00  9.7449E+00  1.5157E+01  2.0332E+01  9.9999E-01  9.9999E-01  9.9298E-01  9.7477E-01  9.6601E-01
V51    23   51  3.7000E+00  4.2183E+00  3.6106E+00  2.4251E+00  9.9997E-01  1.0000E+00  1.0077E+00  1.0175E+00  1.0227E+00
Cr50   24   50  5.7497E+00  7.6860E+00  6.9951E+00  4.0338E+00  9.9998E-01  1.0000E+00  9.9255E-01  9.7338E-01  9.6416E-01
Cr52   24   52  4.9502E+00  5.0249E+00  4.0966E+00  2.7588E+00  9.9998E-01  9.9998E-01  9.9941E-01  9.9762E-01  9.9676E-01
Cr53   24   53  4.9565E+00  5.5919E+00  4.5380E+00  2.7593E+00  9.9996E-01  1.0000E+00  9.9606E-01  9.8667E-01  9.8253E-01
Cr54   24   54  1.3078E+00  1.6916E+00  2.4123E+00  3.3413E+00  9.9999E-01  1.0001E+00  1.0434E+00  1.1612E+00  1.2180E+00
Mn55   25   55  4.0239E+00  4.6749E+00  3.9131E+00  2.2450E+00  1.0000E+00  1.0000E+00  1.0232E+00  1.0670E+00  1.0880E+00
Fe54   26   54  4.4897E+00  5.7148E+00  5.0498E+00  2.4860E+00  9.9999E-01  9.9999E-01  9.9503E-01  9.8095E-01  9.7428E-01
Fe56   26   56  6.0693E+00  5.3378E+00  4.1043E+00  3.3938E+00  1.0000E+00  1.0000E+00  9.9919E-01  9.9668E-01  9.9543E-01
Fe57   26   57  9.7749E+00  8.3006E+00  6.4748E+00  5.9517E+00  1.0000E+00  1.0000E+00  1.0316E+00  1.1122E+00  1.1540E+00
Fe58   26   58  2.8002E+00  5.4794E+00  9.5325E+00  1.3411E+01  9.9999E-01  1.0000E+00  1.0727E+00  1.3890E+00  1.5385E+00
Co59   27   59  5.2778E+00  5.6013E+00  7.1027E+00  1.0071E+01  9.9999E-01  1.0000E+00  1.0342E+00  1.1135E+00  1.1553E+00
Ni58   28   58  9.6934E+00  9.0121E+00  6.5818E+00  4.6794E+00  9.9998E-01  1.0000E+00  9.9606E-01  9.8458E-01  9.7888E-01
Ni60   28   60  7.4222E+00  5.8240E+00  5.1351E+00  5.6760E+00  9.9996E-01  1.0000E+00  9.9913E-01  1.0021E+00  1.0031E+00
Ni61   28   61  1.0392E+01  9.4209E+00  1.0939E+01  1.5645E+01  9.9998E-01  1.0001E+00  1.0710E+00  1.2454E+00  1.3332E+00
Ni62   28   62  2.2638E+01  1.8844E+01  1.7955E+01  2.0880E+01  9.9998E-01  9.9998E-01  1.0041E+00  1.0343E+00  1.0475E+00
Ni64   28   64  2.3700E+00  3.0323E+00  7.0112E+00  1.8647E+01  9.9999E-01  1.0000E+00  1.0013E+00  1.0094E+00  1.0139E+00
Cu63   29   63  3.0626E+00  4.4524E+00  1.0214E+01  2.7060E+01  9.9999E-01  1.0000E+00  1.0203E+00  1.0927E+00  1.1264E+00
Cu65   29   65  3.3681E+00  5.4164E+00  1.2237E+01  2.5657E+01  1.0000E+00  1.0000E+00  1.0260E+00  1.0985E+00  1.1280E+00
Zn64   30   64  1.8679E+00  1.9102E+00  2.4099E+00  3.3270E+00  9.9998E-01  1.0000E+00  9.9688E-01  9.9442E-01  9.9103E-01
Zn66   30   66  4.0703E+00  4.7867E+00  6.8027E+00  1.4413E+01  9.9999E-01  9.9999E-01  9.9808E-01  9.9642E-01  9.9652E-01
Zn67   30   67  1.7634E+00  2.5554E+00  7.3480E+00  1.8662E+01  9.9999E-01  1.0000E+00  1.0070E+00  1.0203E+00  1.0291E+00
