# From file: input/yields/lims/k10/['Z0.0001.dat', 'Z0.008.dat', 'Z0.004.dat', 'Z0.02.dat']
mass_ini,Z_ini,mass_fin,elemSymb,elemZ,elemA,Yield,Mi_windloss,Mi_ini,Xi_avg,Xi_ini,ProdFact
1.0,0.0001,0.72,s32  ,16,32,-4.8612492e-10,5.5404109e-07,5.545272199999999e-07,1.9787185e-06,1.9808103e-06,-0.00045888996
1.0,0.0001,0.72,s33  ,16,33,1.1417978e-11,4.5253401e-09,4.5139221e-09,1.616193e-08,1.612405e-08,0.0010191246000000001
1.0,0.0001,0.72,s34  ,16,34,9.504219599999999e-11,2.6183028e-07,2.6173524e-07,9.3510823e-07,9.3493685e-07,7.9617937e-05
1.0,0.0001,0.72,s35  ,16,35,1.8549981e-10,1.8549981e-10,0.0,6.6249939e-10,0.0,0.0
1.0,0.0001,0.72,fe54 ,26,54,-3.7217518e-10,9.953845400000001e-08,9.991062899999999e-08,3.5549450999999996e-07,3.5688784999999994e-07,-0.0016988753
1.0,0.0001,0.72,fe55 ,26,55,1.2895956e-12,1.2895956e-12,0.0,4.6056990999999995e-12,0.0,0.0
1.0,0.0001,0.72,fe56 ,26,56,-5.5406417e-09,1.6326549e-06,1.6381955e-06,5.8309106e-06,5.8517503e-06,-0.0015493954
1.0,0.0001,0.72,fe57 ,26,57,-2.5224267000000003e-12,4.0006196000000004e-08,4.0008717999999994e-08,1.4287929e-07,1.4291398e-07,-0.00010542045
1.0,0.0001,0.72,fe58 ,26,58,6.2737904e-10,5.8082521e-09,5.1808731e-09,2.074376e-08,1.8506446e-08,0.049564485
1.0,0.0001,0.72,fe59 ,26,59,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,fe60 ,26,60,8.4110517e-11,8.4110517e-11,0.0,3.0039474e-10,0.0,0.0
1.0,0.0001,0.72,fe61 ,26,61,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,co59 ,27,59,1.8350832e-10,4.8892344e-09,4.705726e-09,1.7461552e-08,1.6809187e-08,0.016536128
1.0,0.0001,0.72,co60 ,27,60,2.9558207000000003e-16,2.9558207000000003e-16,0.0,1.0556503999999998e-15,0.0,0.0
1.0,0.0001,0.72,co61 ,27,61,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,ni58 ,28,58,-2.5887203e-10,6.9022676e-08,6.9281548e-08,2.4650959e-07,2.474786e-07,-0.0017038389000000001
1.0,0.0001,0.72,ni59 ,28,59,-4.599462e-16,-4.599462e-16,0.0,-1.6426652e-15,0.0,0.0
1.0,0.0001,0.72,ni60 ,28,60,1.0275514e-10,2.7541603000000002e-08,2.7438848e-08,9.836287499999999e-08,9.801350099999998e-08,0.0015453319
1.0,0.0001,0.72,ni61 ,28,61,7.9472349e-09,9.1515062e-09,1.2042713e-09,3.2683953e-08,4.3017425e-09,0.88069016
1.0,0.0001,0.72,ni62 ,28,62,-2.2508742e-09,1.6393433e-09,3.8902175e-09,5.854798000000001e-09,1.3896131999999998e-08,-0.37538204
1.25,0.0001,0.6679999999999999,g    ,0,1,4.8815485e-09,5.0464908e-09,1.6494223e-10,8.6709457e-09,2.8343647e-10,1.4856107
1.25,0.0001,0.6679999999999999,n    ,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,p    ,1,1,-0.029883474,0.41815230000000003,0.44803578,0.71847475,0.76990402,-0.030025077999999997
1.25,0.0001,0.6679999999999999,d    ,1,2,2.7917968e-18,2.7917968e-18,0.0,4.796901400000001e-18,0.0,0.0
1.25,0.0001,0.6679999999999999,he3  ,2,3,0.00013304636999999998,0.00013304636999999998,0.0,0.000228602,0.0,0.0
1.25,0.0001,0.6679999999999999,he4  ,2,4,0.025842562000000003,0.15968882,0.13384625,0.27437940000000005,0.23000120000000002,0.076621421
1.25,0.0001,0.6679999999999999,li7  ,3,7,-9.520946300000001e-10,1.3350905e-10,1.0856037e-09,2.2939698999999999e-10,1.8655e-09,-0.91020751
1.25,0.0001,0.6679999999999999,be7  ,4,7,5.626205299999999e-13,5.626205299999999e-13,0.0,9.667018700000001e-13,0.0,0.0
1.25,0.0001,0.6679999999999999,b8   ,5,8,1.4793269999999998e-26,1.4793269999999998e-26,0.0,2.5417988999999998e-26,0.0,0.0
1.25,0.0001,0.6679999999999999,c12  ,6,12,0.0037244315999999996,0.003733254,8.8223305e-06,0.0064145257,1.5160279e-05,2.6264572
1.25,0.0001,0.6679999999999999,c13  ,6,13,4.8372362e-07,5.899015e-07,1.061779e-07,1.0135765e-06,1.8245595e-07,0.74469852
1.25,0.0001,0.6679999999999999,c14  ,6,14,2.7769462e-10,2.7769462e-10,0.0,4.771385e-10,0.0,0.0
1.25,0.0001,0.6679999999999999,n13  ,7,13,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,n14  ,7,14,1.9784671e-05,2.2999175e-05,3.214504e-06,3.9517479e-05,5.523798799999999e-06,0.85455143
1.25,0.0001,0.6679999999999999,n15  ,7,15,1.5404620000000003e-09,1.4235197e-08,1.2694735000000002e-08,2.4459101000000003e-08,2.1814614e-08,0.049692959
1.25,0.0001,0.6679999999999999,o14  ,8,14,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,o15  ,8,15,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,o16  ,8,16,9.5367177e-05,0.00012328588,2.7918699e-05,0.0002118314,4.7975448999999995e-05,0.64497125
1.25,0.0001,0.6679999999999999,o17  ,8,17,7.632947800000001e-08,8.764012400000001e-08,1.1310648000000001e-08,1.505844e-07,1.94362e-08,0.88916862
1.25,0.0001,0.6679999999999999,o18  ,8,18,-1.5389304e-08,4.7664499999999996e-08,6.305380400000001e-08,8.189776700000001e-08,1.0835156e-07,-0.12156311
1.25,0.0001,0.6679999999999999,o19  ,8,19,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,f17  ,9,17,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,f18  ,9,18,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,f19  ,9,19,1.5878395e-07,1.5996278e-07,1.1788275e-09,2.7485012e-07,2.0256954e-09,2.1325218999999995
1.25,0.0001,0.6679999999999999,f20  ,9,20,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,ne19 ,10,19,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,ne20 ,10,20,3.8050712e-07,5.093117099999999e-06,4.712609999999999e-06,8.7510598e-06,8.0981417e-06,0.033675272
1.25,0.0001,0.6679999999999999,ne21 ,10,21,4.512354900000001e-08,5.713532e-08,1.2011769e-08,9.817065199999998e-08,2.0641006999999995e-08,0.67725074
1.25,0.0001,0.6679999999999999,ne22 ,10,22,6.5351633e-05,6.5730623e-05,3.7899146999999997e-07,0.00011293921,6.512583499999999e-07,2.2390914
1.25,0.0001,0.6679999999999999,ne23 ,10,23,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,na21 ,11,21,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,na22 ,11,22,1.189212e-31,1.189212e-31,0.0,2.0433195e-31,0.0,0.0
1.25,0.0001,0.6679999999999999,na23 ,11,23,2.7230726e-07,3.6950641e-07,9.7199141e-08,6.3489074e-07,1.6702687e-07,0.57991266
1.25,0.0001,0.6679999999999999,na24 ,11,24,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,mg23 ,12,23,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,mg24 ,12,24,2.5938562000000004e-08,1.5247606000000002e-06,1.4988220000000001e-06,2.6198634e-06,2.5755735e-06,0.0074047204
1.25,0.0001,0.6679999999999999,mg25 ,12,25,1.447294e-07,3.417089e-07,1.969795e-07,5.871286800000001e-07,3.3848925999999997e-07,0.23918842
1.25,0.0001,0.6679999999999999,mg26 ,12,26,1.4009277e-07,3.6603569e-07,2.2594293e-07,6.289273000000001e-07,3.8825999e-07,0.20947783
1.25,0.0001,0.6679999999999999,mg27 ,12,27,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,al25 ,13,25,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,al-6 ,13,26,9.1887464e-10,9.1887464e-10,0.0,1.5788224e-09,0.0,0.0
1.25,0.0001,0.6679999999999999,al*6 ,13,26,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,al27 ,13,27,1.8154338e-08,1.8718032e-07,1.6902598e-07,3.2161566e-07,2.9045401e-07,0.044259802
1.25,0.0001,0.6679999999999999,al28 ,13,28,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,si27 ,14,27,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,si28 ,14,28,1.3693806999999998e-08,1.9153231e-06,1.9016293000000001e-06,3.2909331000000003e-06,3.2677567e-06,0.0030693511999999997
1.25,0.0001,0.6679999999999999,si29 ,14,29,1.8436239e-09,1.0160767e-07,9.976404400000002e-08,1.7458362000000002e-07,1.7143438e-07,0.0079055605
1.25,0.0001,0.6679999999999999,si30 ,14,30,5.2428817e-09,7.373928699999999e-08,6.8496405e-08,1.266998e-07,1.1770411e-07,0.031984288
1.25,0.0001,0.6679999999999999,si31 ,14,31,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,si32 ,14,32,1.4767257e-17,1.4767257e-17,0.0,2.5373291999999998e-17,0.0,0.0
1.25,0.0001,0.6679999999999999,si33 ,14,33,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,p29  ,15,29,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,p30  ,15,30,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,p31  ,15,31,4.3550408e-09,2.8103992e-08,2.3748951000000004e-08,4.8288643999999996e-08,4.0810161e-08,0.073076718
1.25,0.0001,0.6679999999999999,p32  ,15,32,3.7697989000000004e-21,3.7697989000000004e-21,0.0,6.477317399999999e-21,0.0,0.0
1.25,0.0001,0.6679999999999999,p33  ,15,33,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,p34  ,15,34,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,s32  ,16,32,-4.123649e-09,1.1485836000000001e-06,1.1527072e-06,1.9735112000000002e-06,1.9808103e-06,-0.0016033041
1.25,0.0001,0.6679999999999999,s33  ,16,33,1.9077717e-10,9.5739612e-09,9.383184000000001e-09,1.6450105e-08,1.612405e-08,0.0086945612
1.25,0.0001,0.6679999999999999,s34  ,16,34,5.1727510999999997e-11,5.4412624e-07,5.4407451e-07,9.349248e-07,9.3493685e-07,-5.591405200000001e-06
1.25,0.0001,0.6679999999999999,s35  ,16,35,3.0293373e-10,3.0293373e-10,0.0,5.2050469e-10,0.0,0.0
1.25,0.0001,0.6679999999999999,fe54 ,26,54,-3.3982417e-09,2.0428809000000002e-07,2.0768632999999998e-07,3.5101044e-07,3.5688784999999994e-07,-0.0072117373
1.25,0.0001,0.6679999999999999,fe55 ,26,55,8.005620099999999e-10,8.005620099999999e-10,0.0,1.375536e-09,0.0,0.0
1.25,0.0001,0.6679999999999999,fe56 ,26,56,-2.9760031000000003e-08,3.3755908999999995e-06,3.405351e-06,5.799984099999999e-06,5.8517503e-06,-0.0038589861
1.25,0.0001,0.6679999999999999,fe57 ,26,57,6.189011999999999e-09,8.935597900000001e-08,8.316696699999999e-08,1.5353261e-07,1.4291398e-07,0.031125932999999998
1.25,0.0001,0.6679999999999999,fe58 ,26,58,8.2146352e-09,1.8984224e-08,1.0769589e-08,3.2618942000000004e-08,1.8506446e-08,0.24614686
1.25,0.0001,0.6679999999999999,fe59 ,26,59,9.13002e-41,9.13002e-41,0.0,1.5687255999999997e-40,0.0,0.0
1.25,0.0001,0.6679999999999999,fe60 ,26,60,6.0132255e-10,6.0132255e-10,0.0,1.0332002e-09,0.0,0.0
1.25,0.0001,0.6679999999999999,fe61 ,26,61,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,co59 ,27,59,1.8803004e-09,1.1662191000000002e-08,9.7818909e-09,2.0038129000000002e-08,1.6809187e-08,0.076310493
1.25,0.0001,0.6679999999999999,co60 ,27,60,2.1131760999999997e-15,2.1131760999999997e-15,0.0,3.6308868e-15,0.0,0.0
1.25,0.0001,0.6679999999999999,co61 ,27,61,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0001,0.6679999999999999,ni58 ,28,58,-2.3641462e-09,1.4165285000000002e-07,1.4401699e-07,2.4338976000000004e-07,2.474786e-07,-0.0072353468
1.25,0.0001,0.6679999999999999,ni59 ,28,59,2.6009075e-11,2.6009075e-11,0.0,4.4689131e-11,0.0,0.0
1.25,0.0001,0.6679999999999999,ni60 ,28,60,1.2006431e-09,5.8238346e-08,5.7037703000000006e-08,1.0006588e-07,9.801350099999998e-08,0.0090001458
1.25,0.0001,0.6679999999999999,ni61 ,28,61,2.4354311e-08,2.6857653999999997e-08,2.503344e-09,4.6147170999999995e-08,4.3017425e-09,1.0305007
1.25,0.0001,0.6679999999999999,ni62 ,28,62,-5.5364615e-09,2.5502147e-09,8.0866762e-09,4.3818122e-09,1.3896131999999998e-08,-0.50124019
1.5,0.0001,0.6609999999999999,g    ,0,1,2.6394186e-08,2.6631967999999996e-08,2.3778179e-10,3.1742513e-08,2.8343647e-10,2.0491855
1.5,0.0001,0.6609999999999999,n    ,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,p    ,1,1,-0.058753908,0.58713746,0.64589137,0.69980627,0.76990402,-0.041458767
1.5,0.0001,0.6609999999999999,d    ,1,2,4.7256554999999996e-18,4.7256554999999996e-18,0.0,5.6324858e-18,0.0,0.0
1.5,0.0001,0.6609999999999999,he3  ,2,3,0.00016939414,0.00016939414,0.0,0.00020190005000000002,0.0,0.0
1.5,0.0001,0.6609999999999999,he4  ,2,4,0.046112388,0.23906603,0.19295365,0.28494164,0.23000120000000002,0.093025833
1.5,0.0001,0.6609999999999999,li7  ,3,7,-1.4092864e-09,1.5572733e-10,1.5650137e-09,1.8561065e-10,1.8655e-09,-1.0021924
1.5,0.0001,0.6609999999999999,be7  ,4,7,5.107938799999999e-13,5.107938799999999e-13,0.0,6.0881275e-13,0.0,0.0
1.5,0.0001,0.6609999999999999,b8   ,5,8,3.1391579999999996e-27,3.1391579999999996e-27,0.0,3.741547199999999e-27,0.0,0.0
1.5,0.0001,0.6609999999999999,c12  ,6,12,0.011603115,0.011615833,1.2718329000000001e-05,0.013844855,1.5160279e-05,2.9605813
1.5,0.0001,0.6609999999999999,c13  ,6,13,8.931266999999999e-07,1.0461935e-06,1.5306676e-07,1.2469529e-06,1.8245595e-07,0.83469206
1.5,0.0001,0.6609999999999999,c14  ,6,14,1.4827167e-09,1.4827167e-09,0.0,1.7672428e-09,0.0,0.0
1.5,0.0001,0.6609999999999999,n13  ,7,13,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,n14  ,7,14,3.9850747e-05,4.4484796999999996e-05,4.634050099999999e-06,5.3021212999999995e-05,5.523798799999999e-06,0.98221183
1.5,0.0001,0.6609999999999999,n15  ,7,15,2.2592836e-08,4.0893649e-08,1.8300813000000003e-08,4.874094000000001e-08,2.1814614e-08,0.34914637
1.5,0.0001,0.6609999999999999,o14  ,8,14,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,o15  ,8,15,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,o16  ,8,16,0.00027543955,0.00031568732999999997,4.0247782e-05,0.00037626619,4.7975448999999995e-05,0.89447618
1.5,0.0001,0.6609999999999999,o17  ,8,17,3.1524704e-07,3.3155254e-07,1.6305505e-08,3.9517586999999997e-07,1.94362e-08,1.308179
1.5,0.0001,0.6609999999999999,o18  ,8,18,-2.5829607000000004e-08,6.506918e-08,9.0898787e-08,7.755564e-08,1.0835156e-07,-0.14522177
1.5,0.0001,0.6609999999999999,o19  ,8,19,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,f17  ,9,17,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,f18  ,9,18,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,f19  ,9,19,1.2515054e-06,1.2532048e-06,1.6994055e-09,1.4936886999999999e-06,2.0256954e-09,2.867686
1.5,0.0001,0.6609999999999999,f20  ,9,20,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,ne19 ,10,19,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,ne20 ,10,20,4.231455900000001e-06,1.1025186e-05,6.7937299e-06,1.3140864999999999e-05,8.0981417e-06,0.21023859
1.5,0.0001,0.6609999999999999,ne21 ,10,21,1.7896339999999998e-07,1.9627964000000003e-07,1.7316246e-08,2.3394475e-07,2.0641006999999995e-08,1.0543824
1.5,0.0001,0.6609999999999999,ne22 ,10,22,0.0005385082900000001,0.0005390546299999999,5.4635666e-07,0.00064249657,6.512583499999999e-07,2.9941174999999998
1.5,0.0001,0.6609999999999999,ne23 ,10,23,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,na21 ,11,21,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,na22 ,11,22,1.6641301e-28,1.6641301e-28,0.0,1.9834685000000001e-28,0.0,0.0
1.5,0.0001,0.6609999999999999,na23 ,11,23,4.420040099999999e-06,4.5601632e-06,1.4012294e-07,5.4352363e-06,1.6702687e-07,1.5124321000000003
1.5,0.0001,0.6609999999999999,na24 ,11,24,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,mg23 ,12,23,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,mg24 ,12,24,4.907597e-07,2.6514713e-06,2.1607116e-06,3.1602758e-06,2.5755735e-06,0.08885106400000001
1.5,0.0001,0.6609999999999999,mg25 ,12,25,1.8299381e-06,2.1139051e-06,2.8396693e-07,2.5195532000000005e-06,3.3848925999999997e-07,0.87177861
1.5,0.0001,0.6609999999999999,mg26 ,12,26,1.7451263e-06,2.0708471e-06,3.2572083e-07,2.4682327e-06,3.8825999e-07,0.80326343
1.5,0.0001,0.6609999999999999,mg27 ,12,27,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,al25 ,13,25,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,al-6 ,13,26,1.6035923e-09,1.6035923e-09,0.0,1.9113138e-09,0.0,0.0
1.5,0.0001,0.6609999999999999,al*6 ,13,26,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,al27 ,13,27,4.0458161e-08,2.8412714e-07,2.4366898e-07,3.3864976e-07,2.9045401e-07,0.06667337599999999
1.5,0.0001,0.6609999999999999,al28 ,13,28,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,si27 ,14,27,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0001,0.6609999999999999,si28 ,14,28,2.1499544999999998e-08,2.7629007000000003e-06,2.7414012000000002e-06,3.2930880000000004e-06,3.2677567e-06,0.0033535925
1.5,0.0001,0.6609999999999999,si29 ,14,29,5.2830131e-09,1.4910351e-07,1.438205e-07,1.7771575e-07,1.7143438e-07,0.015627982
1.5,0.0001,0.6609999999999999,si30 ,14,30,1.6755607e-08,1.1550046999999999e-07,9.874486300000001e-08,1.3766444e-07,1.1770411e-07,0.068030149
1.5,0.0001,0.6609999999999999,si31 ,14,31,0.0,0.0,0.0,0.0,0.0,0.0
