 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
C13     6   13  1.8498E+00  3.0865E+00  4.3207E+00  1.8897E+00  6.1828E+00  8.7159E+00  1.6831E+00  1.1733E+02  1.4451E+02  1.3997E+00  1.8436E+02  1.8677E+02  4.2007E-05  6.8933E-05  9.7644E-05  5.7785E-06  2.1225E-05  3.1833E-05  3.5661E-07  3.6198E-05  4.6878E-05  2.8378E-08  5.3414E-06  5.8108E-06  1.8498E+00  1.8900E+00  1.6921E+00  1.4136E+00  4.2008E-05  5.7793E-06  3.5851E-07  2.8661E-08  2.8494E-05  5.3052E-06  5.3052E-07  5.3052E-08
N14     7   14  5.1719E+00  6.9238E+00  9.3272E+00  1.0436E+01  6.1321E+01  4.4795E+01  9.8442E+00  4.4073E+02  3.5033E+02  1.1069E+01  2.6840E+03  4.6696E+03  2.8656E-03  3.7727E-03  5.1428E-03  4.1814E-04  2.7582E-03  2.1436E-03  2.7328E-05  1.7815E-03  1.4890E-03  2.9404E-06  1.0189E-03  1.9035E-03  5.1720E+00  1.0439E+01  9.8776E+00  1.1272E+01  2.8656E-03  4.1826E-04  2.7422E-05  2.9945E-06  6.9520E-04  6.9511E-05  6.9511E-06  6.9511E-07
N15     7   15  3.5597E-01  3.5319E-01  5.6918E-01  5.7148E-01  6.1004E+02  3.7747E+02  6.2381E-01  2.2211E+03  1.1196E+03  4.8311E+00  1.5787E+04  1.2739E+04  4.8501E-07  4.7327E-07  7.7176E-07  5.6306E-08  6.7479E-05  4.4420E-05  4.2587E-09  2.2078E-05  1.1702E-05  3.1559E-09  1.4737E-05  1.2771E-05  3.5597E-01  6.0788E-01  7.9579E-01  6.0307E+00  4.8501E-07  5.9893E-08  5.4329E-09  3.9396E-09  1.7096E-06  1.7094E-07  1.7094E-08  1.7094E-09
O16     8   16  5.9485E+00  1.2814E+01  1.3418E+01  2.5571E+01  5.0356E+01  4.8195E+01  3.1988E+02  5.2041E+02  5.7405E+02  3.7999E+03  5.8047E+03  5.6549E+03  2.7285E-02  5.7802E-02  6.1248E-02  3.0093E-02  6.6533E-02  6.7745E-02  2.6084E-02  6.1790E-02  7.1668E-02  2.9650E-02  6.4724E-02  6.7711E-02  5.9488E+00  2.5572E+01  3.1990E+02  3.8000E+03  2.7286E-02  3.0095E-02  2.6086E-02  2.9652E-02  5.7553E-03  2.0418E-03  2.0418E-04  2.0418E-05
O17     8   17  9.4903E-01  1.0380E+00  1.4775E+00  1.3209E+00  2.2231E+01  2.1475E+01  5.5520E+00  2.2904E+02  9.2967E+01  9.4509E+00  1.3812E+03  1.3471E+03  1.7571E-06  1.8900E-06  2.7223E-06  6.2747E-07  1.1856E-05  1.2185E-05  1.8274E-07  1.0977E-05  4.6849E-06  2.9766E-08  6.2163E-06  6.5110E-06  9.4903E-01  1.3222E+00  5.5693E+00  9.5551E+00  1.7571E-06  6.2807E-07  1.8331E-07  3.0095E-08  2.3231E-06  8.2416E-07  8.2416E-08  8.2416E-09
O18     8   18  1.0292E+01  6.2541E-01  1.4137E+00  8.7652E+00  3.6243E+02  5.1690E+02  1.1794E+01  2.2235E+03  4.3862E+03  8.5224E+00  2.2045E+04  3.4250E+04  1.0647E-04  6.3627E-06  1.4554E-05  2.3265E-05  1.0800E-03  1.6387E-03  2.1691E-06  5.9542E-04  1.2351E-03  1.4998E-07  5.5438E-04  9.2493E-04  1.0292E+01  8.7864E+00  1.1966E+01  1.0197E+01  1.0646E-04  2.3321E-05  2.2007E-06  1.7946E-07  1.2980E-05  4.6050E-06  4.6050E-07  4.6050E-08
F19     9   19  5.7920E-01  1.6084E+01  9.2792E+00  9.0660E-01  1.8858E+02  2.1454E+02  7.8479E-01  1.0254E+03  1.7476E+03  1.4740E+00  7.7273E+04  1.6119E+04  2.3443E-07  6.4024E-06  3.7375E-06  2.6534E-08  6.1963E-06  7.4998E-06  1.5915E-09  3.0277E-06  5.4260E-06  2.8604E-10  2.1428E-05  4.8000E-06  5.8001E-01  9.1781E-01  8.6415E-01  7.3476E+00  2.3476E-07  2.6862E-08  1.7525E-09  1.4258E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
Ne20   10   20  8.9769E+00  3.7954E+00  4.6976E+00  9.6908E+01  6.3286E+01  5.3687E+01  1.5661E+03  5.1388E+02  6.8621E+02  1.5789E+04  5.3021E+03  6.6355E+03  8.3327E-03  3.4648E-03  4.3394E-03  6.5050E-03  4.7693E-03  4.3043E-03  7.2841E-03  3.4802E-03  4.8865E-03  7.0271E-03  3.3721E-03  4.5319E-03  8.9766E+00  9.6906E+01  1.5660E+03  1.5788E+04  8.3325E-03  6.5049E-03  7.2839E-03  7.0269E-03  1.1647E-03  1.1646E-04  1.1646E-05  1.1646E-06
Ne21   10   21  4.0007E+00  6.2710E+00  7.0368E+00  2.7345E+01  6.5808E+01  1.1595E+02  1.6160E+02  6.5772E+02  1.7296E+03  1.1907E+03  9.3974E+03  1.3409E+04  9.3477E-06  1.4410E-05  1.6362E-05  4.6201E-06  1.2483E-05  2.3399E-05  1.8919E-06  1.1211E-05  3.1001E-05  1.3338E-06  1.5043E-05  2.3051E-05  4.0008E+00  2.7347E+01  1.6164E+02  1.1913E+03  9.3479E-06  4.6205E-06  1.8924E-06  1.3345E-06  2.9317E-06  2.9313E-07  2.9313E-08  2.9313E-09
Ne22   10   22  8.8127E+00  1.5137E+01  2.6154E+01  3.1603E+01  1.8676E+02  4.1001E+02  4.7370E+01  1.0044E+03  4.5358E+03  5.4289E+01  2.2545E+04  2.7840E+04  6.6167E-04  1.1177E-03  1.9541E-03  1.7158E-04  1.1384E-03  2.6587E-03  1.7820E-05  5.5015E-04  2.6124E-03  1.9542E-06  1.1597E-03  1.5379E-03  8.8131E+00  3.1612E+01  4.7444E+01  5.5999E+01  6.6170E-04  1.7163E-04  1.7848E-05  2.0158E-06  9.4207E-05  9.4194E-06  9.4194E-07  9.4194E-08
Na23   11   23  9.0938E+00  5.7466E+00  7.8614E+00  3.8514E+01  2.5910E+01  4.4198E+01  3.4458E+02  9.8677E+01  2.9804E+02  3.0933E+03  9.1749E+02  2.6990E+03  2.1325E-04  1.3253E-04  1.8346E-04  6.5309E-05  4.9326E-05  8.9517E-05  4.0486E-05  1.6882E-05  5.3615E-05  3.4778E-05  1.4741E-05  4.6566E-05  9.0936E+00  3.8513E+01  3.4456E+02  3.0932E+03  2.1325E-04  6.5308E-05  4.0485E-05  3.4777E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
Mg24   12   24  4.3521E+00  2.5546E+00  2.7755E+00  2.6858E+01  2.0719E+01  1.2810E+01  3.9389E+02  1.9259E+02  1.5377E+02  3.7797E+03  1.9369E+03  1.7660E+03  1.9271E-03  1.1125E-03  1.2230E-03  1.5293E-03  1.3245E-03  8.7118E-04  1.5540E-03  1.1064E-03  9.2883E-04  1.4269E-03  1.0449E-03  1.0231E-03  4.3520E+00  2.6858E+01  3.9388E+02  3.7796E+03  1.9271E-03  1.5293E-03  1.5540E-03  1.4269E-03  5.5560E-04  9.8788E-05  9.8788E-06  9.8788E-07
Mg25   12   25  4.0837E+00  5.4544E+00  6.0443E+00  8.6534E+00  1.3308E+01  4.0362E+01  3.2043E+01  6.8703E+01  6.2936E+02  2.0142E+02  8.8976E+02  1.7560E+03  2.3846E-04  3.1324E-04  3.5124E-04  6.4980E-05  1.1219E-04  3.6200E-04  1.6672E-05  5.2049E-05  5.0135E-04  1.0028E-05  6.3303E-05  1.3416E-04  4.0838E+00  8.6537E+00  3.2046E+01  2.0147E+02  2.3847E-04  6.4982E-05  1.6674E-05  1.0031E-05  7.3269E-05  1.3028E-05  1.3028E-06  1.3028E-07
Mg26   12   26  3.9232E+00  4.7017E+00  6.1512E+00  8.8499E+00  1.2980E+01  6.6237E+01  4.5344E+01  5.7990E+01  9.3207E+02  3.0669E+02  6.0007E+02  2.3449E+03  2.6232E-04  3.0917E-04  4.0930E-04  7.6091E-05  1.2529E-04  6.8021E-04  2.7013E-05  5.0303E-05  8.5014E-04  1.7483E-05  4.8882E-05  2.0513E-04  3.9232E+00  8.8501E+00  4.5345E+01  3.0671E+02  2.6232E-04  7.6093E-05  2.7015E-05  1.7485E-05  8.3896E-05  1.4917E-05  1.4917E-06  1.4917E-07
Al27   13   27  5.3600E+00  3.2957E+00  4.0900E+00  3.3526E+01  3.2742E+01  3.0364E+01  2.6113E+02  1.8626E+02  2.5778E+02  1.9021E+03  1.2616E+03  2.5690E+03  2.3931E-04  1.4471E-04  1.8172E-04  1.0824E-04  1.1868E-04  1.1709E-04  5.8415E-05  6.0670E-05  8.8287E-05  4.0714E-05  3.8590E-05  8.4388E-05  5.3599E+00  3.3526E+01  2.6113E+02  1.9020E+03  2.3930E-04  1.0824E-04  5.8415E-05  4.0714E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
Si28   14   28  7.0953E+00  1.4057E+01  1.6375E+01  4.6727E+01  6.8859E+01  9.2710E+01  5.0111E+02  7.6432E+02  1.0832E+03  6.0635E+03  7.6976E+03  7.3921E+03  3.4788E-03  6.7780E-03  7.9897E-03  4.2583E-03  7.0451E-03  1.0091E-02  3.1643E-03  7.0274E-03  1.0472E-02  3.6637E-03  6.6464E-03  6.8541E-03  7.0956E+00  4.6728E+01  5.0113E+02  6.0636E+03  3.4789E-03  4.2585E-03  3.1645E-03  3.6639E-03  6.1519E-04  1.5811E-04  1.5811E-05  1.5811E-06
Si29   14   29  3.9375E+00  5.0620E+00  6.8439E+00  8.2504E+00  1.1320E+01  2.1687E+01  4.7652E+01  6.2872E+01  1.4758E+02  3.2351E+02  3.9942E+02  1.6043E+03  1.0153E-04  1.2836E-04  1.7561E-04  3.9541E-05  6.0909E-05  1.2414E-04  1.5824E-05  3.0400E-05  7.5033E-05  1.0280E-05  1.8137E-05  7.8230E-05  3.9375E+00  8.2505E+00  4.7653E+01  3.2351E+02  1.0153E-04  3.9542E-05  1.5825E-05  1.0280E-05  3.2353E-05  8.3150E-06  8.3150E-07  8.3150E-08
Si30   14   30  6.9503E+00  9.7728E+00  1.4487E+01  1.5004E+01  2.3177E+01  4.4414E+01  7.9112E+01  1.0504E+02  2.3947E+02  4.1409E+02  4.8630E+02  3.3289E+03  1.2221E-04  1.6900E-04  2.5350E-04  4.9038E-05  8.5043E-05  1.7337E-04  1.7915E-05  3.4634E-05  8.3029E-05  8.9730E-06  1.5059E-05  1.1069E-04  6.9505E+00  1.5005E+01  7.9114E+01  4.1410E+02  1.2222E-04  4.9040E-05  1.7916E-05  8.9734E-06  2.2063E-05  5.6703E-06  5.6703E-07  5.6703E-08
