 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
C13     6   13  1.5762E+00  2.6496E+00  3.7371E+00  1.4477E+00  5.3484E+00  7.1951E+00  1.4171E+00  8.8917E+01  1.1576E+02  1.6110E+00  2.8712E+02  5.6560E+02  4.2089E-05  6.9019E-05  9.7772E-05  7.0906E-06  2.5405E-05  3.4105E-05  6.9940E-07  3.9775E-05  5.3948E-05  7.9205E-08  1.3521E-05  2.6915E-05  1.5762E+00  1.4479E+00  1.4213E+00  1.6256E+00  4.2090E-05  7.0916E-06  7.0148E-07  7.9920E-08  2.8494E-05  5.3052E-06  5.3052E-07  5.3052E-08
N14     7   14  4.4291E+00  5.9396E+00  8.0597E+00  1.0728E+01  4.7329E+01  3.6385E+01  1.2133E+01  3.1575E+02  2.5642E+02  1.2624E+01  2.0631E+03  3.8331E+03  2.8856E-03  3.7749E-03  5.1446E-03  6.8847E-04  2.9456E-03  2.2597E-03  7.8457E-05  1.8506E-03  1.5658E-03  8.1317E-06  1.2729E-03  2.3899E-03  4.4292E+00  1.0730E+01  1.2147E+01  1.2728E+01  2.8857E-03  6.8859E-04  7.8551E-05  8.1990E-06  6.9520E-04  6.9511E-05  6.9511E-06  6.9511E-07
N15     7   15  3.2848E-01  3.0377E-01  4.9265E-01  6.6553E-01  4.4116E+02  2.9370E+02  7.2367E-01  1.5463E+03  7.8751E+02  5.6687E+00  9.9659E+03  8.8602E+03  5.2628E-07  4.7475E-07  7.7331E-07  1.0503E-07  6.7520E-05  4.4857E-05  1.1508E-08  2.2287E-05  1.1826E-05  8.9798E-09  1.5121E-05  1.3585E-05  3.2848E-01  6.8825E-01  7.9819E-01  6.1762E+00  5.2628E-07  1.0862E-07  1.2693E-08  9.7837E-09  1.7096E-06  1.7094E-07  1.7094E-08  1.7094E-09
O16     8   16  1.9180E+01  2.8453E+01  2.6490E+01  7.2326E+01  1.1158E+02  1.1453E+02  7.2535E+02  1.2519E+03  1.4759E+03  8.0575E+03  1.4963E+04  1.5574E+04  1.0345E-01  1.4970E-01  1.3998E-01  1.3634E-01  2.0398E-01  2.0893E-01  1.3778E-01  2.1552E-01  2.6474E-01  1.5246E-01  2.7119E-01  2.8523E-01  1.9181E+01  7.2328E+01  7.2537E+02  8.0578E+03  1.0345E-01  1.3634E-01  1.3778E-01  1.5247E-01  5.7553E-03  2.0418E-03  2.0418E-04  2.0418E-05
O17     8   17  9.3182E-01  9.8549E-01  1.3689E+00  1.1092E+00  1.6581E+01  1.7223E+01  3.6057E+00  1.6110E+02  7.2129E+01  9.1905E+00  9.4744E+02  1.1758E+03  2.0287E-06  2.0929E-06  2.9200E-06  8.4399E-07  1.2236E-05  1.2682E-05  2.7645E-07  1.1195E-05  5.2222E-06  7.0193E-08  6.9309E-06  8.6917E-06  9.3182E-01  1.1100E+00  3.6133E+00  9.2383E+00  2.0287E-06  8.4459E-07  2.7703E-07  7.0558E-08  2.3231E-06  8.2416E-07  8.2416E-08  8.2416E-09
O18     8   18  8.8792E+00  5.3882E-01  1.2229E+00  5.7887E+00  2.6196E+02  3.9853E+02  5.4285E+00  1.5382E+03  3.0564E+03  3.7905E+00  1.3663E+04  2.2703E+04  1.0801E-04  6.3937E-06  1.4574E-05  2.4610E-05  1.0801E-03  1.6397E-03  2.3256E-06  5.9727E-04  1.2365E-03  1.6176E-07  5.5848E-04  9.3775E-04  8.8788E+00  5.8019E+00  5.5024E+00  4.4865E+00  1.0800E-04  2.4666E-05  2.3572E-06  1.9146E-07  1.2980E-05  4.6050E-06  4.6050E-07  4.6050E-08
F19     9   19  9.4258E-01  1.3870E+01  8.0749E+00  6.5281E+00  1.6009E+02  3.8944E+02  7.4398E+00  1.3477E+03  1.8327E+03  1.0795E+01  6.5779E+04  4.0619E+04  4.4860E-07  6.4394E-06  3.7653E-06  3.0603E-07  7.2784E-06  1.7668E-05  3.5144E-08  5.7701E-06  8.1754E-06  5.0796E-09  2.9648E-05  1.8500E-05  9.4325E-01  6.5360E+00  7.5044E+00  1.4146E+01  4.4892E-07  3.0640E-07  3.5449E-08  6.6564E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
Ne20   10   20  1.7646E+01  1.5969E+01  1.5571E+01  1.5783E+02  1.8267E+02  1.9224E+02  1.6528E+03  2.0651E+03  2.3919E+03  1.6185E+04  2.4137E+04  2.1193E+04  1.9261E-02  1.7003E-02  1.6651E-02  1.6970E-02  1.9048E-02  2.0003E-02  1.7906E-02  2.0278E-02  2.4471E-02  1.7468E-02  2.4951E-02  2.2138E-02  1.7646E+01  1.5783E+02  1.6528E+03  1.6186E+04  1.9261E-02  1.6970E-02  1.7906E-02  1.7468E-02  1.1647E-03  1.1646E-04  1.1646E-05  1.1646E-06
Ne21   10   21  1.0007E+01  1.3315E+01  1.3497E+01  6.0635E+01  1.3129E+02  1.9025E+02  2.7671E+02  1.2083E+03  2.3527E+03  1.3762E+03  1.3524E+04  3.0819E+04  2.7495E-05  3.5686E-05  3.6331E-05  1.6409E-05  3.4457E-05  4.9826E-05  7.5458E-06  2.9864E-05  6.0583E-05  3.7383E-06  3.5188E-05  8.1032E-05  1.0008E+01  6.0639E+01  2.7676E+02  1.3768E+03  2.7495E-05  1.6410E-05  7.5470E-06  3.7400E-06  2.9317E-06  2.9313E-07  2.9313E-08  2.9313E-09
Ne22   10   22  1.2863E+01  1.6343E+01  2.6167E+01  4.6435E+01  1.5423E+02  4.0472E+02  4.8544E+01  9.2210E+02  3.3292E+03  5.5268E+01  1.6659E+04  2.5060E+04  1.1357E-03  1.4075E-03  2.2634E-03  4.0381E-04  1.3007E-03  3.4061E-03  4.2537E-05  7.3235E-04  2.7549E-03  4.8244E-06  1.3929E-03  2.1172E-03  1.2864E+01  4.6440E+01  4.8586E+01  5.6114E+01  1.1357E-03  4.0385E-04  4.2574E-05  4.8982E-06  9.4207E-05  9.4194E-06  9.4194E-07  9.4194E-08
