  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Cl37   17   37  1.6025E+00  2.1607E+00  2.5615E+00  3.7991E+00  4.1047E+00  5.0051E+00  4.7758E+00  4.8665E+00  4.0849E+00
Ar36   18   36  7.5692E+00  9.0247E+00  7.0016E+00  5.3919E+00  7.0584E+00  5.8986E+00  6.2153E+00  7.6133E+00  6.7907E+00
Ar38   18   38  5.3195E+00  8.2089E+00  6.2093E+00  8.9694E+00  1.4916E+01  1.2251E+01  1.3493E+01  1.5666E+01  1.0839E+01
Ar40   18   40  1.6713E+00  2.0708E+00  3.4204E+00  7.1270E+00  5.4020E+00  8.5613E+00  1.1599E+01  1.6802E+01  9.5675E+00
K39    19   39  2.0641E+00  2.7780E+00  2.4054E+00  3.1427E+00  4.1461E+00  3.8641E+00  4.1067E+00  4.4898E+00  3.6277E+00
K40    19   40  4.7877E+00  9.8211E+00  1.6401E+01  2.2467E+01  2.6805E+01  3.9712E+01  3.3049E+01  3.9916E+01  3.9971E+01
K41    19   41  2.4541E+00  3.6088E+00  4.1217E+00  4.6347E+00  5.4034E+00  7.1789E+00  6.6593E+00  6.8970E+00  6.5796E+00
Ca40   20   40  6.1910E+00  6.9696E+00  5.5698E+00  3.8212E+00  4.1886E+00  3.9532E+00  4.0030E+00  5.0746E+00  4.9975E+00
Ca42   20   42  4.1798E+00  6.5828E+00  6.3668E+00  9.8210E+00  1.3347E+01  1.3939E+01  1.5071E+01  1.5142E+01  1.1168E+01
Ca43   20   43  1.6299E+00  2.3120E+00  4.3267E+00  7.1590E+00  6.4633E+00  9.4933E+00  8.8597E+00  7.7079E+00  5.8561E+00
Ca44   20   44  2.6048E+00  2.1575E+00  2.3991E+00  3.3852E+00  2.7242E+00  3.6308E+00  3.2820E+00  3.3201E+00  2.7011E+00
Ca46   20   46  3.3562E+00  2.6870E+00  5.8382E+00  2.5053E+01  6.2434E+01  6.2727E+01  8.8107E+01  1.6561E+02  1.2133E+02
Ca48   20   48  9.7064E-01  9.5639E-01  9.4983E-01  9.3972E-01  9.1883E-01  9.0970E-01  9.1713E-01  9.2454E-01  9.2904E-01
Sc45   21   45  1.9925E+00  2.6615E+00  5.2894E+00  1.0588E+01  1.4415E+01  1.9548E+01  1.9380E+01  2.1675E+01  1.5949E+01
Ti46   22   46  3.9273E+00  5.4745E+00  5.2410E+00  6.7386E+00  8.3325E+00  9.9510E+00  1.0250E+01  1.1019E+01  1.0016E+01
Ti47   22   47  1.3047E+00  1.3643E+00  1.6546E+00  2.2355E+00  2.4668E+00  3.3284E+00  3.0215E+00  3.3881E+00  3.0881E+00
Ti48   22   48  4.0177E+00  3.3510E+00  2.8626E+00  2.7283E+00  1.9640E+00  1.9180E+00  1.6620E+00  1.6097E+00  1.4694E+00
Ti49   22   49  3.0266E+00  3.4024E+00  3.3525E+00  3.4828E+00  3.9011E+00  5.6857E+00  5.2506E+00  6.3809E+00  5.9203E+00
Ti50   22   50  1.2184E+00  1.4995E+00  2.3306E+00  3.9760E+00  4.4261E+00  8.0377E+00  7.9970E+00  1.0439E+01  9.8259E+00
V50    23   50  4.7022E+00  9.7449E+00  1.5157E+01  2.0332E+01  4.3495E+01  4.9015E+01  4.9436E+01  6.1259E+01  6.3292E+01
V51    23   51  3.7000E+00  4.2183E+00  3.6106E+00  2.4251E+00  2.5114E+00  2.2827E+00  2.3585E+00  2.6595E+00  2.7156E+00
Cr50   24   50  5.7497E+00  7.6860E+00  6.9951E+00  4.0338E+00  4.3498E+00  3.9245E+00  4.2771E+00  4.9247E+00  4.7775E+00
Cr52   24   52  4.9502E+00  5.0249E+00  4.0966E+00  2.7588E+00  2.1974E+00  1.6383E+00  1.4869E+00  1.4489E+00  1.3254E+00
Cr53   24   53  4.9565E+00  5.5919E+00  4.5380E+00  2.7593E+00  2.2546E+00  1.6588E+00  1.6007E+00  1.6287E+00  1.4986E+00
Cr54   24   54  1.3078E+00  1.6916E+00  2.4123E+00  3.3413E+00  3.1047E+00  4.1987E+00  3.8658E+00  3.6827E+00  3.2200E+00
Mn55   25   55  4.0239E+00  4.6749E+00  3.9131E+00  2.2450E+00  1.8757E+00  1.3745E+00  1.3111E+00  1.4097E+00  1.3895E+00
Fe54   26   54  4.4897E+00  5.7148E+00  5.0498E+00  2.4860E+00  2.0661E+00  1.5988E+00  1.5911E+00  1.9625E+00  2.1860E+00
Fe56   26   56  6.0693E+00  5.3378E+00  4.1043E+00  3.3938E+00  3.0162E+00  2.3593E+00  1.8396E+00  1.5727E+00  1.3436E+00
Fe57   26   57  9.7749E+00  8.3006E+00  6.4748E+00  5.9517E+00  4.5322E+00  4.0584E+00  2.8512E+00  2.3207E+00  1.9367E+00
Fe58   26   58  2.8002E+00  5.4794E+00  9.5325E+00  1.3411E+01  1.1305E+01  1.6092E+01  1.4427E+01  1.0849E+01  8.8963E+00
Co59   27   59  5.2778E+00  5.6013E+00  7.1027E+00  1.0071E+01  8.0367E+00  9.3498E+00  8.2205E+00  6.3412E+00  4.7740E+00
Ni58   28   58  9.6934E+00  9.0121E+00  6.5818E+00  4.6794E+00  4.2485E+00  3.1044E+00  2.3902E+00  2.0439E+00  1.7223E+00
