# Corrected
# names=['KIC', 'Teff2', 'e_Teff2', '[M/H]2', 'e_[M/H]2', 'M2', 'E_M2', 'e_M2', 'R2', 'E_R2', 'e_R2', 'log.g2', 'E_log.g2', 'e_log.g2', 'rho2', 'E_rho2', 'e_rho2']
11289128 5035 112 -0.88 0.08     0.87     0.07     0.09     9.89     0.35     0.40     2.384     0.013     0.014     0.00090     0.00003     0.00003
11235816 4631  83  0.06 0.05     1.03     0.19     0.11    10.32     0.66     0.42     2.427     0.020     0.015     0.00094     0.00003     0.00003
11076453 4625  84  0.02 0.06     1.50     0.23     0.20    10.20     0.56     0.52     2.597     0.019     0.020     0.00141     0.00004     0.00004
11129480 4669  78  0.21 0.05     1.33     0.31     0.39    10.36     0.88     1.17     2.529     0.023     0.038     0.00119     0.00005     0.00005
11129945 4710  83  0.03 0.05     1.81     0.20     0.20    11.08     0.54     0.51     2.605     0.013     0.014     0.00132     0.00005     0.00005
11236571 4638  79  0.17 0.05     1.09     0.11     0.09     4.47     0.17     0.16     3.177     0.010     0.010     0.01227     0.00034     0.00034
11289990 4619  83  0.06 0.05     1.27     0.13     0.13    11.04     0.48     0.49     2.454     0.011     0.012     0.00094     0.00003     0.00003
11236536 4597  83  0.07 0.05     1.46     0.16     0.19    10.91     0.47     0.60     2.526     0.014     0.015     0.00113     0.00005     0.00004
11289822 4545  70  0.46 0.04     1.36     0.14     0.12     8.17     0.31     0.32     2.748     0.012     0.011     0.00250     0.00007     0.00007
11289675 4592 113 -0.83 0.08     1.07     0.17     0.14    11.87     0.77     0.69     2.318     0.014     0.013     0.00064     0.00003     0.00003
11236845 4602 103 -0.52 0.07     1.12     0.13     0.12     9.47     0.47     0.42     2.535     0.011     0.011     0.00132     0.00005     0.00005
11289759 4601  82  0.09 0.05     1.27     0.29     0.25    11.59     0.93     0.86     2.415     0.026     0.027     0.00082     0.00003     0.00003
11395816 4799  92 -0.24 0.06     1.06     0.10     0.08    10.57     0.40     0.36     2.416     0.011     0.009     0.00090     0.00003     0.00003
11342804 4601  90 -0.15 0.06     1.24     0.16     0.15     8.35     0.39     0.39     2.687     0.015     0.017     0.00213     0.00006     0.00006
10651578 4717  92 -0.23 0.06     0.99     0.11     0.10    10.22     0.46     0.40     2.415     0.011     0.011     0.00093     0.00003     0.00003
10651320 4800 106 -0.66 0.07     0.82     0.07     0.05     9.72     0.32     0.27     2.382     0.011     0.011     0.00090     0.00003     0.00003
10651398 4894 107 -0.70 0.08     0.83     0.11     0.07    10.43     0.43     0.34     2.327     0.015     0.013     0.00074     0.00002     0.00002
10847321 4576  78  0.20 0.05     1.33     0.17     0.16     8.29     0.38     0.39     2.724     0.016     0.017     0.00234     0.00007     0.00007
10907410 4539  68  0.53 0.04     1.51     0.17     0.16     8.23     0.35     0.33     2.783     0.011     0.010     0.00270     0.00009     0.00008
11018922 4854  96 -0.38 0.07     1.07     0.11     0.10    10.45     0.45     0.41     2.428     0.011     0.011     0.00093     0.00003     0.00003
11018745 4544  69  0.49 0.04     1.33     0.17     0.21    11.50     0.67     0.71     2.433     0.014     0.020     0.00086     0.00004     0.00004
10848618 4654  87 -0.07 0.06     1.06     0.13     0.11    10.58     0.54     0.47     2.416     0.012     0.011     0.00090     0.00004     0.00004
