11289128 J19095233+4901406 287.468 49.028 79.732 17.301  5098   107  4931   101  4.08 0.09  29.13  0.80 PUBLIC
11235816 J19092743+4858016 287.364 48.967 79.647 17.342  4824    97  4607    89  4.15 0.10  33.93  1.64 PUBLIC
11076453 J19110088+4839408 287.754 48.661 79.449 16.990  4806    92  4607    85  5.07 0.10  50.92  2.15 PUBLIC
11129480 J19104442+4843472 287.685 48.730 79.498 17.058  4903    93  4710    86  4.67 0.10  42.59  1.85 PUBLIC
11129945 J19115842+4845466 287.993 48.763 79.610 16.882  5000   110  4772   100  4.91 0.12  51.03  1.51 PUBLIC
11236571 J19112340+4859012 287.848 48.984 79.786 17.054  4791   102  4618    95 14.86 0.29 191.54  3.87 PUBLIC
11289990 J19120935+4902205 288.039 49.039 79.889 16.958  4913   103  4696    95  4.14 0.10  36.40  0.91 PUBLIC
11236536 J19111866+4854599 287.828 48.917 79.716 17.041  4746    88  4607    84  4.53 0.13  43.12  1.32 KASC
11289822 J19114558+4900317 287.940 49.009 79.834 17.007  4779   103  4637    98  6.75 0.13  72.40  1.70 PUBLIC
11289675 J19111959+4901348 287.832 49.026 79.823 17.079  4875   105  4662    96  3.38 0.13  26.31  0.66 PUBLIC
11236845 J19120082+4855562 288.003 48.932 79.776 16.939  4844   106  4621    97  4.88 0.12  43.45  0.95 PUBLIC
11289759 J19113447+4905595 287.894 49.100 79.911 17.069  4983   103  4745    94  3.86 0.11  33.45  1.93 PUBLIC
11395816 J19120040+4915550 288.002 49.265 80.099 17.066  4869   102  4688    95  4.05 0.08  32.75  0.78 PUBLIC
11342804 J19111829+4911203 287.826 49.189 79.980 17.143  4833   103  4604    94  6.20 0.13  62.55  1.93 PUBLIC
10651578 J19010034+4755096 285.251 47.919 78.090 18.273  5024   100  4822    93  4.12 0.11  32.78  0.82 KASC,PUBLIC
10651320 J19002103+4754583 285.088 47.916 78.047 18.374  5150    90  4926    83  4.10 0.10  29.21  1.08 PUBLIC
10651398 J19003305+4755044 285.138 47.918 78.061 18.344  5068    90  4868    83  3.71 0.08  25.03  1.16 PUBLIC
10847321 J18593933+4814098 284.914 48.236 78.321 18.594  4859    83  4671    77  6.51 0.13  68.59  2.39 KASC,PUBLIC
10907410 J18591190+4822500 284.800 48.381 78.436 18.716  4701    75  4543    70  6.99 0.14  78.60  1.76 PUBLIC
11018922 J19032480+4832089 285.853 48.536 78.846 18.115  5154   111  4926   101  4.13 0.10  33.47  0.76 KASC,PUBLIC
11018745 J19030378+4832065 285.766 48.535 78.824 18.169  4635    93  4464    87  3.97 0.13  35.00  1.13 KASC,PUBLIC
