 # names = ['KIC', 'Teff', '[Fe/H]', 'log(g)', 'e_log(g)']
 1161618 4907 -0.112 2.426 0.010
 1432587 4693 -0.022 1.661 0.024
 1433593 5013 -0.141 2.741 0.014
 1433730 4829 -0.099 2.504 0.013
 1435573 4943 -0.113 2.324 0.012
 1720425 4794 -0.368 2.357 0.011
 1725552 4534 -0.328 1.786 0.024
 1726211 5147 -0.961 2.408 0.014
 1864183 4795 -0.334 2.632 0.010
 1864855 5009 -0.016 3.013 0.010
 1868101 4639 -0.237 2.399 0.014
 2013502 4973 -0.339 2.698 0.010
 2018392 4881 -0.134 2.429 0.012
 2142095 5022 -0.496 2.369 0.013
 2300503 4692 -0.057 2.047 0.017
 2303367 4811  0.199 2.429 0.011
 2305930 4978 -0.450 2.378 0.013
 2307683 4907 -0.427 2.510 0.011
 2309469 4813  0.021 2.352 0.011
 2424822 4992  0.115 2.879 0.010
 2424934 4986 -0.075 2.434 0.012
 2424955 4864  0.052 2.617 0.011
 2425631 4774 -0.819 2.215 0.014
 2444348 4800 -0.072 2.377 0.011
 2448225 4837 -0.027 2.452 0.011
 2449703 4833 -0.083 2.401 0.011
 2554924 4836  0.148 2.429 0.012
 2695975 4635 -0.100 1.931 0.020
 2696628 4572  0.029 1.901 0.015
 2696732 5084 -0.200 2.864 0.009
 2696955    0  0.000 2.941 0.018
 2714397 5132 -0.530 2.430 0.010
 2831788 4858 -0.105 2.638 0.013
 2988988 4959  0.021 2.488 0.011
 2995197 4578  0.009 1.905 0.019
 3098045 5041 -0.155 2.446 0.010
 3098716 5175 -0.169 2.407 0.011
 3100193 4577  0.122 2.371 0.012
 3101090 4937 -0.226 2.409 0.012
 3110460 4678 -0.166 1.802 0.027
 3114408 4804 -0.038 2.375 0.012
 3120486 5062  0.147 3.051 0.010
 3120585 5048 -0.069 2.925 0.011
 3121940 4916 -0.268 2.348 0.012
 3217051 4793  0.215 2.457 0.011
 3231503 4904 -0.020 2.532 0.012
 3323943 4978 -0.380 2.419 0.010
 3326790 4907 -0.090 2.319 0.011
 3339894 4983 -0.008 2.387 0.013
 3346501 4657  0.006 2.211 0.014
 3425476 4954 -0.063 2.507 0.012
 3426898 5058 -0.610 2.717 0.010
 3443483 5104  0.119 3.034 0.010
 3444374 4855  0.038 2.653 0.011
 3526061 4949 -0.074 3.008 0.007
 3528656 4834 -0.250 2.226 0.014
 3529276 4940 -0.335 2.661 0.012
 3530520 4772  0.412 2.434 0.013
 3531478 5161 -0.566 3.294 0.009
 3631092 5144  0.019 3.193 0.009
 3631402 4942 -0.363 2.577 0.012
 3642038 4907 -0.302 2.512 0.012
 3645232 4797 -0.171 1.822 0.018
 3729799 4879 -0.412 2.477 0.012
 3730953 5143 -0.327 2.595 0.011
 3744043 5182 -0.093 2.956 0.009
 3747777 4820  0.152 2.530 0.012
 3747860 4952 -0.148 2.471 0.011
 3748585 4818  0.373 2.553 0.011
 3748691 4936  0.473 2.497 0.011
 3835996 4915 -0.309 2.564 0.012
 3839310 4738 -0.384 2.023 0.016
 3842486 4617  0.337 1.981 0.017
 3847071 4938 -0.032 2.692 0.011
 3847697 4868 -0.027 2.561 0.010
 3849996 5127 -0.151 2.361 0.011
 3854605 4816  0.264 2.475 0.012
 3935987 4533  0.043 2.190 0.012
 3936921 4719 -0.059 2.322 0.013
 3941538 4777  0.490 2.302 0.017
 3946389 4682 -0.096 2.266 0.014
 3955590 4673  0.518 2.208 0.015
 4036007 4993 -0.412 2.495 0.010
 4039306 4955 -0.100 2.434 0.011
 4042951 4991 -0.412 2.415 0.012
 4044238    0  0.000 2.442 0.019
 4056266 5157 -0.157 2.861 0.010
 4057076 4973 -0.702 2.533 0.010
 4057744 4793 -0.055 2.314 0.012
 4140726 4790 -0.202 2.606 0.012
 4157282 4699 -0.782 2.065 0.015
 4243796 4789 -0.280 2.482 0.011
 4249128 4787 -0.218 2.524 0.011
 4249357 4859 -0.482 2.580 0.012
 4262505 5132 -0.562 2.856 0.009
 4345370 5051 -0.475 2.407 0.010
 4350501 4863  0.002 3.025 0.007
 4365609 5151 -0.594 2.441 0.012
 4445711 5004 -0.602 2.460 0.014
 4446181 4950 -0.294 2.382 0.016
 4448636 4754  0.326 2.423 0.011
 4448777 5007  0.116 3.251 0.008
 4456739 4812  0.108 2.470 0.011
 4457200 4873 -0.023 2.540 0.012
 4457395 4991 -0.088 2.431 0.010
 4489185 5066 -0.376 2.886 0.009
 4545474 4715  0.407 2.455 0.013
 4546625 4734  0.157 2.431 0.012
 4548564 4791 -0.158 2.641 0.011
 4553892 4950 -0.129 2.544 0.013
 4555456 4650 -0.049 1.805 0.019
 4636731 4749 -0.048 2.262 0.012
 4638317 4789 -0.191 2.342 0.013
 4640537 4728  0.277 2.425 0.010
 4644949 5037 -0.189 2.690 0.010
 4645692 4939 -0.591 2.459 0.011
 4646245 4845  0.412 2.546 0.010
 4736611 5083 -0.485 2.868 0.010
 4738255 5018 -0.391 2.082 0.015
 4738610 4673  0.090 1.840 0.025
 4739728 4946 -0.099 2.373 0.012
 4743924 5099  0.080 2.921 0.009
 4770846 4983 -0.129 2.663 0.009
 4771707 4453 -0.356 1.673 0.019
 4773539 5026 -0.176 2.537 0.012
 4818830 5054 -0.163 2.525 0.013
 4821839 4615 -0.101 2.189 0.012
 4828670 4850  0.162 2.541 0.013
 4857853 4709  0.221 2.395 0.011
 4908025 4273 -0.193 1.766 0.018
 4920044 4674 -0.400 1.881 0.018
 4946220 4297 -0.159 2.223 0.016
 4949422 4962  0.130 2.591 0.011
 4950323 4912  0.134 2.651 0.010
 4995218 4692 -0.055 2.029 0.019
 5000307 5209 -0.353 2.542 0.010
 5002776 4771 -0.523 2.367 0.016
 5005217 4900  0.494 2.518 0.012
 5006817 5033  0.288 3.067 0.009
 5008996 4951 -0.154 2.383 0.011
 5009393 4920  0.262 2.415 0.011
 5032140 4854  0.005 2.558 0.010
 5034571 4771  0.231 2.675 0.013
