isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
si30,30,14,3.4737724700000006e-08,0.72,0.0001,0.28,1.240633025e-07
si31,31,14,0.0,0.72,0.0001,0.28,0.0
si32,32,14,5.740049e-16,0.72,0.0001,0.28,2.0500174999999998e-15
si33,33,14,0.0,0.72,0.0001,0.28,0.0
p29,29,15,0.0,0.72,0.0001,0.28,0.0
p30,30,15,0.0,0.72,0.0001,0.28,0.0
p31,31,15,1.389712858e-08,0.72,0.0001,0.28,4.9632602071428565e-08
p32,32,15,1.4653249e-19,0.72,0.0001,0.28,5.233303214285713e-19
p33,33,15,0.0,0.72,0.0001,0.28,0.0
p34,34,15,0.0,0.72,0.0001,0.28,0.0
s32,32,16,5.5414075908e-07,0.72,0.0001,0.28,1.9790741395714285e-06
s33,33,16,4.526151978e-09,0.72,0.0001,0.28,1.6164828492857143e-08
s34,34,16,2.61877360196e-07,0.72,0.0001,0.28,9.352762864142856e-07
s35,35,16,1.8549981e-10,0.72,0.0001,0.28,6.624993214285714e-10
fe54,54,26,9.955642282e-08,0.72,0.0001,0.28,3.555586529285714e-07
fe55,55,26,1.2895956e-12,0.72,0.0001,0.28,4.605698571428571e-12
fe56,56,26,1.6329494423e-06,0.72,0.0001,0.28,5.8319622939285714e-06
fe57,57,26,4.001339197330001e-08,0.72,0.0001,0.28,1.4290497133321429e-07
fe58,58,26,5.8091839200000005e-09,0.72,0.0001,0.28,2.0747085428571428e-08
fe59,59,26,0.0,0.72,0.0001,0.28,0.0
fe60,60,26,8.4110517e-11,0.72,0.0001,0.28,3.0039470357142853e-10
fe61,61,26,0.0,0.72,0.0001,0.28,0.0
co59,59,27,4.890080680000001e-09,0.72,0.0001,0.28,1.746457385714286e-08
co60,60,27,2.9558207000000003e-16,0.72,0.0001,0.28,1.05565025e-15
co61,61,27,0.0,0.72,0.0001,0.28,0.0
ni58,58,28,6.903513597e-08,0.72,0.0001,0.28,2.4655405703571424e-07
ni59,59,28,0.0,0.72,0.0001,0.28,0.0
ni60,60,28,2.7546535420000002e-08,0.72,0.0001,0.28,9.838048364285714e-08
ni61,61,28,9.1517228e-09,0.72,0.0001,0.28,3.268472428571429e-08
ni62,62,28,1.6400427600000004e-09,0.72,0.0001,0.28,5.857295571428572e-09
g,1,0,5.046508525540001e-09,0.668,0.0001,0.582,8.670976848006874e-09
n,1,0,0.0,0.668,0.0001,0.582,0.0
p,1,1,0.41820066563999997,0.668,0.0001,0.582,0.718557844742268
d,2,1,2.7917968e-18,0.668,0.0001,0.582,4.7969017182130584e-18
he3,3,2,0.00013304637,0.668,0.0001,0.582,0.0002286020103092784
he4,4,2,0.1597032604,0.668,0.0001,0.582,0.2744042274914089
li7,7,3,1.3362636999999984e-10,0.668,0.0001,0.582,2.2959857388316126e-10
be7,7,4,5.6262053e-13,0.668,0.0001,0.582,9.66701941580756e-13
b8,8,5,1.4793269999999998e-26,0.668,0.0001,0.582,2.541798969072165e-26
c12,12,6,0.003733254882378,0.668,0.0001,0.582,0.006414527289309279
c13,13,6,5.899129829000001e-07,0.668,0.0001,0.582,1.0135961905498284e-06
c14,14,6,2.7769462e-10,0.668,0.0001,0.582,4.771385223367698e-10
n13,13,7,0.0,0.668,0.0001,0.582,0.0
n14,14,7,2.2999521901600002e-05,0.668,0.0001,0.582,3.951807886872853e-05
n15,15,7,1.4236567348e-08,0.668,0.0001,0.582,2.4461455924398626e-08
o14,14,8,0.0,0.668,0.0001,0.582,0.0
o15,15,8,0.0,0.668,0.0001,0.582,0.0
o16,16,8,0.00012328888831799999,0.668,0.0001,0.582,0.00021183657786597937
o17,17,8,8.76413464e-08,0.668,0.0001,0.582,1.5058650584192441e-07
o18,18,8,4.7671303919999996e-08,0.668,0.0001,0.582,8.19094569072165e-08
o19,19,8,0.0,0.668,0.0001,0.582,0.0
f17,17,9,0.0,0.668,0.0001,0.582,0.0
f18,18,9,0.0,0.668,0.0001,0.582,0.0
f19,19,9,1.599629047228e-07,0.668,0.0001,0.582,2.7485035175738833e-07
f20,20,9,0.0,0.668,0.0001,0.582,0.0
ne19,19,10,0.0,0.668,0.0001,0.582,0.0
ne20,20,10,5.093625589399999e-06,0.668,0.0001,0.582,8.751934002405497e-06
ne21,21,10,5.7136615074e-08,0.668,0.0001,0.582,9.817287813402062e-08
ne22,22,10,6.573066535969999e-05,0.668,0.0001,0.582,0.00011293928755962199
ne23,23,10,0.0,0.668,0.0001,0.582,0.0
na21,21,11,0.0,0.668,0.0001,0.582,0.0
na22,22,11,1.189212e-31,0.668,0.0001,0.582,2.043319587628866e-31
na23,23,11,3.6951689834e-07,0.668,0.0001,0.582,6.349087600343643e-07
na24,24,11,0.0,0.668,0.0001,0.582,0.0
mg23,23,12,0.0,0.668,0.0001,0.582,0.0
mg24,24,12,1.5249223389999998e-06,0.668,0.0001,0.582,2.620141475945017e-06
mg25,25,12,3.4173014932e-07,0.668,0.0001,0.582,5.871652050171821e-07
mg26,26,12,3.6606008418e-07,0.668,0.0001,0.582,6.289692168041237e-07
mg27,27,12,0.0,0.668,0.0001,0.582,0.0
al25,25,13,0.0,0.668,0.0001,0.582,0.0
al26,26,13,9.1887464e-10,0.668,0.0001,0.582,1.578822405498282e-09
al27,27,13,1.8719857181999998e-07,0.668,0.0001,0.582,3.216470306185567e-07
al28,28,13,0.0,0.668,0.0001,0.582,0.0
si27,27,14,0.0,0.668,0.0001,0.582,0.0
si28,28,14,1.9155282063999996e-06,0.668,0.0001,0.582,3.2912855780068725e-06
si29,29,14,1.0161843306e-07,0.668,0.0001,0.582,1.7460211865979382e-07
si30,30,14,7.374667372e-08,0.668,0.0001,0.582,1.2671249780068728e-07
si31,31,14,0.0,0.668,0.0001,0.582,0.0
si32,32,14,1.4767257e-17,0.668,0.0001,0.582,2.5373293814432992e-17
si33,33,14,0.0,0.668,0.0001,0.582,0.0
p29,29,15,0.0,0.668,0.0001,0.582,0.0
p30,30,15,0.0,0.668,0.0001,0.582,0.0
