  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Zr   40    0  1.0332E+00  1.0917E+00  1.3461E+00  2.0252E+00  9.7102E-01  9.7102E-01  9.7098E-01  9.7152E-01  9.7170E-01
  Nb   41    0  9.8848E-01  1.0128E+00  1.2054E+00  1.8921E+00  9.9999E-01  1.0000E+00  9.8830E-01  9.7664E-01  9.6922E-01
  Mo   42    0  1.1824E+00  1.2017E+00  1.2849E+00  1.5327E+00  1.1538E+00  1.1538E+00  1.1621E+00  1.1710E+00  1.1766E+00
  Xe   54    0  9.7522E-01  9.6965E-01  9.8723E-01  1.0531E+00  1.0000E+00  1.0000E+00  9.9761E-01  9.9293E-01  9.9040E-01
  Cs   55    0  9.4529E-01  9.3799E-01  9.1836E-01  1.0015E+00  9.9996E-01  9.9996E-01  9.8518E-01  9.6641E-01  9.5587E-01
  Ba   56    0  1.0169E+00  1.0544E+00  1.1798E+00  1.3762E+00  1.0000E+00  1.0000E+00  1.0037E+00  1.0127E+00  1.0172E+00
  La   57    0  1.0096E+00  1.0427E+00  1.1747E+00  1.4283E+00  9.9996E-01  1.0000E+00  1.0004E+00  1.0019E+00  1.0025E+00
  Ce   58    0  9.9152E-01  9.9782E-01  1.0577E+00  1.1897E+00  1.0000E+00  1.0000E+00  1.0003E+00  1.0011E+00  1.0015E+00
  Pr   59    0  9.7981E-01  9.6510E-01  1.0015E+00  1.1895E+00  9.9998E-01  9.9998E-01  9.9400E-01  9.8188E-01  9.7577E-01
  Nd   60    0  1.0046E+00  1.0236E+00  1.0709E+00  1.1867E+00  9.9999E-01  1.0000E+00  1.0006E+00  1.0007E+00  1.0009E+00
  Hg   80    0  9.8923E-01  9.8567E-01  1.0210E+00  1.0882E+00  9.9998E-01  1.0000E+00  1.0049E+00  1.0156E+00  1.0210E+00
  Tl   81    0  9.7751E-01  9.8053E-01  1.0117E+00  1.0940E+00  9.9998E-01  1.0000E+00  9.9791E-01  9.9606E-01  9.9447E-01
  Pb   82    0  9.9286E-01  1.0022E+00  1.0613E+00  1.1768E+00  9.9999E-01  1.0000E+00  1.0012E+00  1.0044E+00  1.0061E+00
  Bi   83    0  9.7191E-01  9.6033E-01  9.6153E-01  9.8249E-01  9.9999E-01  1.0000E+00  9.9970E-01  9.9852E-01  9.9801E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
  H     1    0  6.1007E-01  5.6247E-01  5.0537E-01  4.7425E-01  6.3577E-01  6.0229E-01  5.6841E-01  5.4988E-01  4.7864E-01
  He    2    0  1.3824E+00  1.3358E+00  1.4077E+00  1.4103E+00  1.9183E+00  1.9977E+00  2.0561E+00  2.0888E+00  2.3285E+00
  Li    3    0  6.3668E-04  1.0479E-03  1.7755E-03  2.4059E-03  3.4602E-03  3.5830E-03  5.2945E-03  2.4481E-03  2.2560E-03
  Be    4    0  1.0609E-03  1.6733E-03  2.8286E-03  4.1075E-03  5.9707E-03  5.2890E-03  5.8459E-03  3.3372E-03  3.1330E-03
  B     5    0  6.5200E-02  6.1114E-02  5.0797E-02  4.4721E-02  5.9994E-02  5.8177E-02  6.1140E-02  5.0369E-02  5.6898E-02
  C     6    0  1.4424E+01  1.2176E+01  2.7435E+01  2.7349E+01  6.9080E+00  8.1012E+00  1.1598E+01  1.3120E+01  9.1605E+00
  N     7    0  5.2448E+00  4.6715E+00  5.7174E+00  5.5720E+00  8.2094E+00  8.8174E+00  8.5264E+00  8.6918E+00  8.7673E+00
  O     8    0  2.1189E+01  2.6455E+01  2.6581E+01  2.8472E+01  9.6522E-01  9.1076E-01  9.7339E-01  1.0992E+00  6.4118E-01
  F     9    0  2.6468E+00  1.0160E+02  1.3167E+01  1.4131E+00  4.8800E-01  5.1287E-01  9.4761E-01  4.8584E-01  5.5680E-01
  Ne   10    0  4.2235E+00  5.8342E+00  6.4063E+00  1.4392E+01  1.3130E+00  1.4296E+00  1.8213E+00  1.9932E+00  1.9008E+00
  Na   11    0  4.6496E+00  4.9167E+00  6.1241E+00  1.1155E+01  4.0623E+00  4.5418E+00  4.9636E+00  5.2701E+00  5.6698E+00
  Mg   12    0  2.9229E+00  4.4106E+00  5.0798E+00  8.5553E+00  9.9091E-01  9.8952E-01  9.8769E-01  9.8944E-01  9.7425E-01
  Al   13    0  3.0072E+00  3.1724E+00  4.6496E+00  1.0558E+01  1.1885E+00  1.2281E+00  1.3149E+00  1.3807E+00  1.5587E+00
