  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Zr   40    0  1.0324E+00  1.0881E+00  1.3427E+00  2.0180E+00  9.7102E-01  9.7102E-01  9.7098E-01  9.7152E-01  9.7170E-01
  Nb   41    0  9.8765E-01  1.0094E+00  1.2024E+00  1.8853E+00  9.9999E-01  1.0000E+00  9.8830E-01  9.7664E-01  9.6922E-01
  Mo   42    0  1.1814E+00  1.1977E+00  1.2817E+00  1.5272E+00  1.1538E+00  1.1538E+00  1.1621E+00  1.1710E+00  1.1766E+00
  Xe   54    0  9.7440E-01  9.6639E-01  9.8475E-01  1.0494E+00  1.0000E+00  1.0000E+00  9.9761E-01  9.9293E-01  9.9040E-01
  Cs   55    0  9.4450E-01  9.3483E-01  9.1606E-01  9.9786E-01  9.9996E-01  9.9996E-01  9.8518E-01  9.6641E-01  9.5587E-01
  Ba   56    0  1.0161E+00  1.0509E+00  1.1768E+00  1.3712E+00  1.0000E+00  1.0000E+00  1.0037E+00  1.0127E+00  1.0172E+00
  La   57    0  1.0088E+00  1.0392E+00  1.1717E+00  1.4232E+00  9.9996E-01  1.0000E+00  1.0004E+00  1.0019E+00  1.0025E+00
  Ce   58    0  9.9068E-01  9.9446E-01  1.0550E+00  1.1854E+00  1.0000E+00  1.0000E+00  1.0003E+00  1.0011E+00  1.0015E+00
  Pr   59    0  9.7898E-01  9.6185E-01  9.9895E-01  1.1852E+00  9.9998E-01  9.9998E-01  9.9400E-01  9.8188E-01  9.7577E-01
  Nd   60    0  1.0037E+00  1.0201E+00  1.0682E+00  1.1824E+00  9.9999E-01  1.0000E+00  1.0006E+00  1.0007E+00  1.0009E+00
  Hg   80    0  9.8840E-01  9.8235E-01  1.0184E+00  1.0843E+00  9.9998E-01  1.0000E+00  1.0049E+00  1.0156E+00  1.0210E+00
  Tl   81    0  9.7669E-01  9.7723E-01  1.0091E+00  1.0901E+00  9.9998E-01  1.0000E+00  9.9791E-01  9.9606E-01  9.9447E-01
  Pb   82    0  9.9217E-01  9.9921E-01  1.0589E+00  1.1731E+00  9.9999E-01  1.0000E+00  1.0012E+00  1.0044E+00  1.0061E+00
  Bi   83    0  9.7109E-01  9.5710E-01  9.5912E-01  9.7896E-01  9.9999E-01  1.0000E+00  9.9970E-01  9.9852E-01  9.9801E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
  H     1    0  6.0012E-01  5.0257E-01  4.9392E-01  4.6763E-01  6.3577E-01  6.0229E-01  5.6841E-01  5.4988E-01  4.7864E-01
  He    2    0  1.3570E+00  1.1971E+00  1.3741E+00  1.3891E+00  1.9183E+00  1.9977E+00  2.0561E+00  2.0888E+00  2.3285E+00
  Li    3    0  6.2629E-04  9.3626E-04  1.7352E-03  2.3723E-03  3.4602E-03  3.5830E-03  5.2945E-03  2.4481E-03  2.2560E-03
  Be    4    0  1.0436E-03  1.4951E-03  2.7644E-03  4.0502E-03  5.9707E-03  5.2890E-03  5.8459E-03  3.3372E-03  3.1330E-03
  B     5    0  6.4137E-02  5.4605E-02  4.9645E-02  4.4097E-02  5.9994E-02  5.8177E-02  6.1140E-02  5.0369E-02  5.6898E-02
