 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Na   11    0  9.0926E+00  5.7458E+00  7.8614E+00  3.8510E+01  2.5910E+01  4.4196E+01  3.4454E+02  9.8677E+01  2.9803E+02  3.0931E+03  9.1749E+02  2.6989E+03  2.1325E-04  1.3253E-04  1.8346E-04  6.5309E-05  4.9326E-05  8.9517E-05  4.0486E-05  1.6882E-05  5.3615E-05  3.4778E-05  1.4741E-05  4.6566E-05  9.0924E+00  3.8509E+01  3.4452E+02  3.0929E+03  2.1325E-04  6.5308E-05  4.0485E-05  3.4777E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
  Mg   12    0  4.2735E+00  3.1050E+00  3.5088E+00  2.2866E+01  1.9046E+01  2.1931E+01  3.1564E+02  1.6402E+02  2.9427E+02  3.0029E+03  1.6719E+03  1.8331E+03  2.4279E-03  1.7349E-03  1.9836E-03  1.6704E-03  1.5619E-03  1.9134E-03  1.5977E-03  1.2087E-03  2.2803E-03  1.4544E-03  1.1571E-03  1.3623E-03  4.2735E+00  2.2866E+01  3.1563E+02  3.0028E+03  2.4279E-03  1.6704E-03  1.5977E-03  1.4544E-03  7.1276E-04  1.2673E-04  1.2673E-05  1.2673E-06
  Al   13    0  5.3593E+00  3.2952E+00  4.0900E+00  3.3523E+01  3.2742E+01  3.0363E+01  2.6110E+02  1.8626E+02  2.5777E+02  1.9019E+03  1.2616E+03  2.5690E+03  2.3931E-04  1.4471E-04  1.8172E-04  1.0824E-04  1.1868E-04  1.1709E-04  5.8415E-05  6.0670E-05  8.8287E-05  4.0714E-05  3.8590E-05  8.4388E-05  5.3592E+00  3.3523E+01  2.6109E+02  1.9019E+03  2.3930E-04  1.0824E-04  5.8415E-05  4.0714E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
  Si   14    0  6.9371E+00  1.3479E+01  1.5853E+01  4.3820E+01  6.4576E+01  8.7686E+01  4.6526E+02  7.0872E+02  1.0102E+03  5.5997E+03  7.1076E+03  6.9786E+03  3.7025E-03  7.0754E-03  8.4188E-03  4.3469E-03  7.1911E-03  1.0389E-02  3.1980E-03  7.0924E-03  1.0631E-02  3.6829E-03  6.6796E-03  7.0430E-03  6.9374E+00  4.3821E+01  4.6528E+02  5.5998E+03  3.7027E-03  4.3471E-03  3.1982E-03  3.6831E-03  6.6960E-04  1.7209E-04  1.7209E-05  1.7209E-06
  P    15    0  5.7932E+00  9.4805E+00  1.2605E+01  4.0354E+01  5.9361E+01  1.1910E+02  2.6979E+02  3.8724E+02  9.7669E+02  1.9494E+03  2.3738E+03  8.4249E+03  2.7087E-05  4.3595E-05  5.8646E-05  1.3643E-05  2.2530E-05  4.8091E-05  6.3203E-06  1.3208E-05  3.5028E-05  4.3697E-06  7.6031E-06  2.8979E-05  5.7934E+00  4.0355E+01  2.6980E+02  1.9494E+03  2.7088E-05  1.3644E-05  6.3206E-06  4.3699E-06  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
  S    16    0  6.2168E+00  1.4739E+01  1.7782E+01  4.8599E+01  9.7483E+01  1.5442E+02  4.9330E+02  1.1673E+03  1.7965E+03  7.7252E+03  1.0783E+04  9.3682E+03  1.5434E-03  3.5987E-03  4.3925E-03  1.9531E-03  4.3979E-03  7.4120E-03  1.3737E-03  4.7323E-03  7.6588E-03  2.0584E-03  4.1054E-03  3.8303E-03  6.2172E+00  4.8602E+01  4.9335E+02  7.7255E+03  1.5435E-03  1.9532E-03  1.3739E-03  2.0585E-03  3.1146E-04  6.9718E-05  6.9718E-06  6.9718E-07
  Cl   17    0  1.9374E+00  3.2993E+00  4.4947E+00  8.2051E+00  1.6899E+01  6.0620E+01  4.3855E+01  2.3295E+02  5.6808E+02  7.0198E+02  1.2992E+03  2.6833E+03  1.2757E-05  2.1365E-05  2.9448E-05  3.9066E-06  9.0320E-06  3.4471E-05  1.4468E-06  1.1189E-05  2.8691E-05  2.2159E-06  5.8602E-06  1.2997E-05  1.9375E+00  8.2056E+00  4.3870E+01  7.0203E+02  1.2757E-05  3.9068E-06  1.4473E-06  2.2161E-06  8.2607E-06  8.2596E-07  8.2596E-08  8.2596E-09
  Ar   18    0  5.5412E+00  1.3472E+01  1.6629E+01  4.4347E+01  1.0911E+02  1.9745E+02  4.7208E+02  1.3712E+03  2.1231E+03  8.5541E+03  1.1373E+04  9.3547E+03  2.9655E-04  7.0908E-04  8.8548E-04  3.8419E-04  1.0612E-03  2.0429E-03  2.8338E-04  1.1984E-03  1.9511E-03  4.9133E-04  9.3345E-04  8.2450E-04  5.5416E+00  4.4351E+01  4.7215E+02  8.5543E+03  2.9657E-04  3.8422E-04  2.8343E-04  4.9135E-04  6.7141E-05  1.5029E-05  1.5029E-06  1.5029E-07
  K    19    0  1.8646E+00  3.7101E+00  6.9417E+00  9.6410E+00  4.2514E+01  2.4605E+02  6.6027E+01  9.4386E+02  2.1275E+03  2.0207E+03  3.3321E+03  7.8062E+03  4.5883E-06  8.9784E-06  1.6996E-05  1.7154E-06  8.4917E-06  5.2286E-05  8.1404E-07  1.6942E-05  4.0156E-05  2.3838E-06  5.6168E-06  1.4131E-05  1.8647E+00  9.6430E+00  6.6095E+01  2.0208E+03  4.5885E-06  1.7158E-06  8.1490E-07  2.3840E-06  3.0871E-06  3.0867E-07  3.0867E-08  3.0867E-09
  Ca   20    0  4.7162E+00  1.0980E+01  1.3472E+01  4.0490E+01  1.2181E+02  1.6953E+02  4.6546E+02  1.5436E+03  1.9844E+03  8.9124E+03  1.0932E+04  8.3061E+03  2.4288E-04  5.5610E-04  6.9032E-04  3.3754E-04  1.1399E-03  1.6879E-03  2.6887E-04  1.2982E-03  1.7548E-03  4.9260E-04  8.6335E-04  7.0446E-04  4.7166E+00  4.0495E+01  4.6554E+02  8.9125E+03  2.4290E-04  3.3759E-04  2.6892E-04  4.9262E-04  6.4609E-05  1.4462E-05  1.4462E-06  1.4462E-07
