  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Zr   40    0  1.0324E+00  1.0881E+00  1.3427E+00  2.0180E+00  2.6975E+00  4.8702E+00  5.6807E+00  9.6724E+00  1.1841E+01
  Nb   41    0  9.8765E-01  1.0094E+00  1.2024E+00  1.8853E+00  1.7822E+00  3.5418E+00  3.4195E+00  4.8707E+00  4.9181E+00
  Mo   42    0  1.1814E+00  1.1977E+00  1.2817E+00  1.5272E+00  1.5598E+00  2.1276E+00  2.1669E+00  2.9273E+00  3.2178E+00
  Xe   54    0  9.7440E-01  9.6639E-01  9.8475E-01  1.0494E+00  1.0696E+00  1.3024E+00  1.3850E+00  1.8334E+00  1.8884E+00
  Cs   55    0  9.4450E-01  9.3483E-01  9.1606E-01  9.9786E-01  1.0083E+00  1.2335E+00  1.3108E+00  1.6064E+00  1.5258E+00
  Ba   56    0  1.0161E+00  1.0509E+00  1.1768E+00  1.3712E+00  1.3464E+00  1.8590E+00  1.8163E+00  2.1761E+00  2.2017E+00
  La   57    0  1.0088E+00  1.0392E+00  1.1717E+00  1.4232E+00  1.4781E+00  1.8634E+00  1.8453E+00  1.9512E+00  1.7933E+00
  Ce   58    0  9.9068E-01  9.9446E-01  1.0550E+00  1.1854E+00  1.2216E+00  1.4308E+00  1.4139E+00  1.5248E+00  1.4838E+00
  Pr   59    0  9.7898E-01  9.6185E-01  9.9895E-01  1.1852E+00  1.3717E+00  1.5886E+00  1.6907E+00  1.9903E+00  1.7289E+00
  Nd   60    0  1.0037E+00  1.0201E+00  1.0682E+00  1.1824E+00  1.1178E+00  1.3052E+00  1.2464E+00  1.3786E+00  1.3847E+00
  Hg   80    0  9.8840E-01  9.8235E-01  1.0184E+00  1.0843E+00  1.0434E+00  1.1851E+00  1.1705E+00  1.2974E+00  1.3876E+00
  Tl   81    0  9.7669E-01  9.7723E-01  1.0091E+00  1.0901E+00  1.0676E+00  1.2451E+00  1.2144E+00  1.2520E+00  1.2150E+00
  Pb   82    0  9.9217E-01  9.9921E-01  1.0589E+00  1.1731E+00  1.1474E+00  1.3396E+00  1.3084E+00  1.3767E+00  1.3243E+00
  Bi   83    0  9.7109E-01  9.5710E-01  9.5912E-01  9.7896E-01  9.2628E-01  9.4622E-01  9.5447E-01  9.6740E-01  9.7373E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
  H     1    0  6.0012E-01  5.0257E-01  4.9392E-01  4.6763E-01  4.3099E-01  4.2590E-01  4.1236E-01  4.0433E-01  3.8819E-01
  He    2    0  1.3570E+00  1.1971E+00  1.3741E+00  1.3891E+00  1.3751E+00  1.4683E+00  1.5243E+00  1.5584E+00  1.9117E+00
  Li    3    0  6.2629E-04  9.3626E-04  1.7352E-03  2.3723E-03  2.3457E-03  2.5337E-03  3.8410E-03  1.8001E-03  1.8296E-03
