#  (0) time_chosen [Gyr]    (1) Mtot [Msun]    (2) Mgas_v [Msun]    (3) Mstar_v [Msun]    (4) SFR_v [Msun/yr]    (5)Infall_v [Msun/yr]    (6) Z_v    (7) G_v    (8) S_v     (9) Rate_SNII     (10) Rate_SNIa
3.1100e-03   1.0000e-32   1.0000e-32   1.0000e-32   1.0000e-41   8.2991e+00   1.7900e+02   1.0000e+00   0.0000e+00   1.0000e-32   1.0000e-32  
4.1100e-03   8.2985e+06   8.2991e+06   1.0010e-32   8.2991e-03   8.2979e+00   2.1569e-37   1.0001e+00   -7.1429e-05  0.0000e+00   1.0000e-32  
5.1100e-03   1.6596e+07   1.6589e+07   8.2991e+03   1.6589e-02   8.2967e+00   5.0021e-01   9.9957e-01   4.2864e-04   0.0000e+00   1.0000e-32  
6.1100e-03   2.4892e+07   2.4869e+07   2.4888e+04   2.4869e-02   8.2955e+00   6.6695e-01   9.9907e-01   9.2840e-04   0.0000e+00   1.0000e-32  
7.1100e-03   3.3187e+07   3.3139e+07   4.9757e+04   3.3139e-02   8.2943e+00   7.5032e-01   9.9857e-01   1.4279e-03   1.4996e+05   1.0000e-32  
8.1100e-03   4.1481e+07   4.1401e+07   8.2896e+04   4.1401e-02   8.2932e+00   8.0034e-01   9.9807e-01   1.9270e-03   6.2800e+05   1.0000e-32  
9.1100e-03   4.9773e+07   4.9652e+07   1.2430e+05   4.9652e-02   8.2920e+00   8.3369e-01   9.9757e-01   2.4258e-03   1.3414e+06   1.0000e-32  
1.0110e-02   5.8065e+07   5.7895e+07   1.7395e+05   5.7895e-02   8.2908e+00   8.5751e-01   9.9708e-01   2.9244e-03   2.2277e+06   1.0000e-32  
1.1110e-02   6.6355e+07   6.6128e+07   2.3184e+05   6.6128e-02   8.2896e+00   8.7537e-01   9.9658e-01   3.4226e-03   3.2366e+06   1.0000e-32  
1.2110e-02   7.4644e+07   7.4351e+07   2.9797e+05   7.4351e-02   8.2884e+00   8.8927e-01   9.9608e-01   3.9205e-03   4.3355e+06   1.0000e-32  
1.3110e-02   8.2932e+07   8.2565e+07   3.7232e+05   8.2565e-02   8.2872e+00   9.0039e-01   9.9558e-01   4.4181e-03   5.5382e+06   1.0000e-32  
1.4110e-02   9.1218e+07   9.0770e+07   4.5489e+05   9.0770e-02   8.2861e+00   9.0948e-01   9.9508e-01   4.9154e-03   6.8557e+06   1.0000e-32  
1.5110e-02   9.9504e+07   9.8965e+07   5.4566e+05   9.8965e-02   8.2849e+00   9.1706e-01   9.9459e-01   5.4124e-03   8.2406e+06   1.0000e-32  
1.6110e-02   1.0779e+08   1.0715e+08   6.4462e+05   1.0715e-01   8.2837e+00   9.2347e-01   9.9409e-01   5.9090e-03   9.6819e+06   1.0000e-32  
1.7110e-02   1.1607e+08   1.1533e+08   7.5177e+05   1.1533e-01   8.2825e+00   9.2897e-01   9.9359e-01   6.4054e-03   1.1184e+07   1.0000e-32  
1.8110e-02   1.2435e+08   1.2349e+08   8.6710e+05   1.2349e-01   8.2813e+00   9.3373e-01   9.9310e-01   6.9015e-03   1.2754e+07   1.0000e-32  
1.9110e-02   1.3263e+08   1.3165e+08   9.9060e+05   1.3165e-01   8.2801e+00   9.3790e-01   9.9260e-01   7.3972e-03   1.4389e+07   1.0000e-32  
2.0110e-02   1.4091e+08   1.3980e+08   1.1222e+06   1.3980e-01   8.2790e+00   9.4158e-01   9.9211e-01   7.8927e-03   1.6063e+07   1.0000e-32  
2.1110e-02   1.4919e+08   1.4794e+08   1.2620e+06   1.4794e-01   8.2778e+00   9.4485e-01   9.9161e-01   8.3878e-03   1.7778e+07   1.0000e-32  
2.2110e-02   1.5747e+08   1.5607e+08   1.4100e+06   1.5607e-01   8.2766e+00   9.4777e-01   9.9112e-01   8.8827e-03   1.9533e+07   -2.8940e+01 
2.3110e-02   1.6574e+08   1.6419e+08   1.5661e+06   1.6419e-01   8.2754e+00   9.5041e-01   9.9062e-01   9.3772e-03   2.1332e+07   -6.4920e+01 
2.4110e-02   1.7402e+08   1.7230e+08   1.7303e+06   1.7230e-01   8.2742e+00   9.5279e-01   9.9013e-01   9.8714e-03   2.3176e+07   -8.3729e+01 
2.5110e-02   1.8229e+08   1.8040e+08   1.9026e+06   1.8040e-01   8.2730e+00   9.5495e-01   9.8963e-01   1.0365e-02   2.5061e+07   -8.2091e+01 
2.6110e-02   1.9057e+08   1.8850e+08   2.0830e+06   1.8850e-01   8.2719e+00   9.5693e-01   9.8914e-01   1.0859e-02   2.6967e+07   -5.8602e+01 
2.7110e-02   1.9884e+08   1.9658e+08   2.2715e+06   1.9658e-01   8.2707e+00   9.5874e-01   9.8865e-01   1.1352e-02   2.8898e+07   -1.1958e+01 
2.8110e-02   2.0711e+08   2.0465e+08   2.4680e+06   2.0465e-01   8.2695e+00   9.6041e-01   9.8815e-01   1.1845e-02   3.0852e+07   5.9154e+01  
2.9110e-02   2.1538e+08   2.1272e+08   2.6727e+06   2.1272e-01   8.2683e+00   9.6195e-01   9.8766e-01   1.2338e-02   3.2828e+07   1.5607e+02  
3.0110e-02   2.2364e+08   2.2077e+08   2.8854e+06   2.2077e-01   8.2671e+00   9.6337e-01   9.8717e-01   1.2830e-02   3.4829e+07   2.8015e+02  
3.1110e-02   2.3191e+08   2.2882e+08   3.1062e+06   2.2882e-01   8.2660e+00   9.6470e-01   9.8668e-01   1.3322e-02   3.6856e+07   4.0882e+02  
3.2110e-02   2.4018e+08   2.3686e+08   3.3350e+06   2.3686e-01   8.2648e+00   9.6593e-01   9.8619e-01   1.3814e-02   3.8908e+07   5.9466e+02  
3.3110e-02   2.4844e+08   2.4489e+08   3.5719e+06   2.4489e-01   8.2636e+00   9.6708e-01   9.8569e-01   1.4306e-02   4.0986e+07   8.1246e+02  
3.4110e-02   2.5670e+08   2.5290e+08   3.8167e+06   2.5290e-01   8.2624e+00   9.6816e-01   9.8520e-01   1.4797e-02   4.3075e+07   1.0466e+03  
3.5110e-02   2.6496e+08   2.6091e+08   4.0696e+06   2.6091e-01   8.2612e+00   9.6916e-01   9.8471e-01   1.5288e-02   4.5161e+07   1.3356e+03  
3.6110e-02   2.7323e+08   2.6891e+08   4.3306e+06   2.6891e-01   8.2601e+00   9.7011e-01   9.8422e-01   1.5778e-02   4.7244e+07   1.6368e+03  
3.7110e-02   2.8148e+08   2.7691e+08   4.5995e+06   2.7691e-01   8.2589e+00   9.7100e-01   9.8373e-01   1.6269e-02   4.9325e+07   1.9694e+03  
3.8110e-02   2.8974e+08   2.8489e+08   4.8764e+06   2.8489e-01   8.2577e+00   9.7184e-01   9.8324e-01   1.6759e-02   5.1404e+07   2.3342e+03  
3.9110e-02   2.9800e+08   2.9286e+08   5.1613e+06   2.9286e-01   8.2565e+00   9.7264e-01   9.8275e-01   1.7248e-02   5.3480e+07   2.7031e+03  
4.0110e-02   3.0626e+08   3.0082e+08   5.4541e+06   3.0082e-01   8.2553e+00   9.7339e-01   9.8226e-01   1.7738e-02   5.5554e+07   3.1425e+03  
4.1110e-02   3.1451e+08   3.0878e+08   5.7550e+06   3.0878e-01   8.2542e+00   9.7410e-01   9.8177e-01   1.8227e-02   5.7626e+07   3.6170e+03  
4.2110e-02   3.2276e+08   3.1672e+08   6.0637e+06   3.1672e-01   8.2530e+00   9.7478e-01   9.8128e-01   1.8715e-02   5.9695e+07   4.1273e+03  
4.3110e-02   3.3102e+08   3.2466e+08   6.3805e+06   3.2466e-01   8.2518e+00   9.7542e-01   9.8080e-01   1.9204e-02   6.1762e+07   4.6625e+03  
4.4110e-02   3.3927e+08   3.3259e+08   6.7051e+06   3.3259e-01   8.2506e+00   9.7603e-01   9.8031e-01   1.9692e-02   6.3827e+07   5.2576e+03  
4.5110e-02   3.4752e+08   3.4050e+08   7.0377e+06   3.4050e-01   8.2494e+00   9.7661e-01   9.7982e-01   2.0180e-02   6.5889e+07   5.8916e+03  
4.6110e-02   3.5577e+08   3.4841e+08   7.3782e+06   3.4841e-01   8.2483e+00   9.7716e-01   9.7933e-01   2.0667e-02   6.7949e+07   6.5656e+03  
4.7110e-02   3.6401e+08   3.5631e+08   7.7266e+06   3.5631e-01   8.2471e+00   9.7769e-01   9.7885e-01   2.1155e-02   7.0006e+07   7.2968e+03  
4.8110e-02   3.7226e+08   3.6420e+08   8.0829e+06   3.6420e-01   8.2459e+00   9.7820e-01   9.7836e-01   2.1642e-02   7.2061e+07   8.0662e+03  
4.9110e-02   3.8051e+08   3.7209e+08   8.4471e+06   3.7209e-01   8.2447e+00   9.7868e-01   9.7787e-01   2.2128e-02   7.4114e+07   8.8787e+03  
5.0110e-02   3.8875e+08   3.7996e+08   8.8192e+06   3.7996e-01   8.2435e+00   9.7914e-01   9.7739e-01   2.2615e-02   7.6164e+07   9.7775e+03  
5.1110e-02   3.9699e+08   3.8782e+08   9.1992e+06   3.8782e-01   8.2424e+00   9.7958e-01   9.7690e-01   2.3101e-02   7.8212e+07   1.0694e+04  
5.2110e-02   4.0524e+08   3.9568e+08   9.5870e+06   3.9568e-01   8.2412e+00   9.8001e-01   9.7641e-01   2.3586e-02   8.0258e+07   1.1658e+04  
5.3110e-02   4.1348e+08   4.0352e+08   9.9827e+06   4.0352e-01   8.2400e+00   9.8042e-01   9.7593e-01   2.4072e-02   8.2301e+07   1.2744e+04  
5.4110e-02   4.2172e+08   4.1136e+08   1.0386e+07   4.1136e-01   8.2388e+00   9.8081e-01   9.7544e-01   2.4557e-02   8.4342e+07   1.3798e+04  
5.5110e-02   4.2995e+08   4.1919e+08   1.0798e+07   4.1919e-01   8.2377e+00   9.8119e-01   9.7496e-01   2.5042e-02   8.6381e+07   1.4822e+04  
5.6110e-02   4.3819e+08   4.2700e+08   1.1217e+07   4.2700e-01   8.2365e+00   9.8155e-01   9.7447e-01   2.5526e-02   8.8417e+07   1.5945e+04  
5.7110e-02   4.4643e+08   4.3481e+08   1.1644e+07   4.3481e-01   8.2353e+00   9.8190e-01   9.7399e-01   2.6011e-02   9.0451e+07   1.7121e+04  
5.8110e-02   4.5466e+08   4.4261e+08   1.2079e+07   4.4261e-01   8.2341e+00   9.8224e-01   9.7351e-01   2.6495e-02   9.2482e+07   1.8349e+04  
5.9110e-02   4.6289e+08   4.5041e+08   1.2521e+07   4.5041e-01   8.2330e+00   9.8256e-01   9.7302e-01   2.6978e-02   9.4512e+07   1.9631e+04  
6.0110e-02   4.7113e+08   4.5819e+08   1.2972e+07   4.5819e-01   8.2318e+00   9.8288e-01   9.7254e-01   2.7462e-02   9.6538e+07   2.0865e+04  
6.1110e-02   4.7936e+08   4.6596e+08   1.3430e+07   4.6596e-01   8.2306e+00   9.8318e-01   9.7206e-01   2.7945e-02   9.8563e+07   2.2258e+04  
6.2110e-02   4.8759e+08   4.7373e+08   1.3896e+07   4.7373e-01   8.2294e+00   9.8347e-01   9.7157e-01   2.8428e-02   1.0059e+08   2.3710e+04  
6.3110e-02   4.9582e+08   4.8148e+08   1.4369e+07   4.8148e-01   8.2283e+00   9.8375e-01   9.7109e-01   2.8910e-02   1.0261e+08   2.5222e+04  
6.4110e-02   5.0404e+08   4.8923e+08   1.4851e+07   4.8923e-01   8.2271e+00   9.8403e-01   9.7061e-01   2.9392e-02   1.0462e+08   2.6796e+04  
6.5110e-02   5.1227e+08   4.9697e+08   1.5340e+07   4.9697e-01   8.2259e+00   9.8429e-01   9.7013e-01   2.9874e-02   1.0664e+08   2.8248e+04  
6.6110e-02   5.2050e+08   5.0470e+08   1.5837e+07   5.0470e-01   8.2247e+00   9.8455e-01   9.6964e-01   3.0356e-02   1.0865e+08   2.9942e+04  
6.7110e-02   5.2872e+08   5.1242e+08   1.6342e+07   5.1242e-01   8.2236e+00   9.8480e-01   9.6916e-01   3.0837e-02   1.1066e+08   3.1702e+04  
6.8110e-02   5.3694e+08   5.2013e+08   1.6854e+07   5.2013e-01   8.2224e+00   9.8504e-01   9.6868e-01   3.1318e-02   1.1267e+08   3.3530e+04  
6.9110e-02   5.4517e+08   5.2783e+08   1.7374e+07   5.2783e-01   8.2212e+00   9.8527e-01   9.6820e-01   3.1799e-02   1.1468e+08   3.5428e+04  
7.0110e-02   5.5339e+08   5.3552e+08   1.7902e+07   5.3552e-01   8.2200e+00   9.8550e-01   9.6772e-01   3.2279e-02   1.1668e+08   3.7398e+04  
7.1110e-02   5.6161e+08   5.4321e+08   1.8438e+07   5.4321e-01   8.2189e+00   9.8572e-01   9.6724e-01   3.2759e-02   1.1868e+08   3.9135e+04  
7.2110e-02   5.6982e+08   5.5088e+08   1.8981e+07   5.5088e-01   8.2177e+00   9.8593e-01   9.6676e-01   3.3239e-02   1.2068e+08   4.1237e+04  
7.3110e-02   5.7804e+08   5.5855e+08   1.9532e+07   5.5855e-01   8.2165e+00   9.8614e-01   9.6628e-01   3.3718e-02   1.2268e+08   4.3371e+04  
7.4110e-02   5.8626e+08   5.6621e+08   2.0090e+07   5.6621e-01   8.2153e+00   9.8634e-01   9.6580e-01   3.4197e-02   1.2467e+08   4.5242e+04  
7.5110e-02   5.9447e+08   5.7386e+08   2.0657e+07   5.7386e-01   8.2142e+00   9.8653e-01   9.6532e-01   3.4676e-02   1.2666e+08   4.7497e+04  
7.6110e-02   6.0268e+08   5.8150e+08   2.1230e+07   5.8150e-01   8.2130e+00   9.8672e-01   9.6484e-01   3.5155e-02   1.2865e+08   4.9453e+04  
7.7110e-02   6.1090e+08   5.8913e+08   2.1812e+07   5.8913e-01   8.2118e+00   9.8691e-01   9.6437e-01   3.5633e-02   1.3064e+08   5.1851e+04  
7.8110e-02   6.1911e+08   5.9675e+08   2.2401e+07   5.9675e-01   8.2106e+00   9.8709e-01   9.6389e-01   3.6111e-02   1.3263e+08   5.3892e+04  
7.9110e-02   6.2732e+08   6.0437e+08   2.2998e+07   6.0437e-01   8.2095e+00   9.8727e-01   9.6341e-01   3.6589e-02   1.3461e+08   5.6438e+04  
8.0110e-02   6.3553e+08   6.1197e+08   2.3602e+07   6.1197e-01   8.2083e+00   9.8744e-01   9.6293e-01   3.7067e-02   1.3659e+08   5.9046e+04  
8.1110e-02   6.4374e+08   6.1957e+08   2.4214e+07   6.1957e-01   8.2071e+00   9.8760e-01   9.6246e-01   3.7544e-02   1.3857e+08   6.1263e+04  
8.2110e-02   6.5194e+08   6.2715e+08   2.4834e+07   6.2715e-01   8.2059e+00   9.8777e-01   9.6198e-01   3.8021e-02   1.4055e+08   6.4027e+04  
8.3110e-02   6.6015e+08   6.3473e+08   2.5461e+07   6.3473e-01   8.2048e+00   9.8792e-01   9.6150e-01   3.8497e-02   1.4252e+08   6.6331e+04  
8.4110e-02   6.6835e+08   6.4230e+08   2.6096e+07   6.4230e-01   8.2036e+00   9.8808e-01   9.6103e-01   3.8973e-02   1.4449e+08   6.9256e+04  
8.5110e-02   6.7655e+08   6.4986e+08   2.6738e+07   6.4986e-01   8.2024e+00   9.8823e-01   9.6055e-01   3.9449e-02   1.4646e+08   7.1648e+04  
8.6110e-02   6.8476e+08   6.5742e+08   2.7388e+07   6.5742e-01   8.2013e+00   9.8838e-01   9.6008e-01   3.9925e-02   1.4843e+08   7.4738e+04  
8.7110e-02   6.9296e+08   6.6496e+08   2.8045e+07   6.6496e-01   8.2001e+00   9.8852e-01   9.5960e-01   4.0400e-02   1.5039e+08   7.7905e+04  
8.8110e-02   7.0116e+08   6.7250e+08   2.8710e+07   6.7250e-01   8.1989e+00   9.8866e-01   9.5912e-01   4.0875e-02   1.5235e+08   8.0479e+04  
8.9110e-02   7.0935e+08   6.8002e+08   2.9383e+07   6.8002e-01   8.1977e+00   9.8880e-01   9.5865e-01   4.1350e-02   1.5431e+08   8.3820e+04  
9.0110e-02   7.1755e+08   6.8754e+08   3.0063e+07   6.8754e-01   8.1966e+00   9.8893e-01   9.5818e-01   4.1825e-02   1.5627e+08   8.6485e+04  
9.1110e-02   7.2575e+08   6.9505e+08   3.0750e+07   6.9505e-01   8.1954e+00   9.8906e-01   9.5770e-01   4.2299e-02   1.5823e+08   9.0005e+04  
9.2110e-02   7.3394e+08   7.0255e+08   3.1445e+07   7.0255e-01   8.1942e+00   9.8919e-01   9.5723e-01   4.2773e-02   1.6018e+08   9.3613e+04  
9.3110e-02   7.4214e+08   7.1004e+08   3.2148e+07   7.1004e-01   8.1931e+00   9.8932e-01   9.5675e-01   4.3247e-02   1.6213e+08   9.6465e+04  
9.4110e-02   7.5033e+08   7.1752e+08   3.2858e+07   7.1752e-01   8.1919e+00   9.8944e-01   9.5628e-01   4.3720e-02   1.6408e+08   1.0026e+05  
9.5110e-02   7.5852e+08   7.2500e+08   3.3575e+07   7.2500e-01   8.1907e+00   9.8956e-01   9.5581e-01   4.4193e-02   1.6603e+08   1.0415e+05  
9.6110e-02   7.6671e+08   7.3246e+08   3.4300e+07   7.3246e-01   8.1896e+00   9.8968e-01   9.5533e-01   4.4666e-02   1.6797e+08   1.0719e+05  
9.7110e-02   7.7490e+08   7.3992e+08   3.5033e+07   7.3992e-01   8.1884e+00   9.8979e-01   9.5486e-01   4.5138e-02   1.6992e+08   1.1128e+05  
9.8110e-02   7.8309e+08   7.4737e+08   3.5773e+07   7.4737e-01   8.1872e+00   9.8990e-01   9.5439e-01   4.5610e-02   1.7186e+08   1.1442e+05  
9.9110e-02   7.9127e+08   7.5481e+08   3.6520e+07   7.5481e-01   8.1860e+00   9.9001e-01   9.5392e-01   4.6082e-02   1.7379e+08   1.1871e+05  
1.0011e-01   7.9946e+08   7.6224e+08   3.7275e+07   7.6224e-01   8.1849e+00   9.9012e-01   9.5345e-01   4.6554e-02   1.7573e+08   1.2311e+05  
1.0111e-01   8.0764e+08   7.6966e+08   3.8037e+07   7.6966e-01   8.1837e+00   9.9023e-01   9.5297e-01   4.7025e-02   1.7766e+08   1.2644e+05  
1.0211e-01   8.1583e+08   7.7708e+08   3.8807e+07   7.7708e-01   8.1825e+00   9.9033e-01   9.5250e-01   4.7496e-02   1.7959e+08   1.3101e+05  
1.0311e-01   8.2401e+08   7.8448e+08   3.9584e+07   7.8448e-01   8.1814e+00   9.9043e-01   9.5203e-01   4.7967e-02   1.8152e+08   1.3446e+05  
1.0411e-01   8.3219e+08   7.9188e+08   4.0368e+07   7.9188e-01   8.1802e+00   9.9053e-01   9.5156e-01   4.8437e-02   1.8345e+08   1.3790e+05  
1.0511e-01   8.4037e+08   7.9927e+08   4.1160e+07   7.9927e-01   8.1790e+00   9.9063e-01   9.5109e-01   4.8907e-02   1.8537e+08   1.4268e+05  
1.0611e-01   8.4855e+08   8.0665e+08   4.1960e+07   8.0665e-01   8.1779e+00   9.9072e-01   9.5062e-01   4.9377e-02   1.8730e+08   1.4629e+05  
1.0711e-01   8.5672e+08   8.1402e+08   4.2766e+07   8.1402e-01   8.1767e+00   9.9082e-01   9.5015e-01   4.9847e-02   1.8922e+08   1.4990e+05  
1.0811e-01   8.6490e+08   8.2138e+08   4.3580e+07   8.2138e-01   8.1755e+00   9.9091e-01   9.4968e-01   5.0316e-02   1.9113e+08   1.5496e+05  
1.0911e-01   8.7308e+08   8.2874e+08   4.4402e+07   8.2874e-01   8.1744e+00   9.9100e-01   9.4921e-01   5.0785e-02   1.9305e+08   1.5874e+05  
1.1011e-01   8.8125e+08   8.3608e+08   4.5230e+07   8.3608e-01   8.1732e+00   9.9109e-01   9.4875e-01   5.1254e-02   1.9496e+08   1.6251e+05  
1.1111e-01   8.8942e+08   8.4342e+08   4.6066e+07   8.4342e-01   8.1720e+00   9.9117e-01   9.4828e-01   5.1722e-02   1.9687e+08   1.6787e+05  
1.1211e-01   8.9759e+08   8.5075e+08   4.6910e+07   8.5075e-01   8.1709e+00   9.9126e-01   9.4781e-01   5.2190e-02   1.9878e+08   1.7181e+05  
1.1311e-01   9.0576e+08   8.5807e+08   4.7761e+07   8.5807e-01   8.1697e+00   9.9134e-01   9.4734e-01   5.2658e-02   2.0069e+08   1.7576e+05  
1.1411e-01   9.1393e+08   8.6538e+08   4.8619e+07   8.6538e-01   8.1685e+00   9.9143e-01   9.4687e-01   5.3126e-02   2.0259e+08   1.8142e+05  
1.1511e-01   9.2210e+08   8.7268e+08   4.9484e+07   8.7268e-01   8.1674e+00   9.9151e-01   9.4641e-01   5.3593e-02   2.0450e+08   1.8554e+05  
1.1611e-01   9.3027e+08   8.7998e+08   5.0357e+07   8.7998e-01   8.1662e+00   9.9159e-01   9.4594e-01   5.4060e-02   2.0640e+08   1.8965e+05  
1.1711e-01   9.3843e+08   8.8726e+08   5.1237e+07   8.8726e-01   8.1650e+00   9.9166e-01   9.4547e-01   5.4527e-02   2.0829e+08   1.9564e+05  
1.1811e-01   9.4660e+08   8.9454e+08   5.2124e+07   8.9454e-01   8.1639e+00   9.9174e-01   9.4501e-01   5.4993e-02   2.1019e+08   1.9992e+05  
1.1911e-01   9.5476e+08   9.0181e+08   5.3019e+07   9.0181e-01   8.1627e+00   9.9182e-01   9.4454e-01   5.5459e-02   2.1208e+08   2.0421e+05  
1.2011e-01   9.6292e+08   9.0907e+08   5.3920e+07   9.0907e-01   8.1615e+00   9.9189e-01   9.4407e-01   5.5925e-02   2.1397e+08   2.1053e+05  
1.2111e-01   9.7108e+08   9.1632e+08   5.4829e+07   9.1632e-01   8.1604e+00   9.9196e-01   9.4361e-01   5.6391e-02   2.1586e+08   2.1499e+05  
1.2211e-01   9.7924e+08   9.2357e+08   5.5746e+07   9.2357e-01   8.1592e+00   9.9204e-01   9.4314e-01   5.6856e-02   2.1775e+08   2.1944e+05  
1.2311e-01   9.8740e+08   9.3080e+08   5.6669e+07   9.3080e-01   8.1580e+00   9.9211e-01   9.4268e-01   5.7321e-02   2.1963e+08   2.2611e+05  
1.2411e-01   9.9556e+08   9.3803e+08   5.7600e+07   9.3803e-01   8.1569e+00   9.9218e-01   9.4221e-01   5.7786e-02   2.2152e+08   2.3075e+05  
1.2511e-01   1.0037e+09   9.4525e+08   5.8538e+07   9.4525e-01   8.1557e+00   9.9224e-01   9.4175e-01   5.8250e-02   2.2340e+08   2.3537e+05  
1.2611e-01   1.0119e+09   9.5246e+08   5.9483e+07   9.5246e-01   8.1545e+00   9.9231e-01   9.4129e-01   5.8714e-02   2.2527e+08   2.4241e+05  
1.2711e-01   1.0200e+09   9.5966e+08   6.0436e+07   9.5966e-01   8.1534e+00   9.9238e-01   9.4082e-01   5.9178e-02   2.2715e+08   2.4721e+05  
1.2811e-01   1.0282e+09   9.6686e+08   6.1395e+07   9.6686e-01   8.1522e+00   9.9244e-01   9.4036e-01   5.9641e-02   2.2902e+08   2.5202e+05  
1.2911e-01   1.0363e+09   9.7404e+08   6.2362e+07   9.7404e-01   8.1510e+00   9.9251e-01   9.3990e-01   6.0105e-02   2.3090e+08   2.5942e+05  
1.3011e-01   1.0445e+09   9.8122e+08   6.3336e+07   9.8122e-01   8.1499e+00   9.9257e-01   9.3943e-01   6.0568e-02   2.3277e+08   2.6441e+05  
1.3111e-01   1.0526e+09   9.8839e+08   6.4318e+07   9.8839e-01   8.1487e+00   9.9263e-01   9.3897e-01   6.1030e-02   2.3463e+08   2.6938e+05  
1.3211e-01   1.0608e+09   9.9555e+08   6.5306e+07   9.9555e-01   8.1475e+00   9.9269e-01   9.3851e-01   6.1493e-02   2.3650e+08   2.7718e+05  
1.3311e-01   1.0689e+09   1.0027e+09   6.6302e+07   1.0027e+00   8.1464e+00   9.9275e-01   9.3805e-01   6.1955e-02   2.3836e+08   2.8234e+05  
1.3411e-01   1.0771e+09   1.0098e+09   6.7304e+07   1.0098e+00   8.1452e+00   9.9281e-01   9.3758e-01   6.2417e-02   2.4022e+08   2.8750e+05  
1.3511e-01   1.0852e+09   1.0170e+09   6.8314e+07   1.0170e+00   8.1441e+00   9.9287e-01   9.3712e-01   6.2878e-02   2.4208e+08   2.9569e+05  
1.3611e-01   1.0934e+09   1.0241e+09   6.9331e+07   1.0241e+00   8.1429e+00   9.9293e-01   9.3666e-01   6.3340e-02   2.4394e+08   3.0103e+05  
1.3711e-01   1.1015e+09   1.0312e+09   7.0355e+07   1.0312e+00   8.1417e+00   9.9299e-01   9.3620e-01   6.3801e-02   2.4579e+08   3.0945e+05  
1.3811e-01   1.1096e+09   1.0383e+09   7.1386e+07   1.0383e+00   8.1406e+00   9.9304e-01   9.3574e-01   6.4261e-02   2.4764e+08   3.1498e+05  
1.3911e-01   1.1178e+09   1.0454e+09   7.2425e+07   1.0454e+00   8.1394e+00   9.9310e-01   9.3528e-01   6.4722e-02   2.4949e+08   3.2050e+05  
1.4011e-01   1.1259e+09   1.0525e+09   7.3470e+07   1.0525e+00   8.1382e+00   9.9315e-01   9.3482e-01   6.5182e-02   2.5134e+08   3.2935e+05  
1.4111e-01   1.1341e+09   1.0596e+09   7.4523e+07   1.0596e+00   8.1371e+00   9.9320e-01   9.3436e-01   6.5642e-02   2.5319e+08   3.3506e+05  
1.4211e-01   1.1422e+09   1.0667e+09   7.5582e+07   1.0667e+00   8.1359e+00   9.9326e-01   9.3390e-01   6.6101e-02   2.5503e+08   3.4076e+05  
1.4311e-01   1.1503e+09   1.0738e+09   7.6649e+07   1.0738e+00   8.1347e+00   9.9331e-01   9.3344e-01   6.6561e-02   2.5687e+08   3.5005e+05  
1.4411e-01   1.1585e+09   1.0808e+09   7.7723e+07   1.0808e+00   8.1336e+00   9.9336e-01   9.3298e-01   6.7020e-02   2.5871e+08   3.5594e+05  
1.4511e-01   1.1666e+09   1.0879e+09   7.8804e+07   1.0879e+00   8.1324e+00   9.9341e-01   9.3252e-01   6.7479e-02   2.6055e+08   3.6549e+05  
1.4611e-01   1.1747e+09   1.0949e+09   7.9891e+07   1.0949e+00   8.1313e+00   9.9346e-01   9.3206e-01   6.7937e-02   2.6238e+08   3.7158e+05  
1.4711e-01   1.1829e+09   1.1020e+09   8.0986e+07   1.1020e+00   8.1301e+00   9.9351e-01   9.3160e-01   6.8395e-02   2.6422e+08   3.7765e+05  
1.4811e-01   1.1910e+09   1.1090e+09   8.2088e+07   1.1090e+00   8.1289e+00   9.9356e-01   9.3115e-01   6.8853e-02   2.6605e+08   3.8767e+05  
1.4911e-01   1.1991e+09   1.1160e+09   8.3197e+07   1.1160e+00   8.1278e+00   9.9361e-01   9.3069e-01   6.9311e-02   2.6787e+08   3.9394e+05  
1.5011e-01   1.2072e+09   1.1230e+09   8.4313e+07   1.1230e+00   8.1266e+00   9.9365e-01   9.3023e-01   6.9768e-02   2.6970e+08   4.0020e+05  
1.5111e-01   1.2154e+09   1.1300e+09   8.5436e+07   1.1300e+00   8.1255e+00   9.9370e-01   9.2977e-01   7.0225e-02   2.7153e+08   4.1071e+05  
1.5211e-01   1.2235e+09   1.1370e+09   8.6566e+07   1.1370e+00   8.1243e+00   9.9375e-01   9.2932e-01   7.0682e-02   2.7335e+08   4.1717e+05  
1.5311e-01   1.2316e+09   1.1440e+09   8.7703e+07   1.1440e+00   8.1231e+00   9.9379e-01   9.2886e-01   7.1138e-02   2.7517e+08   4.2797e+05  
1.5411e-01   1.2397e+09   1.1510e+09   8.8847e+07   1.1510e+00   8.1220e+00   9.9384e-01   9.2841e-01   7.1595e-02   2.7699e+08   4.3462e+05  
1.5511e-01   1.2479e+09   1.1580e+09   8.9998e+07   1.1580e+00   8.1208e+00   9.9388e-01   9.2795e-01   7.2051e-02   2.7880e+08   4.4127e+05  
1.5611e-01   1.2560e+09   1.1649e+09   9.1156e+07   1.1649e+00   8.1197e+00   9.9393e-01   9.2749e-01   7.2506e-02   2.8062e+08   4.5258e+05  
1.5711e-01   1.2641e+09   1.1719e+09   9.2321e+07   1.1719e+00   8.1185e+00   9.9397e-01   9.2704e-01   7.2962e-02   2.8243e+08   4.5942e+05  
