#1 ---------------------------------------------------------------- 1#
#2     Nucleosynthesis yields of L0.75 model                        2#
#3     Nishimura, Sawai, Takiwaki et al.(2017); ApJL 836:L21 (2017) 3#
#4     Total ejecta:     2.00467e-01  in Solar Mass                 4#
#5 ---------------------------------------------------------------- 5#
#6   name     Z    N    A    X                   Y                  6#
#7 ---------------------------------------------------------------- 7#
     h1       1    0    1    2.5645535936e-09    2.5645535936e-09
     h2       1    1    2    6.2010561844e-15    3.1005280922e-15
     he3      2    1    3    3.1326006921e-12    1.0442002307e-12
     he4      2    2    4    5.1714886870e-02    1.2928721718e-02
     li6      3    3    6    4.3571489891e-17    7.2619149818e-18
     li7      3    4    7    2.7042733932e-12    3.8632477046e-13
     be9      4    5    9    2.8271177929e-15    3.1412419921e-16
     b10      5    5   10    8.9659616775e-19    8.9659616775e-20
     b11      5    6   11    6.7857854830e-13    6.1688958936e-14
     c12      6    6   12    3.1657678921e-05    2.6381399100e-06
     c13      6    7   13    5.4985326862e-10    4.2296405278e-11
     n14      7    7   14    2.3697835941e-10    1.6927025672e-11
     n15      7    8   15    4.5082326887e-09    3.0054884591e-10
     o16      8    8   16    2.3253825942e-07    1.4533641214e-08
     o17      8    9   17    2.3594190941e-10    1.3878935848e-11
     o18      8   10   18    6.7189197831e-08    3.7327332129e-09
     f19      9   10   19    3.6452894909e-08    1.9185734162e-09
     ne20    10   10   20    3.9998846900e-07    1.9999423450e-08
     ne21    10   11   21    2.7490302931e-09    1.3090620443e-10
     ne22    10   12   22    1.9852860950e-08    9.0240277046e-10
     na23    11   12   23    5.7929121855e-10    2.5186574719e-11
     mg24    12   12   24    7.6078696809e-07    3.1699457004e-08
     mg25    12   13   25    9.1919996769e-08    3.6767998708e-09
     mg26    12   14   26    5.0587877873e-08    1.9456876105e-09
     al27    13   14   27    3.3427756916e-08    1.2380650710e-09
     si28    14   14   28    9.4680176762e-06    3.3814348844e-07
     si29    14   15   29    2.1479306946e-07    7.4066575676e-09
     si30    14   16   30    1.1167960972e-06    3.7226536573e-08
     p31     15   16   31    8.7854266779e-07    2.8340086058e-08
     s32     16   16   32    3.7399406906e-05    1.1687314658e-06
     s33     16   17   33    2.2407505944e-07    6.7901533163e-09
     s34     16   18   34    4.3357026891e-06    1.2752066733e-07
     s36     16   20   36    3.7670288905e-09    1.0463969140e-10
     cl35    17   18   35    1.2396607969e-05    3.5418879911e-07
     cl37    17   20   37    1.0840749973e-07    2.9299324251e-09
     ar36    18   18   36    3.1313204921e-05    8.6981124782e-07
     ar38    18   20   38    2.8484568929e-06    7.4959391917e-08
     ar40    18   22   40    8.4149931789e-09    2.1037482947e-10
     k39     19   20   39    2.7445337931e-05    7.0372661362e-07
     k40     19   21   40    6.5334219836e-10    1.6333554959e-11
     k41     19   22   41    3.4065109914e-07    8.3085633938e-09
     ca40    20   20   40    2.9865061925e-04    7.4662654813e-06
     ca42    20   22   42    9.8152847754e-07    2.3369725656e-08
     ca43    20   23   43    4.4844201887e-06    1.0428884160e-07
     ca44    20   24   44    1.1289262972e-04    2.5657415845e-06
     ca46    20   26   46    7.5252862811e-06    1.6359318002e-07
     ca48    20   28   48    1.1346472972e-02    2.3638485357e-04
     sc45    21   24   45    1.4291243964e-07    3.1758319920e-09
     ti46    22   24   46    7.7927874804e-07    1.6940842349e-08
     ti47    22   25   47    2.2169713944e-05    4.7169604137e-07
     ti48    22   26   48    2.7002403932e-04    5.6255008192e-06
     ti49    22   27   49    7.9119033801e-04    1.6146741592e-05
     ti50    22   28   50    1.6914125958e-02    3.3828251915e-04
     v50     23   27   50    2.6846685933e-10    5.3693371865e-12
     v51     23   28   51    8.5644507785e-03    1.6793040742e-04
     cr50    24   26   50    3.0878117922e-06    6.1756235845e-08
     cr52    24   28   52    1.0510674974e-02    2.0212836488e-04
     cr53    24   29   53    5.9401749851e-03    1.1207877330e-04
     cr54    24   30   54    4.4733785888e-03    8.2840344237e-05
     mn55    25   30   55    2.7679776931e-04    5.0326867146e-06
     fe54    26   28   54    2.7445646931e-06    5.0825272095e-08
     fe56    26   30   56    3.3132179917e-01    5.9164606994e-03
     fe57    26   31   57    1.5575297961e-02    2.7325084142e-04
     fe58    26   32   58    6.6352826833e-03    1.1440142557e-04
     co59    27   32   59    4.0737329898e-03    6.9046321861e-05
     ni58    28   30   58    3.3417593916e-02    5.7616541235e-04
     ni60    28   32   60    2.4821482938e-02    4.1369138229e-04
     ni61    28   33   61    9.9268632751e-04    1.6273546353e-05
     ni62    28   34   62    1.5542926961e-02    2.5069237034e-04
     ni64    28   36   64    9.7069114756e-03    1.5167049181e-04
     cu63    29   34   63    9.3607345765e-04    1.4858308852e-05
     cu65    29   36   65    1.6966548957e-03    2.6102383011e-05
     zn64    30   34   64    2.2129311944e-03    3.4577049913e-05
     zn66    30   36   66    1.1643047971e-02    1.7640981774e-04
     zn67    30   37   67    8.9517243775e-04    1.3360782653e-05
     zn68    30   38   68    7.1574351820e-03    1.0525639974e-04
     zn70    30   40   70    4.9180567877e-03    7.0257954109e-05
     ga69    31   38   69    2.6074207935e-03    3.7788707152e-05
     ga71    31   40   71    3.3457145916e-03    4.7122740727e-05
     ge70    32   38   70    1.0021997975e-04    1.4317139964e-06
     ge72    32   40   72    5.1402752871e-03    7.1392712321e-05
     ge73    32   41   73    2.6479950934e-03    3.6273905388e-05
     ge74    32   42   74    4.2398580894e-03    5.7295379586e-05
     ge76    32   44   76    1.1250585972e-02    1.4803402594e-04
     as75    33   42   75    5.6190786859e-03    7.4921049145e-05
